Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
AZ0.5-anm-00263.dat -2.3850 2.3109 -3.2862 4.0256 -1.1687 1.4742 24.0 62.0 1.550 3.6 2.106 14 0.9838 12.2866 9.2273 5.7812 2.1253 1.5961
AZ0.5-anm-00208.dat -1.7499 1.4214 -2.3114 2.4216 -2.5653 2.4368 24.0 52.0 1.284 3.6 1.374 16 1.0149 5.2429 4.8884 2.0040 2.0040 1.5961
AZ0.5-anm-00149.dat -1.6144 2.1722 -2.2965 2.6052 -2.6205 2.7492 36.0 67.0 1.281 4.1 1.364 18 1.0007 6.4268 4.9885 2.5431 2.5431 2.0040
AZ0.5-anm-00044.dat -3.1654 3.3384 -3.5167 2.6284 -2.7920 1.5793 40.0 88.0 1.565 4.2 1.673 22 0.9961 8.0887 6.4367 2.8067 2.8067 2.5431
AZ0.5-anm-00046.dat -1.7792 1.7888 -3.6265 3.5465 -2.7416 3.4540 42.0 83.0 1.425 4.3 1.756 18 0.9619 7.6761 6.5880 2.0128 2.0128 2.8067
AZ0.5-anm-00250.dat -3.6448 4.8388 -1.4610 1.5747 -2.6013 2.7137 44.0 85.0 1.417 4.4 1.789 20 1.0428 8.5493 4.9977 2.4131 2.4131 2.0128
AZ0.5-anm-00241.dat -2.1250 2.1914 -3.1858 3.0748 -3.4860 3.6299 54.0 94.0 1.361 4.7 1.456 24 0.9515 7.8806 6.3994 2.7961 2.7961 2.4131
AZ0.5-anm-00211.dat -4.9190 3.3804 -3.2287 3.5858 -1.4715 2.7779 67.0 122.0 1.534 5.0 1.530 30 0.9680 9.3559 7.3628 4.1698 4.1698 2.7961
AZ0.5-anm-00086.dat -4.7129 4.8796 -3.1447 2.9216 -1.7689 1.5893 68.0 112.0 1.392 5.1 1.637 22 1.0370 9.6374 5.5514 3.3629 3.3629 4.1698
AZ0.5-anm-00203.dat -3.5938 2.5723 -4.5753 3.6561 -2.2501 2.6663 70.0 114.0 1.392 5.1 1.554 18 0.9606 8.7944 5.4870 3.0985 3.0985 4.1698
AZ0.5-anm-00199.dat -2.9965 3.1134 -3.3879 3.0933 -3.1674 3.1595 74.0 117.0 1.374 5.2 1.394 22 1.0169 8.3709 6.0449 3.4875 3.4875 3.3629
AZ0.5-anm-00125.dat -4.5845 4.8089 -3.8059 4.3038 -2.1709 1.6419 72.0 127.0 1.517 5.2 1.592 18 0.9990 9.4336 7.8040 3.3770 3.3770 3.0985
AZ0.5-anm-00247.dat -3.4743 3.5343 -3.6409 3.4480 -3.0041 3.2082 77.0 112.0 1.283 5.3 1.349 20 0.9732 9.1644 5.8449 3.7328 3.7328 3.3770
AZ0.5-anm-00070.dat -3.1224 2.4186 -4.2166 3.9363 -2.6272 1.5129 84.0 117.0 1.259 5.4 1.309 26 1.0076 8.1616 6.0349 4.4071 4.4071 3.7328
AZ0.5-anm-00237.dat -4.7304 4.5355 -4.9355 5.5177 -2.7425 2.3704 92.0 152.0 1.544 5.6 2.398 20 0.9640 13.1658 5.6451 3.0876 3.0876 4.4071
