Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
LS-coarse-anm-00001.dat -5.9408 4.8500 -7.8481 9.7185 -8.5799 12.6191 1053.0 700.0 1.398 12.6 1.650 24 0.9924 22.71134 16.96319 6.03001 3.76639 2.81313
LS-coarse-anm-00004.dat -3.4779 4.9553 -4.4494 4.2463 -4.8228 3.4310 193.0 220.0 1.361 7.2 1.191 30 1.0042 10.33810 8.01892 6.90447 1.49730 1.16141
LS-coarse-anm-00005.dat -13.7388 15.4950 -10.3231 9.8249 -17.8622 16.8372 4784.0 1807.0 1.316 20.9 1.395 30 0.9975 38.15971 21.52112 18.78915 2.03094 1.14540
LS-coarse-anm-00006.dat -3.0219 3.5286 -4.8807 3.6269 -4.0185 4.3178 117.0 154.0 1.333 6.1 1.367 20 1.0206 9.79770 8.36030 4.46822 2.19275 1.87106
LS-coarse-anm-00007.dat -10.2837 13.0688 -13.8431 12.9603 -13.6519 15.4537 3517.0 1497.0 1.339 18.9 1.761 28 0.9946 34.58249 16.48045 15.43856 2.24001 1.06749
LS-coarse-anm-00008.dat -8.0854 7.5071 -9.8964 11.2446 -14.1587 13.7508 3016.0 1199.0 1.188 17.9 1.204 30 1.0087 28.19384 21.95724 15.36749 1.83464 1.42881
LS-coarse-anm-00009.dat -4.0239 5.0129 -4.9309 5.9290 -6.7322 5.7397 288.0 304.0 1.442 8.2 1.364 24 0.9541 13.05946 11.76092 6.85070 1.90630 1.71675
LS-coarse-anm-00010.dat -4.8005 4.6293 -10.4177 8.9075 -6.3349 6.3665 695.0 517.0 1.362 11.0 1.509 20 0.9715 19.68027 12.20151 7.49991 2.62407 1.62689
LS-coarse-anm-00011.dat -4.4603 4.4130 -3.2971 3.3150 -7.4865 6.2957 299.0 271.0 1.252 8.3 1.416 28 1.0193 14.51032 9.22649 4.95792 2.92670 1.86096
LS-coarse-anm-00012.dat -6.5281 6.9180 -6.8909 8.3872 -8.5830 10.1985 1356.0 708.0 1.195 13.7 1.166 26 0.9953 18.99072 15.32305 13.71354 1.38482 1.11737
LS-coarse-anm-00013.dat -8.2289 8.1311 -10.0868 11.2837 -14.2663 10.4960 3116.0 1219.0 1.182 18.1 1.188 30 0.9760 27.60146 18.74464 14.71699 1.87548 1.27367
LS-coarse-anm-00014.dat -3.5617 3.8154 -2.9304 2.9723 -4.7159 3.5076 131.0 158.0 1.264 6.3 1.209 26 1.0173 9.00053 7.56953 5.13057 1.75429 1.47538
LS-coarse-anm-00015.dat -9.5207 8.4593 -6.6120 6.3990 -9.1070 9.6046 1568.0 801.0 1.227 14.4 1.245 30 0.9944 20.68030 19.21635 9.75305 2.12039 1.97029
LS-coarse-anm-00016.dat -4.6325 6.6570 -5.9521 4.8603 -7.5033 6.2856 569.0 418.0 1.259 10.3 1.239 30 1.0114 15.50520 12.61665 8.15025 1.90242 1.54801
LS-coarse-anm-00018.dat -6.2271 6.0055 -6.0932 6.4033 -12.8013 14.0314 1826.0 908.0 1.257 15.2 1.505 30 1.0061 27.15450 13.49273 12.22664 2.22093 1.10355
LS-coarse-anm-00019.dat -2.4733 2.0302 -2.8776 2.3572 -2.2572 1.2133 31.0 63.0 1.325 3.9 1.254 14 1.0015 5.51209 4.38510 4.38567 1.25684 0.99987
LS-coarse-anm-00020.dat -4.9821 4.0612 -6.0104 5.0159 -2.8611 3.7218 325.0 282.0 1.233 8.5 1.136 30 0.9781 11.29131 9.65489 8.48567 1.33063 1.13779
