Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA106B-4-coarse-anm-00001.dat -10.6264 8.8209 -14.3295 15.4970 -8.1023 9.1419 3573.9 1381.1 1.222 19.0 1.345 28 1.0374 30.78072 20.17200 15.40312 1.99834 1.30960
MA106B-4-coarse-anm-00002.dat -13.9786 12.1184 -14.7666 17.9810 -7.3167 9.2668 5326.1 1948.6 1.321 21.7 1.398 30 0.9607 34.74384 26.95829 16.63137 2.08906 1.62093
MA106B-4-coarse-anm-00003.dat -11.8433 11.5729 -12.5727 13.0087 -10.0965 12.0992 6047.9 1857.2 1.157 22.6 1.092 30 1.0333 29.39282 25.46594 22.40469 1.31190 1.13663
MA106B-4-coarse-anm-00004.dat -14.8505 17.9005 -16.1090 14.1169 -10.5285 13.9722 8413.1 2459.5 1.230 25.2 1.161 24 1.0480 34.58407 29.72945 25.76010 1.34254 1.15409
MA106B-4-coarse-anm-00005.dat -17.9860 14.8015 -12.2947 12.2737 -7.5674 8.9548 5840.2 1921.0 1.225 22.3 1.188 20 0.9891 33.22106 25.70497 18.62238 1.78393 1.38033
MA106B-4-coarse-anm-00006.dat -20.2495 18.5504 -15.7763 19.3204 -8.6055 12.9656 11697.4 3046.6 1.223 28.2 1.310 28 1.0359 44.38530 26.38008 26.05591 1.70346 1.01244
MA106B-4-coarse-anm-00007.dat -11.6748 11.3348 -16.2304 18.4160 -7.4543 10.5347 4759.3 1787.8 1.307 20.9 1.568 30 1.0194 38.57008 20.99539 15.16943 2.54262 1.38406
MA106B-4-coarse-anm-00008.dat -5.5383 6.3413 -8.7450 7.8615 -13.3079 13.3796 2349.0 1134.5 1.328 16.5 1.524 28 1.0270 27.47537 16.98236 11.80138 2.32815 1.43902
MA106B-4-coarse-anm-00009.dat -6.2719 5.4584 -6.9894 6.2269 -8.8934 7.3767 1048.7 612.8 1.228 12.6 1.170 28 0.9790 18.05442 14.47011 11.43565 1.57878 1.26535
MA106B-4-coarse-anm-00010.dat -9.8217 9.4836 -9.4531 8.8220 -10.5622 9.8148 2466.5 1049.2 1.189 16.8 1.167 20 1.0145 24.93357 17.49384 16.14078 1.54476 1.08383
