Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA113AB-2-fine-anm-00001.dat -0.6576 0.8055 -1.1220 0.9514 -0.7893 0.7927 1.8 8.5 1.161 1.5 1.123 30 0.9991 2.15935 1.60126 1.35956 1.58828 1.17779
MA113AB-2-fine-anm-00002.dat -1.1464 1.1494 -1.2438 1.1767 -1.2419 1.1235 5.3 17.0 1.162 2.2 1.133 30 0.9727 2.86623 2.57102 1.58620 1.80698 1.62087
MA113AB-2-fine-anm-00003.dat -2.8334 2.4733 -2.6901 2.7597 -1.4190 1.7742 41.0 65.9 1.146 4.3 1.208 30 1.0018 6.35076 4.41501 3.17955 1.99738 1.38857
MA113AB-2-fine-anm-00004.dat -0.7556 0.7789 -0.9008 0.9072 -0.4627 0.5451 1.2 6.6 1.210 1.3 1.235 30 1.0000 1.98055 1.76381 0.99872 1.98309 1.76607
MA113AB-2-fine-anm-00005.dat -0.7007 0.7488 -0.8553 0.9161 -0.8144 0.8170 1.2 6.8 1.220 1.3 1.226 28 0.9590 1.95993 1.40938 1.18190 1.65829 1.19248
MA113AB-2-fine-anm-00006.dat -0.9792 0.7707 -1.0885 1.1344 -0.5319 0.6169 1.4 7.8 1.283 1.4 1.487 30 1.0227 2.47026 1.52100 1.00129 2.46707 1.51904
MA113AB-2-fine-anm-00007.dat -0.7903 0.8755 -0.6260 0.6269 -0.8036 0.9137 1.5 7.4 1.152 1.4 1.137 30 0.9993 1.89406 1.74647 1.14557 1.65338 1.52455
MA113AB-2-fine-anm-00008.dat -1.7159 1.4502 -1.9512 1.7785 -1.0668 1.1603 9.9 27.1 1.218 2.7 1.345 30 0.9939 4.51582 2.98694 1.88767 2.39227 1.58234
MA113AB-2-fine-anm-00009.dat -0.8052 0.9459 -1.0485 1.1235 -0.7253 0.7746 1.7 8.2 1.200 1.5 1.288 30 0.9979 2.33594 1.84071 0.99820 2.34015 1.84403
MA113AB-2-fine-anm-00010.dat -1.7561 2.1095 -1.9153 1.8264 -1.9079 2.0015 25.0 48.0 1.162 3.6 1.089 30 1.0088 4.64384 4.27792 3.86444 1.20169 1.10700
MA113AB-2-fine-anm-00012.dat -1.4575 1.6116 -0.9920 0.8594 -0.8006 0.9217 4.2 14.4 1.137 2.0 1.239 30 0.9994 3.09878 1.91411 1.80529 1.71650 1.06028
MA113AB-2-fine-anm-00014.dat -0.8265 1.0164 -0.7093 0.7889 -0.8234 0.7403 1.2 6.8 1.238 1.3 1.286 30 0.9525 2.08381 1.53415 1.03147 2.02023 1.48734
MA113AB-2-fine-anm-00015.dat -0.8325 0.6713 -0.7197 0.7121 -0.6213 0.7813 1.1 5.9 1.152 1.3 1.098 30 1.0121 1.64827 1.51565 1.32788 1.24128 1.14140
MA113AB-2-fine-anm-00017.dat -0.7184 0.7448 -0.6211 0.7708 -0.5688 0.5035 0.9 5.2 1.191 1.2 1.231 30 1.0033 1.70269 1.39491 0.93296 1.82503 1.49514
MA113AB-2-fine-anm-00018.dat -0.8217 0.7230 -0.7195 0.7383 -0.4200 0.4940 0.8 4.9 1.190 1.1 1.209 30 0.9725 1.61209 1.40590 0.86409 1.86566 1.62703
MA113AB-2-fine-anm-00019.dat -1.0074 0.9790 -1.2328 1.1152 -1.2152 1.2952 4.4 15.5 1.196 2.0 1.148 30 0.9565 2.86776 2.34516 1.59447 1.79857 1.47081
MA113AB-2-fine-anm-00020.dat -0.5937 0.6283 -0.6622 0.5610 -0.6382 0.7870 0.7 4.5 1.197 1.1 1.149 30 1.0098 1.44352 1.37774 1.14261 1.26335 1.20578
MA113AB-2-fine-anm-00021.dat -0.6832 0.7351 -0.8349 0.9195 -0.4828 0.6181 1.1 5.7 1.134 1.3 1.131 30 1.0000 1.77159 1.42258 1.12008 1.58167 1.27008
MA113AB-2-fine-anm-00023.dat -0.8942 0.8051 -0.9405 0.8973 -0.5900 0.6233 1.3 6.9 1.170 1.4 1.230 30 0.9983 1.92299 1.60261 1.07073 1.79596 1.49675
MA113AB-2-fine-anm-00024.dat -0.7841 0.6723 -0.6212 0.7824 -0.5475 0.5296 0.9 5.0 1.116 1.2 1.104 30 0.9702 1.50392 1.40255 0.99875 1.50580 1.40430
MA113AB-2-fine-anm-00025.dat -1.0503 0.9403 -1.0708 0.8015 -0.9694 1.0683 2.6 10.6 1.147 1.7 1.139 30 1.0031 2.17987 2.01631 1.61515 1.34964 1.24838
MA113AB-2-fine-anm-00026.dat -0.8034 0.7643 -0.7306 0.7563 -0.6076 0.6303 1.1 5.9 1.122 1.3 1.077 30 0.9689 1.69496 1.41231 1.11065 1.52610 1.27161
MA113AB-2-fine-anm-00028.dat -0.9077 0.8601 -0.5241 0.5749 -0.7709 0.7878 1.2 6.5 1.193 1.3 1.223 30 0.9989 1.84254 1.69398 0.94589 1.94795 1.79089
MA113AB-2-fine-anm-00029.dat -1.7928 2.0185 -1.6382 1.5344 -1.3766 1.4851 12.1 29.9 1.177 2.8 1.139 30 0.9974 4.62783 3.03009 2.80204 1.65159 1.08139
MA113AB-2-fine-anm-00030.dat -1.6968 1.8470 -1.7445 1.9687 -1.2132 1.2291 14.8 33.8 1.163 3.0 1.124 30 0.9961 3.85518 3.69754 2.86535 1.34545 1.29043
MA113AB-2-fine-anm-00032.dat -1.3124 1.4989 -1.6580 1.7926 -1.3295 1.0640 7.7 23.8 1.263 2.4 1.218 30 1.0057 3.63847 2.80983 2.00929 1.81083 1.39842
MA113AB-2-fine-anm-00033.dat -2.0092 2.2017 -1.7701 1.5547 -1.9892 2.2518 23.3 46.0 1.164 3.5 1.125 30 1.0011 4.60703 4.37820 2.88765 1.59542 1.51618
MA113AB-2-fine-anm-00035.dat -0.6073 0.7528 -0.7519 1.1027 -0.4545 0.5248 1.0 5.6 1.204 1.2 1.273 30 0.9941 1.96317 1.29000 1.11698 1.75757 1.15491
MA113AB-2-fine-anm-00037.dat -1.8850 1.6481 -2.3857 2.0901 -1.4430 1.6547 18.9 39.3 1.143 3.3 1.145 30 0.9950 4.51807 3.85457 2.75660 1.63900 1.39830
MA113AB-2-fine-anm-00038.dat -0.6589 0.7858 -0.8041 1.0511 -0.4606 0.5784 0.8 5.5 1.371 1.1 1.546 30 1.0024 1.87884 1.47688 0.79108 2.37502 1.86690
MA113AB-2-fine-anm-00039.dat -0.9271 0.7318 -0.7993 0.6872 -0.7006 0.8129 1.3 6.8 1.169 1.4 1.130 30 0.9504 1.75938 1.70106 1.31204 1.34095 1.29651
MA113AB-2-fine-anm-00041.dat -1.6942 2.4605 -1.7987 2.1835 -1.2325 1.6752 12.0 33.5 1.322 2.8 1.289 22 1.0392 4.71026 3.49876 2.83012 1.66433 1.23626
MA113AB-2-fine-anm-00042.dat -2.3973 2.4568 -2.7657 2.8099 -1.5813 2.2379 45.9 71.4 1.152 4.4 1.175 22 1.0117 6.11550 4.92135 3.55990 1.71789 1.38244
MA113AB-2-fine-anm-00043.dat -2.1485 1.9353 -1.9451 1.9634 -1.1510 1.5776 14.0 33.3 1.184 3.0 1.199 30 0.9666 4.26512 3.19949 2.43137 1.75420 1.31592
MA113AB-2-fine-anm-00044.dat -0.6067 0.7691 -0.6661 0.6907 -0.5462 0.5618 0.8 5.1 1.207 1.2 1.129 30 1.0062 1.53731 1.41081 1.16380 1.32094 1.21224
MA113AB-2-fine-anm-00046.dat -1.7250 2.1509 -2.0250 1.9643 -1.1278 0.9741 15.6 36.1 1.193 3.1 1.231 30 0.9851 4.48307 3.84773 2.15698 2.07840 1.78385
MA113AB-2-fine-anm-00047.dat -1.7735 1.6878 -1.8002 1.8208 -1.3654 1.4806 13.8 31.5 1.135 3.0 1.075 30 1.0126 3.71228 3.41281 2.80837 1.32186 1.21523
MA113AB-2-fine-anm-00049.dat -2.0264 1.8052 -1.9817 1.6411 -0.9405 0.9287 11.2 30.4 1.258 2.8 1.362 26 0.9788 4.01903 3.75288 1.62132 2.47886 2.31470
MA113AB-2-fine-anm-00051.dat -2.7020 2.6646 -1.5906 1.7638 -0.8957 0.9306 12.8 36.0 1.361 2.9 1.714 30 0.9960 5.44291 3.33521 1.61633 3.36746 2.06345
MA113AB-2-fine-anm-00053.dat -0.9906 0.8449 -0.7991 0.8485 -0.7027 0.8244 1.9 8.4 1.121 1.5 1.068 30 0.9916 1.93897 1.83065 1.44185 1.34478 1.26965
MA113AB-2-fine-anm-00055.dat -2.2380 2.0016 -1.4254 1.4847 -1.5851 1.8982 15.2 36.1 1.218 3.1 1.231 30 0.9833 4.71806 3.71493 2.40435 1.96230 1.54508
MA113AB-2-fine-anm-00056.dat -1.7499 1.8947 -2.4935 2.8117 -1.7113 1.4283 20.6 44.5 1.225 3.4 1.301 30 1.0271 5.65468 3.70286 2.87209 1.96884 1.28926
MA113AB-2-fine-anm-00058.dat -1.7574 1.6650 -1.8578 1.4757 -1.1087 1.2050 11.8 29.4 1.170 2.8 1.171 30 0.9718 3.66154 3.39475 2.30756 1.58676 1.47114
MA113AB-2-fine-anm-00059.dat -1.2562 1.1688 -1.3830 1.3136 -1.1314 1.0350 5.9 17.9 1.125 2.2 1.105 30 0.9935 3.13793 2.37418 2.13866 1.46724 1.11013
MA113AB-2-fine-anm-00060.dat -0.8715 0.7228 -1.1856 1.3591 -0.7882 0.7018 2.2 10.1 1.233 1.6 1.403 30 0.9965 2.58282 1.60495 1.33805 1.93028 1.19947
