Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120B-anm-00001.dat -1.8984 2.3254 -2.8291 3.0059 -1.8592 2.2603 45.4 70.6 1.147 4.4 1.146 30 1.0044 6.00880 4.70927 3.70175 1.62323 1.27217
MA120B-anm-00002.dat -2.6347 2.7142 -2.4481 2.7636 -2.2140 2.4379 58.4 79.1 1.086 4.8 1.045 30 1.0033 5.73633 5.37651 4.73493 1.21149 1.13550
MA120B-anm-00003.dat -2.6079 2.9605 -2.3865 2.7620 -1.7017 2.1759 40.5 68.8 1.206 4.3 1.236 28 1.0341 6.80387 4.03609 3.76249 1.80834 1.07272
MA120B-anm-00004.dat -3.5633 3.5734 -2.2275 2.4824 -1.9727 1.8486 54.3 82.7 1.192 4.7 1.202 30 1.0317 7.28268 5.11359 3.89247 1.87097 1.31371
MA120B-anm-00005.dat -2.6064 3.3216 -2.8549 3.0119 -1.9936 2.5770 61.0 88.5 1.181 4.9 1.213 30 1.0008 7.17357 4.68651 4.45206 1.61129 1.05266
MA120B-anm-00006.dat -2.7153 2.7211 -3.3709 3.1339 -2.1649 2.0162 63.3 89.0 1.158 4.9 1.136 30 1.0084 6.90314 5.53112 4.54068 1.52029 1.21813
MA120B-anm-00007.dat -2.6071 2.8136 -1.9998 2.4386 -1.9375 2.3352 41.7 68.0 1.169 4.3 1.154 30 1.0033 5.88627 4.74558 4.61546 1.27534 1.02819
MA120B-anm-00008.dat -3.3210 2.6049 -2.2746 2.6444 -1.9908 2.1914 48.1 74.5 1.165 4.5 1.226 30 1.0087 6.71854 4.94667 4.00218 1.67872 1.23599
MA120B-anm-00009.dat -3.4818 3.9486 -2.5689 2.6803 -1.8276 2.1558 54.8 85.8 1.231 4.7 1.448 30 1.0036 8.06593 4.49327 3.73507 2.15951 1.20299
MA120B-anm-00010.dat -2.7977 3.9743 -2.9642 3.2516 -1.4222 2.1413 48.5 87.5 1.361 4.5 1.531 18 1.0416 7.61377 5.14254 2.83603 2.68466 1.81329
