Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
sika-flatt-2-anm-00003.dat -1.2127 1.0932 -1.4040 1.3941 -0.8154 1.0511 4.9 16.1 1.152 2.1 1.096 30 0.9924 1.56894 0.83317 0.35667 4.39886 2.33596
sika-flatt-2-anm-00004.dat -0.8880 0.9862 -1.2698 1.2554 -0.7707 0.7839 3.0 12.2 1.215 1.8 1.149 20 0.9618 2.85907 2.42569 1.90630 1.49981 1.27246
sika-flatt-2-anm-00005.dat -1.0018 0.8319 -0.9417 0.8000 -0.5468 0.6340 1.4 7.8 1.268 1.4 1.236 28 0.9999 2.56245 1.90401 1.53072 1.67401 1.24386
sika-flatt-2-anm-00006.dat -1.3135 1.2006 -1.1068 1.2084 -0.8348 1.0186 5.2 16.4 1.134 2.1 1.102 30 0.9980 1.90164 1.70194 1.20457 1.57868 1.41291
sika-flatt-2-anm-00007.dat -0.9332 0.9016 -1.0531 1.1399 -0.8161 0.7988 2.6 10.8 1.178 1.7 1.148 30 1.0280 2.95069 2.51466 1.87905 1.57031 1.33826
sika-flatt-2-anm-00008.dat -1.1506 1.2163 -0.7543 0.9965 -0.5948 0.8531 2.4 10.7 1.228 1.7 1.266 26 1.0205 2.31789 1.82476 1.40284 1.65229 1.30076
sika-flatt-2-anm-00009.dat -1.0000 1.2105 -1.0813 1.0169 -0.5241 0.7531 2.2 10.2 1.243 1.6 1.347 12 0.9910 2.53192 1.87498 1.39816 1.81090 1.34103
sika-flatt-2-anm-00010.dat -1.3831 1.2770 -0.9921 1.0321 -0.7230 0.7193 3.4 13.6 1.232 1.9 1.256 16 0.9627 2.57234 1.86611 1.26950 2.02625 1.46995
sika-flatt-2-anm-00011.dat -1.5983 1.3847 -1.0731 1.0379 -0.8933 1.0440 4.7 16.4 1.207 2.1 1.267 30 0.9921 2.69614 2.07260 1.44906 1.86062 1.43031
sika-flatt-2-anm-00012.dat -0.9812 0.9868 -1.2219 1.1937 -0.7031 0.7656 2.8 11.2 1.160 1.8 1.225 30 1.0209 2.99705 2.74018 1.68698 1.77657 1.62431
sika-flatt-2-anm-00013.dat -1.3663 1.1767 -0.9267 0.9451 -0.7495 0.8587 3.1 12.5 1.216 1.8 1.203 30 1.0169 2.52418 2.00663 1.33151 1.89573 1.50703
sika-flatt-2-anm-00014.dat -1.0903 1.2406 -0.8022 0.7026 -0.5890 0.6324 1.8 8.8 1.231 1.5 1.259 22 1.0357 2.74195 2.03655 1.48117 1.85120 1.37496
sika-flatt-2-anm-00015.dat -1.2645 1.2106 -0.9401 0.9434 -0.6439 0.6930 2.9 11.7 1.188 1.8 1.255 30 1.0281 2.43950 1.61961 1.37540 1.77366 1.17756
sika-flatt-2-anm-00016.dat -1.2871 0.9860 -1.1968 1.1833 -0.5296 0.6851 2.5 11.4 1.273 1.7 1.301 30 0.9772 2.62919 1.63326 1.32955 1.97749 1.22842
sika-flatt-2-anm-00017.dat -1.0622 1.0561 -0.8716 0.8492 -0.8510 0.8119 2.2 10.2 1.233 1.6 1.158 30 0.9984 2.71901 1.92900 1.17785 2.30846 1.63773
sika-flatt-2-anm-00018.dat -0.9958 1.0809 -0.9433 0.8315 -0.4799 0.5715 1.1 6.6 1.313 1.3 1.485 24 0.9989 2.30802 1.90929 1.59997 1.44254 1.19333
sika-flatt-2-anm-00019.dat -1.2562 1.0981 -1.2151 1.1988 -0.8432 1.0804 3.8 14.9 1.263 1.9 1.208 16 1.0193 2.29816 1.30497 0.87457 2.62775 1.49212
sika-flatt-2-anm-00020.dat -1.4163 1.3540 -0.9814 0.9879 -1.4312 1.5797 6.2 19.9 1.222 2.3 1.328 18 1.0404 2.66716 2.28401 1.87173 1.42497 1.22027
sika-flatt-2-anm-00021.dat -1.6323 1.4957 -1.1379 1.1544 -0.6809 0.9689 4.7 16.4 1.215 2.1 1.320 30 0.9627 3.37655 2.62033 1.46688 2.30185 1.78632
sika-flatt-2-anm-00022.dat -1.1717 1.2775 -1.5045 1.7683 -1.0819 1.1084 6.6 20.7 1.213 2.3 1.192 16 1.0228 3.28748 1.98643 1.64452 1.99905 1.20790
sika-flatt-2-anm-00023.dat -1.0444 1.0918 -1.4376 1.5450 -0.6476 0.4997 2.4 12.5 1.447 1.7 1.812 20 1.0226 3.37155 2.65064 2.10274 1.60341 1.26056
sika-flatt-2-anm-00024.dat -1.3892 1.6159 -1.3949 1.4948 -0.8784 1.0648 6.2 19.1 1.169 2.3 1.202 30 1.0021 3.17769 2.05650 0.80663 3.93945 2.54949
sika-flatt-2-anm-00025.dat -0.9610 1.0034 -1.3026 1.2036 -0.6652 0.8092 2.8 11.7 1.207 1.8 1.201 18 1.0102 3.51476 2.42641 1.89992 1.84995 1.27711
sika-flatt-2-anm-00026.dat -1.1564 1.1150 -1.2578 1.3728 -0.7104 1.1091 3.9 15.0 1.256 2.0 1.174 18 0.9684 2.61740 2.01807 1.33933 1.95426 1.50677
sika-flatt-2-anm-00027.dat -0.9523 0.9115 -1.3138 1.1311 -0.7954 0.6897 2.2 10.8 1.311 1.6 1.301 26 1.0216 2.77879 2.19115 1.82901 1.51929 1.19800
sika-flatt-2-anm-00028.dat -1.2385 1.3014 -1.1714 1.0513 -0.8772 1.0691 4.7 15.8 1.160 2.1 1.114 30 1.0200 2.63739 1.86453 1.20553 2.18774 1.54665
sika-flatt-2-anm-00029.dat -1.2329 1.1878 -0.8513 0.9733 -0.6408 0.7829 3.1 12.0 1.183 1.8 1.199 16 1.0052 2.61454 2.33906 2.05587 1.27174 1.13775
sika-flatt-2-anm-00031.dat -1.0701 1.0617 -0.9679 0.8751 -0.7767 0.9682 2.9 11.2 1.135 1.8 1.089 16 0.9860 2.39410 1.93189 1.64334 1.45685 1.17559
sika-flatt-2-anm-00033.dat -1.3626 1.3101 -1.3545 1.2541 -1.0434 1.2510 6.7 19.1 1.105 2.3 1.061 30 0.9997 2.15919 1.95234 1.61611 1.33604 1.20805
sika-flatt-2-anm-00034.dat -0.6877 0.8002 -1.0960 1.0110 -0.8480 0.9870 2.4 10.2 1.186 1.7 1.146 30 0.9919 2.73788 2.65731 2.22431 1.23089 1.19466
sika-flatt-2-anm-00035.dat -1.1681 1.3560 -1.0186 1.1763 -0.9366 1.2325 4.6 15.8 1.181 2.1 1.123 26 0.9674 2.17694 1.88538 1.45685 1.49428 1.29415
sika-flatt-2-anm-00037.dat -1.6723 1.4416 -1.1210 1.1687 -1.0558 0.9590 6.0 17.9 1.123 2.2 1.166 30 0.9841 2.57783 2.52627 1.79431 1.43667 1.40794
sika-flatt-2-anm-00038.dat -0.8488 0.7877 -0.9120 0.9779 -0.8678 0.8527 2.0 8.6 1.144 1.5 1.111 30 0.9918 3.12105 2.32780 1.93250 1.61503 1.20455
sika-flatt-2-anm-00039.dat -1.3744 1.3158 -1.6338 1.4375 -0.8488 0.9143 5.4 18.8 1.257 2.2 1.279 30 1.0199 1.99071 1.68790 1.47267 1.35177 1.14615
sika-flatt-2-anm-00040.dat -1.2889 1.2106 -1.4041 1.1578 -0.7553 0.7495 3.5 13.8 1.253 1.9 1.280 24 0.9910 3.16676 2.54231 1.47934 2.14065 1.71854
sika-flatt-2-anm-00041.dat -1.1256 0.8951 -1.0494 1.1552 -1.0073 1.2452 4.4 14.9 1.152 2.0 1.103 30 1.0114 2.79700 1.91005 1.48610 1.88211 1.28528
sika-flatt-2-anm-00042.dat -1.0674 1.2233 -1.4740 1.4446 -0.9272 0.9482 4.9 16.7 1.192 2.1 1.264 30 1.0071 2.56549 2.43678 1.83296 1.39964 1.32942
sika-flatt-2-anm-00043.dat -1.2193 1.3312 -1.1392 1.1210 -1.4198 1.4860 6.3 19.1 1.160 2.3 1.136 18 1.0081 3.09534 2.05768 1.90455 1.62523 1.08040
sika-flatt-2-anm-00044.dat -0.9866 1.1746 -1.1658 1.3294 -0.7878 1.0495 3.9 13.5 1.130 1.9 1.090 20 1.0198 2.93321 2.48544 2.18256 1.34393 1.13877
sika-flatt-2-anm-00045.dat -1.1218 1.1845 -0.8802 1.0829 -0.8792 1.1248 3.7 13.0 1.120 1.9 1.077 30 1.0054 2.57622 2.25397 1.82466 1.41189 1.23528
sika-flatt-2-anm-00046.dat -0.9980 0.9295 -1.0973 1.0627 -0.6243 0.6781 1.7 9.6 1.364 1.5 1.321 24 0.9566 2.36391 2.23944 1.58267 1.49362 1.41497
sika-flatt-2-anm-00049.dat -1.0072 0.9546 -1.0599 1.0319 -0.6554 0.7695 2.2 9.4 1.167 1.6 1.153 30 1.0238 2.32229 2.08205 1.09526 2.12031 1.90096
sika-flatt-2-anm-00050.dat -1.1784 1.2161 -1.1865 1.1522 -0.8084 0.9151 3.9 14.3 1.203 1.9 1.150 30 0.9815 2.19316 1.59774 1.48771 1.47419 1.07396
sika-flatt-2-anm-00051.dat -1.0598 1.1544 -1.3999 1.4521 -0.7519 1.0620 4.4 15.7 1.208 2.0 1.142 26 1.0264 2.78902 2.14621 1.65664 1.68354 1.29552
sika-flatt-2-anm-00052.dat -0.8912 1.1341 -0.9549 0.9489 -0.5987 0.6987 2.1 9.3 1.174 1.6 1.154 30 1.0119 2.99148 2.20589 1.86895 1.60062 1.18028
sika-flatt-2-anm-00053.dat -0.9341 0.9614 -0.8733 1.0468 -0.7600 0.8182 2.2 9.8 1.211 1.6 1.149 28 0.9768 2.12950 1.99791 1.24937 1.70445 1.59913
sika-flatt-2-anm-00054.dat -1.3936 1.3814 -0.9787 1.1548 -0.6007 0.6096 3.4 13.7 1.247 1.9 1.347 30 1.0027 2.14129 1.75658 1.51251 1.41572 1.16137
