Name xlow xhi ylow yhi zlow zhi volume surf_area norm_surf_area Equiv_sph_diam Itrace Nnn Norm_Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
A-anm-00001.dat -9.435027 9.153346 -10.821016 11.181805 -6.509243 10.220278 3083.215147 1193.622617 1.165 18.05795 1.093 26 0.99913 22.795276 20.720164 18.479607 1.233537 1.121245
A-anm-00002.dat -9.847358 7.787512 -8.954596 12.479775 -8.867363 11.423038 2698.650662 1111.527237 1.186 17.27359 1.122 26 1.01193 23.316552 20.378654 18.507103 1.259870 1.101126
A-anm-00003.dat -8.940895 10.827912 -6.550035 6.032351 -9.007542 9.455390 1372.400276 787.228465 1.318 13.78777 1.434 26 0.98743 21.179107 19.684319 8.020705 2.640554 2.454188
A-anm-00004.dat -9.431835 9.396873 -4.578946 4.673712 -7.865146 7.887982 1007.046885 625.785248 1.288 12.43609 1.479 16 0.98866 21.409881 15.313432 7.732164 2.768938 1.980485
A-anm-00005.dat -8.043605 9.495393 -10.267504 10.173345 -4.509562 4.194653 1116.271455 699.642251 1.344 12.87035 1.503 26 0.98221 20.667194 17.729222 6.882441 3.002887 2.576008
A-anm-00006.dat -9.857438 9.547230 -13.212064 13.828457 -7.868357 9.228916 3150.977348 1299.284002 1.250 18.18928 1.356 12 0.97223 28.493756 19.583804 16.700502 1.706162 1.172648
B-anm-00001.dat -9.461810 9.824626 -8.739040 8.734285 -7.031077 6.181231 1507.342036 792.837237 1.247 14.22562 1.242 26 1.00496 20.218151 17.912909 12.302603 1.643404 1.456026
B-anm-00002.dat -8.836043 8.350433 -9.553483 10.411622 -6.060444 5.802394 1398.447231 759.904957 1.257 13.87445 1.365 26 0.99040 21.921989 16.817838 10.549748 2.077963 1.594146
B-anm-00003.dat -11.099489 8.606119 -9.238459 7.309157 -10.350146 10.003485 2644.916919 1068.583149 1.155 17.15818 1.114 22 1.01339 22.572941 20.424576 15.319966 1.473433 1.333200
B-anm-00004.dat -8.030983 9.003565 -6.772735 8.873945 -7.866957 6.817785 1649.529187 776.911064 1.151 14.65954 1.102 26 1.01435 19.160768 17.447011 13.394439 1.430502 1.302556
B-anm-00005.dat -9.011080 8.316412 -8.451313 10.232232 -9.473849 10.052947 2196.345136 1020.390188 1.249 16.12751 1.235 18 0.96299 22.199790 21.468908 11.151040 1.990827 1.925283
B-anm-00006.dat -9.837676 9.540340 -9.764308 10.043039 -10.090682 7.311934 2614.010153 1088.077307 1.186 17.09108 1.118 26 1.00831 23.676304 21.464544 16.532014 1.432149 1.298362
C-anm-00001.dat -9.086422 9.287602 -12.250840 9.274688 -5.240593 7.089141 1552.177397 822.606228 1.269 14.36528 1.359 20 1.03601 22.760145 14.588966 11.117668 2.047205 1.312233
C-anm-00002.dat -7.089224 11.143828 -10.783739 10.417082 -5.348139 7.403578 1552.673698 832.122330 1.283 14.36682 1.294 26 0.97956 22.767154 17.509395 11.794438 1.930330 1.484547
C-anm-00003.dat -13.020565 11.481210 -11.927666 9.753391 -11.699980 12.212135 4025.232063 1488.333039 1.216 19.73623 1.235 26 1.00161 27.664065 25.322154 16.614719 1.665034 1.524080
