Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
GR-coarse-anm-00458.dat -2.1103 1.9876 -2.6980 2.9271 -1.3040 1.6409 28.0 62.0 1.377 3.8 1.324 18 0.9899 6.48264 4.21280 3.61012 1.79569 1.16694
GR-coarse-anm-00099.dat -2.6558 2.2945 -2.1423 2.1732 -1.8555 1.8336 29.0 62.0 1.357 3.8 1.173 20 1.0219 5.69095 4.42818 3.46709 3.46709 1.55004ÿ
GR-coarse-anm-00019.dat -3.1430 3.0018 -2.5086 2.0862 -2.7908 1.7191 31.0 67.0 1.392 3.9 1.613 18 1.0437 7.15495 4.83070 2.67253 2.67253 3.46709
GR-coarse-anm-00179.dat -2.2683 3.2469 -1.5901 1.8314 -3.1133 2.0250 34.0 69.0 1.365 4.0 1.329 24 1.0453 6.69686 4.49886 3.22030 3.22030 2.67253
GR-coarse-anm-00192.dat -2.4137 2.5393 -2.3744 2.7913 -2.1474 1.4402 35.0 67.0 1.287 4.1 1.167 24 1.0248 5.83006 4.67525 4.57534 4.57534 3.22030
GR-coarse-anm-00413.dat -2.4089 1.6891 -3.9180 3.7056 -1.6764 2.0304 36.0 76.0 1.446 4.1 1.815 22 0.9939 8.04656 4.16962 3.10016 3.10016 3.22030
GR-coarse-anm-00087.dat -3.0125 2.5396 -1.8353 1.8285 -2.8676 2.2523 38.0 73.0 1.327 4.2 1.321 22 1.0304 6.97370 4.32303 3.29065 3.29065 2.59553
GR-coarse-anm-00069.dat -2.7451 3.2686 -3.0177 3.6670 -1.1062 2.1039 38.0 89.0 1.626 4.2 1.444 20 0.9666 7.05549 6.15300 3.05648 3.05648 4.57534
GR-coarse-anm-00520.dat -2.2649 2.4563 -2.8719 3.7259 -1.7694 1.8812 38.0 76.0 1.385 4.2 1.289 26 1.0323 6.86238 4.61796 3.78940 1.81094 1.21865
GR-coarse-anm-00257.dat -2.8824 2.4094 -2.6637 2.5672 -3.6106 4.1279 39.0 83.0 1.482 4.2 2.218 16 0.9909 9.42946 5.05439 2.00280 2.00280 3.10016
GR-coarse-anm-00001.dat -3.3855 3.4096 -3.1226 3.2887 -2.4618 2.7097 43.0 88.0 1.492 4.3 1.782 22 0.9790 8.18058 4.30500 3.48302 3.48302 1.81094
GR-coarse-anm-00338.dat -2.2591 2.6025 -3.4990 2.9429 -2.2863 1.3734 42.0 85.0 1.449 4.3 1.373 20 1.0357 7.49749 5.15558 3.63172 3.63172 2.00280
GR-coarse-anm-00389.dat -3.4401 3.4886 -2.7408 2.5542 -1.5801 2.1149 44.0 84.0 1.404 4.4 1.536 22 1.0017 8.09201 4.31585 4.20588 1.92398 1.02615
