Name  xlow xhi ylow yhi zlow zhi  volume  surf._area  norm_surf_area Equiv._sph._diam.  Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thickness(mm) L/T W/T
IN-coarse-anm-00148.dat -2.9133 3.5063 -1.8268 1.8001 -3.6215 2.8755 41.0 83.0 1.454 4.3 1.766 12 1.0382 7.78316 6.59238 2.29438 2.29438 1.60103ÿ
IN-coarse-anm-00155.dat -2.8932 3.1036 -3.7067 3.3363 -1.3162 2.0083 50.0 90.0 1.377 4.6 1.350 20 0.9725 7.36206 4.68671 4.45836 4.45836 2.29438
IN-coarse-anm-00078.dat -3.5300 2.9243 -2.8389 2.3004 -3.2615 2.6710 75.0 106.0 1.230 5.2 1.108 16 1.0382 6.99341 5.97785 4.47789 4.47789 4.45836
IN-coarse-anm-00142.dat -3.2932 3.3233 -3.1751 3.0256 -3.6220 3.9586 82.0 125.0 1.369 5.4 1.473 24 1.0047 9.06321 6.44745 3.41256 3.41256 4.47789
IN-coarse-anm-00156.dat -4.3915 3.6726 -3.4017 3.7645 -3.2396 3.4763 105.0 153.0 1.419 5.9 1.283 28 1.0163 8.87720 7.11425 4.58725 1.93519 1.55087
IN-coarse-anm-00118.dat -2.0693 1.9940 -4.6064 4.6996 -3.6783 3.0182 106.0 144.0 1.332 5.9 1.333 28 0.9927 9.37633 6.72266 3.88047 3.88047 3.41256
IN-coarse-anm-00071.dat -3.5133 3.3161 -3.2750 3.7867 -4.7010 3.5200 117.0 158.0 1.369 6.1 1.248 26 1.0262 9.24488 7.16856 5.01916 5.01916 3.88047
IN-coarse-anm-00050.dat -3.8569 4.2041 -3.4037 3.5548 -3.1539 3.5367 130.0 167.0 1.349 6.3 1.203 28 0.9881 9.40850 6.71691 5.75444 5.75444 5.01916
IN-coarse-anm-00015.dat -5.1335 4.1738 -4.3796 4.4327 -3.0486 2.3920 136.0 187.0 1.461 6.4 1.364 24 0.9844 9.67786 8.14521 4.53483 4.53483 5.75444
IN-coarse-anm-00131.dat -4.1883 5.4770 -5.5794 5.6839 -2.8940 3.2674 150.0 211.0 1.543 6.6 1.683 16 1.0036 12.40048 9.80017 3.95024 3.95024 4.53483
IN-coarse-anm-00018.dat -3.8497 2.9564 -4.7488 5.5109 -4.0756 3.5104 149.0 177.0 1.305 6.6 1.311 16 1.0153 10.27812 7.79115 5.37962 5.37962 4.53483
IN-coarse-anm-00170.dat -4.8966 4.5110 -4.9448 3.8149 -3.0659 3.6160 159.0 194.0 1.366 6.7 1.325 22 1.0155 10.14818 8.80766 5.25498 1.93115 1.67606
IN-coarse-anm-00232.dat -4.1089 4.8461 -3.2978 2.8171 -4.3801 4.0404 154.0 181.0 1.301 6.7 1.221 24 0.9953ÿ 9.80103 7.74513 4.83758 2.02602 1.60103ÿ
IN-coarse-anm-00150.dat -4.3265 4.5635 -3.5095 3.8081 -3.8336 3.9586 156.0 187.0 1.335 6.7 1.306 26 1.0076 10.80862 7.99585 5.78830 5.78830 5.37962
IN-coarse-anm-00024.dat -2.5655 3.2485 -5.0261 5.2614 -3.6084 4.0569 165.0 190.0 1.304 6.8 1.313 24 0.9906 10.33824 8.11843 4.92588 4.92588 5.78830
IN-coarse-anm-00175.dat -2.3466 2.6451 -4.2943 3.4701 -6.4511 5.7228 170.0 204.0 1.376 6.9 1.613 26 1.0293 12.38413 7.96173 3.91380 3.91380 4.92588
IN-coarse-anm-00140.dat -5.8102 5.7100 -3.5347 3.1952 -3.6063 3.9128 180.0 219.0 1.418 7.0 1.538 24 0.9578 11.86027 7.21798 4.46555 4.46555 3.91380
IN-coarse-anm-00003.dat -4.1150 3.9655 -4.2323 4.6698 -3.7287 3.7783 178.0 203.0 1.326 7.0 1.185 30 1.0174 9.44641 7.62664 5.43880 5.43880 3.91380
IN-coarse-anm-00105.dat -4.5138 4.0590 -3.9692 3.9852 -2.3615 3.4849 186.0 187.0 1.185 7.1 1.103 20 1.0019 8.67175 8.24739 6.84528 6.84528 5.43880
IN-coarse-anm-00064.dat -2.6547 3.3230 -5.7010 4.7805 -3.8641 4.4902 203.0 215.0 1.286 7.3 1.340 28 0.9781 10.85474 8.45322 4.71525 4.71525 6.84528
IN-coarse-anm-00227.dat -2.1032 2.5697 -6.0420 5.4344 -3.2454 5.3452 203.0 222.0 1.328 7.3 1.423 26 0.9703 11.61085 9.03392 4.77806 4.77806 6.84528
IN-coarse-anm-00022.dat -4.7158 4.3206 -4.8336 4.5285 -4.3101 3.2409 213.0 231.0 1.340 7.4 1.255 22 0.9648 9.97805 9.88804 5.14638 5.14638 4.71525
IN-coarse-anm-00034.dat -4.2710 4.2113 -4.9128 4.5402 -3.5540 3.0716 208.0 215.0 1.265 7.4 1.097 28 0.9727 9.54628 8.39610 6.72435 6.72435 4.77806
IN-coarse-anm-00132.dat -3.9112 3.8208 -4.4281 4.6856 -3.6100 4.6882 229.0 228.0 1.260 7.6 1.076 30 0.9929 10.13960 8.12197 7.98434 7.98434 5.14638
IN-coarse-anm-00007.dat -5.6462 7.2020 -3.9394 4.7636 -2.9029 3.8446 234.0 256.0 1.395 7.6 1.622 24 0.9839 13.77435 9.33155 4.65760 4.65760 6.72435
IN-coarse-anm-00128.dat -4.5814 4.1746 -5.2208 5.9621 -4.8198 4.1430 227.0 259.0 1.440 7.6 1.506 24 0.9846 12.30194 10.99036 4.35672 4.35672 5.14638
IN-coarse-anm-00027.dat -4.0185 3.9327 -5.1919 5.4973 -3.5805 3.7080 231.0 224.0 1.231 7.6 1.239 22 0.9943 11.52605 8.26056 5.68464 5.68464 6.72435
IN-coarse-anm-00230.dat -5.2866 5.0339 -4.9771 5.0720 -4.4543 4.5877 254.0 265.0 1.366 7.9 1.303 24 1.0124 12.09860 9.51996 6.63976 6.63976 5.68464
IN-coarse-anm-00100.dat -7.4312 6.5197 -4.5716 4.6296 -3.9072 1.9075 264.0 292.0 1.469 8.0 1.457 30 0.9631 14.00358 9.21530 5.76675 5.76675 6.63976
IN-coarse-anm-00107.dat -3.7844 3.6367 -6.1778 6.1488 -6.4292 5.2130 265.0 279.0 1.398 8.0 1.478 24 1.0134 12.89989 12.35631 4.92332 4.92332 6.63976
IN-coarse-anm-00095.dat -4.7122 4.1830 -5.4871 5.3031 -4.7699 5.8582 277.0 282.0 1.373 8.1 1.352 14 0.9996 12.51698 10.67645 6.17360 6.17360 5.76675
IN-coarse-anm-00087.dat -5.6254 4.8955 -4.2762 3.6654 -3.8838 4.1790 274.0 262.0 1.285 8.1 1.150 30 0.9634 11.16257 8.51854 6.54373 6.54373 4.92332
IN-coarse-anm-00143.dat -4.8203 4.7103 -5.1518 4.9503 -4.0055 4.3207 288.0 274.0 1.300 8.2 1.239 30 1.0236 12.35707 8.24706 6.04760 6.04760 6.54373
IN-coarse-anm-00221.dat -4.3888 5.3130 -3.1421 4.4343 -6.5079 5.2832 291.0 273.0 1.286 8.2 1.265 18 1.0211 12.31586 9.94850 7.57035 7.57035 6.17360
IN-coarse-anm-00085.dat -2.9682 3.6973 -6.1751 6.8343 -7.2003 7.2737 291.0 325.0 1.529 8.2 2.009 26 0.9780 17.64249 9.39954 3.94306 3.94306 6.54373
IN-coarse-anm-00083.dat -5.9945 5.3234 -4.8269 5.0065 -3.9236 4.4089 300.0 278.0 1.282 8.3 1.204 26 1.0021 11.72838 9.13422 6.92763 6.92763 3.94306
IN-coarse-anm-00031.dat -5.1149 5.7020 -3.9303 4.4164 -5.8503 4.1050 300.0 282.0 1.302 8.3 1.253 22 0.9684 11.47785 10.66950 7.05197 7.05197 6.04760
IN-coarse-anm-00158.dat -5.9813 6.1067 -5.1732 4.4308 -3.5860 3.9424 302.0 295.0 1.354 8.3 1.433 26 0.9946 14.39086 9.59401 5.48948 5.48948 7.57035
IN-coarse-anm-00223.dat -2.5050 2.2164 -6.0230 4.7672 -6.2229 7.1265 303.0 309.0 1.416 8.3 1.669 24 0.9692 14.55187 12.64173 3.97175 3.97175 3.94306
IN-coarse-anm-00088.dat -4.6833 4.5981 -4.7941 5.7330 -5.1395 4.6943 316.0 280.0 1.249 8.4 1.206 28 1.0026 12.34292 8.23908 7.96427 7.96427 5.48948
