Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA106A-1-fine-anm-00003.dat           0.451        0.37           0        0.12       0.971     -0.0724    8.87e-18     -0.0341        5.67        0.85       0.464       0.793       0.529        1.94        1.19        1.19        1.18        1.18       0.781       0.958       0.848         0.8       0.973
MA106A-1-fine-anm-00004.dat           0.568      -0.264      0.0334       0.125        1.19      0.0965      0.0531       -0.08        5.74        0.86       0.477       0.824       0.546        2.39        1.89        1.29        1.89        1.29       0.608       0.944       0.717       0.676       0.973
MA106A-1-fine-anm-00005.dat           0.571       0.109       0.172      0.0661        1.24     -0.0888       0.107    8.53e-18        5.86       0.848       0.459       0.814       0.523        2.39        1.99        1.33        1.99        1.33       0.608       0.946       0.718       0.679       0.975
MA106A-1-fine-anm-00008.dat           0.593      -0.217      0.0557     -0.0283         1.5       0.181      0.0229      0.0115        5.88       0.836       0.394       0.798       0.508        3.02        1.97         1.6        1.97        1.55       0.636        0.94        0.74       0.685       0.965
MA106A-1-fine-anm-00009.dat           0.707      -0.495    6.07e-17    3.03e-17        1.59    -0.00616       0.098       0.105        5.59        0.87       0.445        0.83        0.54        3.18        1.94        1.81        1.89        1.91       0.781       0.955       0.848       0.796       0.971
MA106A-1-fine-anm-00010.dat           0.663      -0.102       -0.16        0.12        1.31     -0.0159      0.0836      -0.117        5.53       0.878       0.506       0.858       0.512        2.59        1.88        1.86        1.85        1.93       0.882       0.981        0.92       0.898       0.989
MA106A-1-fine-anm-00011.dat           0.444      0.0404      0.0637     -0.0548           1      0.0191      0.0139      0.0111        5.54       0.863       0.442        0.82       0.538           2        1.43       0.985        1.43       0.985       0.582        0.93       0.697       0.644       0.964
MA106A-1-fine-anm-00012.dat           0.418      0.0806           0       0.127       0.898      -0.091      -0.036      -0.118        5.54       0.865       0.466       0.833       0.566         1.7        1.66       0.978        1.66        1.02       0.607       0.949       0.717       0.683       0.978
MA106A-1-fine-anm-00013.dat           0.413     -0.0601      0.0238     0.00816       0.767    -0.00797     -0.0418     -0.0585        5.71       0.875       0.539       0.855       0.483        1.53        1.34        1.03        1.34        1.03       0.718       0.975       0.802       0.781       0.988
MA106A-1-fine-anm-00016.dat           0.775      0.0839       0.178      -0.078        1.36     -0.0709      -0.151       0.201        5.25       0.924       0.571       0.901        0.62        2.65        2.15        1.68        2.13        1.66       0.698       0.968       0.787        0.76       0.984
MA106A-1-fine-anm-00017.dat           0.468      0.0232     -0.0169     -0.0883       0.855      0.0538      0.0847    -0.00631        5.72       0.864       0.547       0.846       0.461        1.58        1.54        1.39        1.52        1.36       0.873       0.996       0.913       0.909       0.998
MA106A-1-fine-anm-00018.dat           0.351     0.00678       0.108      -0.101           1      -0.108     -0.0137       0.232        6.73       0.756        0.35       0.705       0.482        2.01        1.55       0.827        1.53       0.871       0.496       0.895       0.626       0.564       0.952
MA106A-1-fine-anm-00019.dat           0.332       0.305     -0.0386       0.079       0.985       0.088      0.0349     -0.0889         6.3       0.804       0.337       0.735        0.58        1.94        1.55       0.695        1.55       0.699       0.402       0.836       0.545       0.469       0.931
MA106A-1-fine-anm-00020.dat           0.496      -0.117       0.109      -0.101        1.19      0.0995        0.12      0.0401        6.04       0.824       0.416       0.773       0.526        2.35         1.9        1.06        1.89        1.03        0.49       0.894       0.622       0.561       0.953
MA106A-1-fine-anm-00021.dat            0.58     -0.0201      0.0427       0.145        1.24    -0.00937     -0.0148      -0.138        5.48       0.892       0.469       0.858       0.582        2.42        2.03        1.32        2.02        1.28       0.578       0.935       0.694        0.65       0.971
MA106A-1-fine-anm-00022.dat           0.499      -0.414    5.07e-17       0.079        1.12       0.042     -0.0507      -0.203        5.55       0.882       0.447       0.844       0.605        2.23        1.75         1.1        1.75         1.1       0.559       0.926       0.678       0.629       0.965
MA106A-1-fine-anm-00023.dat           0.586      -0.204      -0.434    2.94e-17        1.87     -0.0555       0.171     -0.0844         6.1       0.804       0.313       0.735       0.562        3.75        2.36        1.32        2.34         1.4        0.47       0.871       0.605       0.521       0.931
MA106A-1-fine-anm-00024.dat           0.496       0.346       0.137       0.047         1.2     -0.0755      0.0415      0.0626         5.8       0.836       0.413       0.784       0.516         2.4        1.69        1.25        1.67        1.25       0.625       0.942       0.731       0.681       0.968
MA106A-1-fine-anm-00025.dat           0.365       0.216      0.0556     -0.0282       0.732      -0.125     -0.0158       0.024        5.76       0.851       0.498        0.82       0.511        1.46        1.15       0.983        1.15       0.983       0.758       0.977       0.831       0.809       0.988
MA106A-1-fine-anm-00026.dat           0.394     -0.0392      0.0834      -0.127       0.916      -0.034      -0.105       0.151         6.1       0.827        0.43       0.781       0.526        1.84        1.44       0.936        1.44       0.936       0.576       0.932       0.692       0.645       0.968
MA106A-1-fine-anm-00027.dat           0.453      -0.298      0.0764     -0.0586        1.33     -0.0197    2.42e-18      0.0311        6.03        0.81        0.34       0.742       0.604        2.68        2.13        1.01        2.12        0.98       0.411       0.842       0.553       0.478       0.933
MA106A-1-fine-anm-00028.dat           0.421      0.0882       0.107         0.1       0.836     -0.0279     0.00716     -0.0135        5.79       0.859       0.504        0.83       0.513        1.65        1.27        1.13         1.2        1.27       0.903       0.984       0.935       0.916       0.991
MA106A-1-fine-anm-00030.dat           0.347      -0.181       0.219      0.0359       0.995      0.0321     -0.0233     -0.0721        6.46       0.769       0.348       0.707       0.534        1.97        1.87        1.01        1.86        1.01       0.527       0.916       0.653       0.605       0.965
MA106A-1-fine-anm-00031.dat           0.392     0.00698      0.0215     -0.0311       0.954      0.0149     -0.0779      0.0151        6.01       0.844       0.411       0.812       0.513        1.91        1.36        1.11        1.36         1.1       0.679       0.957       0.773       0.733       0.976
MA106A-1-fine-anm-00032.dat           0.497      -0.185       0.102      0.0267        1.39      0.0461     -0.0335     -0.0688        6.08       0.813       0.357       0.767       0.473         2.8        1.93        1.06        1.93        1.13       0.486       0.885       0.618       0.546       0.943
MA106A-1-fine-anm-00033.dat           0.384     -0.0674      0.0815      0.0202       0.937     0.00859      -0.045      0.0974        5.79       0.834       0.409       0.796       0.487        1.89        1.25        1.08        1.25        1.08       0.704       0.956       0.791       0.746       0.973
MA106A-1-fine-anm-00035.dat           0.376       0.108      -0.101      0.0187       0.919      0.0177      0.0546     -0.0694         6.1       0.822       0.409       0.783       0.485        1.82        1.44       0.909        1.41       0.975       0.608       0.943       0.718       0.675       0.972
MA106A-1-fine-anm-00036.dat           0.108     -0.0877    1.07e-17      0.0167       0.333       0.035      -0.009      0.0199         inf       0.777       0.323       0.719       0.424       0.668       0.452       0.281       0.448       0.276       0.504       0.893       0.633       0.562       0.945
MA106A-1-fine-anm-00039.dat           0.163      0.0863           0     0.00543       0.414     -0.0133     0.00168     -0.0524        4.64       0.835       0.392       0.797       0.411       0.834       0.485       0.415       0.485       0.415       0.653       0.933       0.753       0.685       0.956
MA106A-1-fine-anm-00040.dat          0.0995      0.0224     -0.0271     0.00902       0.227     0.00129      0.0204     0.00391         inf       0.795       0.437       0.765       0.339       0.445       0.337       0.253       0.328        0.26       0.679       0.959       0.773       0.736       0.978
MA106A-1-fine-anm-00041.dat           0.473      -0.305     -0.0783      0.0808        1.12      0.0194     -0.0235      0.0368        6.08       0.803       0.422       0.762       0.489        2.25        1.73        1.43         1.6        1.48       0.782       0.974       0.849        0.82       0.984
MA106A-1-fine-anm-00044.dat           0.693       0.391      -0.155     -0.0531        1.66      -0.185       0.173         0.1        5.62       0.866       0.416       0.816       0.559        3.33         2.1        1.47         2.1        1.48        0.56       0.913        0.68        0.61        0.95
MA106A-1-fine-anm-00045.dat           0.708       0.351      -0.193      0.0506        1.51     -0.0449      0.0178     -0.0665         5.3        0.92       0.469       0.889        0.65        3.03        2.19        1.52        2.18        1.53       0.594       0.934       0.706       0.656       0.966
MA106A-1-fine-anm-00046.dat           0.466      0.0568      0.0533     -0.0253       0.871     -0.0423       -0.09      0.0722        5.54        0.86       0.536       0.839       0.459        1.74        1.45         1.2        1.45         1.2       0.755        0.98       0.829       0.811        0.99
MA106A-1-fine-anm-00047.dat           0.314     -0.0536       0.114      -0.134       0.767       0.061      0.0335        0.11         5.9       0.794       0.409       0.759       0.482        1.54         1.3       0.956         1.3       0.939       0.665       0.963       0.762       0.732       0.982
MA106A-1-fine-anm-00048.dat           0.498     -0.0461     -0.0433     -0.0297       0.857     -0.0777    9.51e-18      0.0827        5.44       0.899       0.582       0.887       0.494        1.66        1.44        1.28        1.43        1.25       0.814       0.988       0.872        0.86       0.994
