Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA107-6-fine-anm-00001.dat -0.7411 0.8811 -0.8917 0.9340 -0.6759 0.5927 1.5 7.1 1.134 1.4 1.125 28 1.0262 2.00221 1.44602 1.28764 1.55494 1.12299
MA107-6-fine-anm-00002.dat -0.7429 0.6408 -0.7549 0.9394 -0.5828 0.6194 1.1 5.8 1.132 1.3 1.132 30 1.0009 1.68124 1.37135 1.11088 1.51344 1.23447
MA107-6-fine-anm-00003.dat -0.6568 0.5770 -0.3155 0.3369 -0.2476 0.1113 0.1 1.6 1.606 0.6 2.365 12 0.9580 1.25842 0.61637 0.34737 3.62277 1.77441
MA107-6-fine-anm-00004.dat -0.8344 0.7725 -0.8867 0.8427 -0.6621 0.7731 1.8 8.2 1.151 1.5 1.128 28 0.9596 2.07350 1.62849 1.33881 1.54876 1.21637
MA107-6-fine-anm-00005.dat -0.9439 0.9239 -0.7286 0.6340 -0.4651 0.5810 1.2 6.3 1.158 1.3 1.184 30 1.0010 1.90116 1.37521 1.18424 1.60539 1.16126
MA107-6-fine-anm-00007.dat -1.2102 1.1766 -1.1120 1.1018 -0.7469 0.7818 3.3 11.9 1.098 1.9 1.136 30 0.9982 2.45099 2.01683 1.52433 1.60791 1.32310
MA107-6-fine-anm-00011.dat -0.9475 1.1499 -0.9012 0.9323 -0.7017 0.8690 2.7 10.3 1.097 1.7 1.089 26 0.9552 2.19565 1.77091 1.47199 1.49162 1.20307
MA107-6-fine-anm-00012.dat -0.7758 0.7672 -0.9009 0.9001 -0.6418 0.7472 1.8 7.9 1.103 1.5 1.091 22 1.0262 1.93171 1.48477 1.34927 1.43167 1.10043
MA107-6-fine-anm-00014.dat -0.8654 0.6700 -0.5468 0.6413 -0.3995 0.5938 0.7 4.3 1.181 1.1 1.216 30 0.9958 1.60890 1.19986 0.89776 1.79212 1.33650
MA107-6-fine-anm-00015.dat -1.0515 1.0752 -0.7470 0.8701 -0.5740 0.6640 1.8 8.2 1.135 1.5 1.136 30 1.0128 2.18982 1.61037 1.34144 1.63244 1.20048
MA107-6-fine-anm-00016.dat -0.7630 0.8037 -1.0184 0.9465 -0.5041 0.6009 1.4 7.0 1.151 1.4 1.181 30 1.0108 1.97567 1.59439 1.08203 1.82590 1.47352
MA107-6-fine-anm-00017.dat -0.8558 0.9687 -0.7770 0.8400 -0.3465 0.6028 1.2 6.6 1.230 1.3 1.332 30 0.9793 2.07342 1.44119 1.02313 2.02654 1.40861
MA107-6-fine-anm-00018.dat -1.1397 1.0305 -1.0050 0.8771 -0.6016 0.8257 2.1 9.7 1.222 1.6 1.166 14 0.9860 2.22531 1.95732 1.33080 1.67216 1.47079
MA107-6-fine-anm-00020.dat -0.9026 0.8478 -0.7457 0.7461 -0.5356 0.6529 1.4 6.5 1.079 1.4 1.089 30 0.9983 1.84435 1.46452 1.16433 1.58404 1.25783
MA107-6-fine-anm-00021.dat -0.8495 1.0286 -0.8301 0.8017 -0.4481 0.4088 1.1 6.4 1.222 1.3 1.336 30 0.9988 1.88834 1.66340 0.86545 2.18193 1.92201
MA107-6-fine-anm-00024.dat -0.7780 0.8125 -0.9894 0.8526 -0.6839 0.8107 1.9 8.7 1.161 1.5 1.118 26 1.0023 1.97630 1.72780 1.39348 1.41825 1.23992
MA107-6-fine-anm-00025.dat -1.1206 1.1067 -1.2329 1.2698 -0.6718 0.7625 4.1 13.2 1.067 2.0 1.129 30 0.9998 2.56557 2.19662 1.43237 1.79113 1.53355
MA107-6-fine-anm-00026.dat -1.4834 1.2956 -0.9822 1.0852 -0.6312 0.6640 3.2 12.6 1.197 1.8 1.355 30 1.0138 2.90576 1.77941 1.37393 2.11493 1.29513
MA107-6-fine-anm-00027.dat -1.3318 1.3376 -0.9193 1.1187 -0.5729 0.7892 3.1 11.9 1.160 1.8 1.241 30 1.0159 2.71636 1.94567 1.35685 2.00196 1.43396
MA107-6-fine-anm-00028.dat -0.7612 0.7041 -1.1648 1.1832 -0.4890 0.6227 1.7 8.1 1.159 1.5 1.357 30 1.0001 2.38722 1.37486 1.20986 1.97313 1.13638
MA107-6-fine-anm-00029.dat -0.9352 0.8007 -1.1248 1.1740 -0.5501 0.6539 2.3 9.8 1.144 1.6 1.190 30 1.0004 2.42677 1.83219 1.23981 1.95738 1.47781
MA107-6-fine-anm-00031.dat -1.0608 1.1985 -1.0004 1.0256 -0.6881 0.8043 3.1 11.7 1.141 1.8 1.154 30 0.9952 2.30393 2.13105 1.43353 1.60717 1.48657
