Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA108A-7-fine-anm-00001.dat          0.0647      0.0219     -0.0121     0.00316       0.158     0.00349     -0.0183    -0.00235       0.783       0.409       0.753       0.352       0.316       0.252       0.166        0.25       0.165       0.586       0.936         0.7       0.655        0.97
MA108A-7-fine-anm-00004.dat           0.093      0.0172     -0.0044    1.08e-18       0.169    -0.00612     0.00739     -0.0116       0.867        0.55       0.855       0.356       0.338       0.265       0.221       0.265       0.221       0.738       0.974       0.817       0.792       0.986
MA108A-7-fine-anm-00008.dat          0.0754      0.0135     0.00741    -0.00395       0.142     -0.0114     -0.0138    -0.00461       0.811       0.531       0.799       0.284       0.275       0.213       0.199       0.206       0.183       0.769       0.976       0.839       0.815       0.986
MA108A-7-fine-anm-00011.dat           0.075      -0.025     0.00316    1.55e-18       0.147     0.00169     0.00885    -0.00231       0.832       0.511       0.818       0.322       0.294       0.247        0.19       0.247       0.189       0.702       0.971        0.79       0.765       0.986
MA108A-7-fine-anm-00014.dat          0.0776    -0.00104     0.00545     0.00459        0.16     0.00654     0.00168     -0.0143       0.834       0.486       0.816       0.333       0.322       0.257       0.197       0.254       0.194       0.679       0.963       0.772       0.741       0.981
MA108A-7-fine-anm-00017.dat            0.12      0.0637      -0.035     0.00457       0.323     -0.0171    -0.00216      0.0142       0.797       0.372       0.752        0.47       0.647       0.509       0.273       0.506        0.27       0.472       0.883       0.606       0.541       0.948
MA108A-7-fine-anm-00020.dat           0.103     -0.0413      0.0388    -0.00356       0.246      0.0391     -0.0367     0.00678       0.808       0.417       0.794       0.334       0.496       0.359       0.249       0.356       0.236       0.563       0.923       0.682       0.625       0.961
MA108A-7-fine-anm-00023.dat          0.0998      0.0877     -0.0347     -0.0374       0.281     -0.0204     2.5e-18      0.0371       0.835       0.356       0.785       0.489       0.562       0.364       0.269       0.364       0.269       0.594       0.927       0.707       0.645       0.958
MA108A-7-fine-anm-00027.dat           0.111      0.0163     0.00895     0.00736       0.195     -0.0116    -0.00147     -0.0125       0.881       0.569       0.872       0.331       0.392       0.284       0.278       0.275       0.279       0.851       0.978       0.898       0.873       0.987
MA108A-7-fine-anm-00030.dat           0.107     -0.0233     0.00922     0.00157       0.187      0.0158     -0.0148     0.00414       0.868       0.572       0.861       0.334        0.37       0.313       0.275       0.313       0.276       0.809       0.987       0.868       0.856       0.993
MA108A-7-fine-anm-00033.dat          0.0906     -0.0139    -0.00356     0.00567       0.163     0.00263      0.0056     -0.0113       0.847       0.557       0.842       0.299       0.326       0.233       0.249       0.233       0.249       0.902       0.983       0.934       0.914        0.99
MA108A-7-fine-anm-00036.dat          0.0683     -0.0389      0.0214     0.00279       0.164     0.00148    -0.00776    -0.00434       0.798       0.418       0.775       0.316       0.329       0.234       0.171       0.234       0.171       0.616       0.941       0.724       0.675       0.968
MA108A-7-fine-anm-00039.dat          0.0761     -0.0114     -0.0243    -0.00169       0.165    -0.00273     0.00108    -0.00625       0.821       0.462       0.802       0.349       0.331       0.304       0.185       0.304       0.185       0.583       0.939       0.698       0.659       0.974
MA108A-7-fine-anm-00042.dat          0.0843     -0.0169      0.0158    -0.00292       0.163     0.00515           0       0.013        0.85       0.516       0.838       0.334       0.326       0.255       0.215       0.255       0.215       0.747       0.975       0.823       0.799       0.987
MA108A-7-fine-anm-00045.dat           0.111     -0.0698     0.00881     -0.0134       0.226      0.0117    -0.00463      0.0134       0.855       0.491       0.833       0.376       0.453       0.302       0.282       0.299       0.298       0.809       0.969       0.868       0.833       0.981
MA108A-7-fine-anm-00048.dat           0.105      0.0105    -0.00985    -0.00275       0.183     0.00299    0.000377     0.00249       0.872       0.573       0.864       0.329       0.366        0.28       0.261        0.26       0.287       0.931       0.983       0.954       0.933        0.99
MA108A-7-fine-anm-00051.dat          0.0673     -0.0357    4.37e-18     0.00225       0.161     -0.0054      0.0166    -0.00221       0.798       0.418       0.774       0.339       0.322       0.244       0.174       0.244        0.17       0.606       0.941       0.716       0.671        0.97
MA108A-7-fine-anm-00054.dat           0.101      -0.123     -0.0676     0.00883       0.269      0.0118     -0.0186       0.016       0.752       0.376       0.671        0.44       0.539        0.42       0.219        0.42       0.219        0.46       0.875       0.596       0.528       0.945
MA108A-7-fine-anm-00057.dat           0.102    -0.00406     -0.0125    -0.00619       0.159     -0.0047    -0.00258      0.0114       0.879        0.64        0.88       0.305       0.313       0.273       0.257       0.273       0.257       0.878       0.994       0.917        0.91       0.997
MA108A-7-fine-anm-00060.dat          0.0795      0.0113      -0.024     -0.0168       0.217     -0.0136      0.0164      0.0155       0.759       0.367       0.706       0.377       0.434       0.266       0.166        0.26       0.173       0.514       0.891       0.642        0.56       0.937
MA108A-7-fine-anm-00063.dat           0.138     -0.0264     -0.0192    -0.00839       0.218      0.0132     0.00523     -0.0151       0.886       0.633       0.881       0.362       0.428       0.399       0.376       0.399       0.376       0.909       0.997       0.939       0.936       0.999
MA108A-7-fine-anm-00066.dat          0.0643      0.0324     -0.0178    -0.00467       0.135    0.000426     0.00678    -0.00373       0.799       0.477       0.782       0.306       0.268       0.236       0.171       0.236       0.171       0.679       0.967       0.772       0.747       0.985
MA108A-7-fine-anm-00069.dat           0.103     -0.0259    -0.00327     0.00164       0.268       0.002      0.0318     0.00819       0.792       0.384       0.757       0.375       0.518       0.381       0.234       0.374        0.25       0.568       0.925       0.686       0.631       0.962
MA108A-7-fine-anm-00072.dat          0.0758      0.0158    -0.00627      0.0108       0.147     0.00232    -0.00493     -0.0116       0.823       0.515       0.815       0.304       0.299       0.231       0.213       0.229       0.213       0.815       0.982       0.873       0.853        0.99
MA108A-7-fine-anm-00075.dat          0.0934     -0.0967     -0.0248     0.00628       0.256     0.00434           0      0.0169       0.781       0.366       0.688       0.414       0.513       0.221       0.225        0.22       0.223       0.664       0.896       0.761       0.643       0.921
MA108A-7-fine-anm-00078.dat          0.0765     0.00153     0.00472     0.00127       0.158     0.00247      0.0129    8.06e-19       0.827       0.485       0.809       0.313       0.316       0.231       0.197       0.229       0.196       0.731       0.968       0.811       0.779       0.981
MA108A-7-fine-anm-00081.dat          0.0597      0.0342     -0.0136    -0.00232       0.146    -0.00393    -0.00836    -0.00508       0.767        0.41       0.743       0.341       0.293        0.22       0.157        0.22        0.16       0.632       0.948       0.736       0.694       0.973
MA108A-7-fine-anm-00084.dat           0.068      0.0183     -0.0171    -0.00478       0.137    0.000414    -0.00658       0.012       0.821       0.495       0.809       0.324       0.277       0.233       0.169       0.233       0.169       0.665       0.962       0.762       0.732       0.982
MA108A-7-fine-anm-00087.dat           0.122      0.0127     -0.0154    1.22e-18       0.236      0.0221      0.0161    -0.00889       0.873       0.517       0.862       0.335       0.477       0.317       0.293       0.316       0.287       0.738       0.962       0.817       0.776       0.976
MA108A-7-fine-anm-00090.dat           0.106      0.0135    -0.00171     -0.0026       0.183     0.00379    0.000479    -0.00316       0.877        0.58       0.872       0.333       0.361       0.342       0.243       0.342       0.243       0.692       0.972       0.782       0.761       0.987
MA108A-7-fine-anm-00093.dat          0.0742     -0.0112     -0.0106     0.00396       0.185     0.00346     -0.0182     -0.0134       0.796       0.401       0.762        0.36       0.372       0.263       0.186       0.263       0.186       0.594       0.933       0.706       0.654       0.964
MA108A-7-fine-anm-00096.dat          0.0684      -0.043     -0.0236    -0.00308       0.155    -0.00267       0.014     0.00463         0.8       0.442       0.775       0.339       0.309       0.246       0.179       0.246       0.179       0.649       0.956       0.749       0.715       0.978
MA108A-7-fine-anm-00099.dat          0.0806    -0.00396     0.00842    -0.00512       0.157      0.0127     -0.0092     0.00299        0.83       0.512       0.819       0.325       0.313       0.254       0.195       0.254       0.195       0.692       0.967       0.782       0.755       0.984
MA108A-7-fine-anm-00102.dat          0.0771    -0.00704     0.00512    -0.00817       0.138    -0.00575     -0.0122     0.00635       0.816       0.558       0.813       0.284       0.271       0.221       0.198       0.219       0.204       0.836       0.988       0.888       0.875       0.993
MA108A-7-fine-anm-00105.dat          0.0806      0.0509      0.0202    -0.00345       0.172    -0.00988     0.00254     0.00404       0.817       0.469       0.791       0.362       0.335       0.288        0.19       0.288       0.189        0.61       0.947       0.719       0.683       0.976
MA108A-7-fine-anm-00108.dat          0.0826    -0.00792      0.0125    -0.00813       0.156    -0.00514    -0.00483      0.0178       0.823       0.529       0.814       0.304       0.309       0.258       0.216       0.258       0.216       0.765       0.981       0.837       0.819        0.99
MA108A-7-fine-anm-00111.dat          0.0755     -0.0434    -0.00549    -0.00553       0.165     -0.0029     0.00892      0.0113       0.827       0.458       0.809       0.351        0.33       0.264       0.189       0.264       0.189       0.642       0.954       0.744       0.709       0.978
MA108A-7-fine-anm-00114.dat          0.0863      0.0938     -0.0118      -0.018       0.265      0.0118     -0.0362      0.0209        0.78       0.325       0.712       0.409       0.536       0.261       0.209        0.26       0.209       0.559       0.888       0.679       0.573       0.921
