Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA108A-7-fine-anm-00001.dat          0.0647      0.0219     -0.0121     0.00316       0.158     0.00349     -0.0183    -0.00235         inf       0.788       0.409       0.751       0.352       0.316       0.252       0.166        0.25       0.165       0.586       0.936         0.7       0.655        0.97
MA108A-7-fine-anm-00002.dat          0.0952      0.0215     -0.0085     0.00593       0.158     -0.0102    -0.00954    -0.00766         inf       0.869       0.604       0.858       0.284       0.316       0.257       0.229       0.255        0.23       0.809       0.985       0.868       0.853       0.992
MA108A-7-fine-anm-00003.dat          0.0749     -0.0351     0.00444     0.00223       0.168     -0.0108    -0.00277    -0.00811         inf       0.809       0.445        0.78       0.341       0.339       0.271       0.192       0.271       0.192       0.633       0.952       0.737         0.7       0.976
MA108A-7-fine-anm-00004.dat           0.093      0.0172     -0.0044    1.08e-18       0.169    -0.00612     0.00739     -0.0116         inf       0.873        0.55       0.854       0.354       0.338       0.265       0.221       0.265       0.221       0.738       0.974       0.817       0.792       0.986
MA108A-7-fine-anm-00006.dat          0.0795     0.00931      0.0112    -0.00375       0.161     0.00727     0.00187     0.00353         inf       0.851       0.495       0.828       0.347       0.322       0.235         0.2       0.232       0.194       0.709       0.964       0.795        0.76       0.979
MA108A-7-fine-anm-00007.dat           0.125     0.00828     0.00778     0.00292       0.391      0.0295     -0.0117      0.0437         inf       0.786       0.319       0.717       0.421       0.783       0.385       0.298       0.384       0.293       0.533       0.881       0.658       0.551       0.917
MA108A-7-fine-anm-00008.dat          0.0754      0.0135     0.00741    -0.00395       0.142     -0.0114     -0.0138    -0.00461         inf       0.817       0.531       0.798       0.286       0.275       0.213       0.199       0.206       0.183       0.769       0.976       0.839       0.815       0.986
MA108A-7-fine-anm-00009.dat          0.0665      0.0315    -0.00398     0.00605       0.139    -0.00199    -0.00187      0.0143         inf       0.804       0.479       0.781       0.321       0.276       0.232       0.165       0.228       0.167       0.668       0.962       0.764       0.734       0.982
MA108A-7-fine-anm-00010.dat           0.101     0.00396      0.0122     0.00162       0.158    0.000407    -0.00213     0.00299         inf        0.87        0.64       0.863       0.305       0.306       0.289       0.271       0.289       0.267       0.898       0.997       0.931       0.928       0.999
MA108A-7-fine-anm-00011.dat           0.075      -0.025     0.00316    1.55e-18       0.147     0.00169     0.00885    -0.00231         inf       0.837       0.511       0.816       0.321       0.294       0.247        0.19       0.247       0.189       0.702       0.971        0.79       0.765       0.986
MA108A-7-fine-anm-00012.dat          0.0981     0.00813      0.0128      -0.011       0.206    -0.00887     -0.0465     0.00903         inf       0.833       0.477        0.81       0.326       0.412       0.263       0.262       0.255       0.254       0.782        0.96       0.849       0.803       0.975
MA108A-7-fine-anm-00013.dat           0.109     -0.0604     0.00763    3.73e-18       0.214    -0.00374     0.00272      0.0142         inf       0.885       0.509       0.859       0.399       0.429       0.311       0.258       0.311       0.258       0.705       0.963       0.792       0.757       0.979
MA108A-7-fine-anm-00014.dat          0.0776    -0.00104     0.00545     0.00459        0.16     0.00654     0.00168     -0.0143         inf       0.839       0.486       0.815       0.336       0.322       0.257       0.197       0.254       0.194       0.679       0.963       0.772       0.741       0.981
MA108A-7-fine-anm-00015.dat          0.0681      0.0351    -0.00444    -0.00223       0.137    -0.00477     0.00448      0.0103         inf        0.81       0.497        0.79       0.322       0.272       0.224       0.174       0.224       0.174       0.705       0.971       0.792       0.767       0.985
MA108A-7-fine-anm-00016.dat          0.0738      0.0148    -0.00812    -0.00322       0.143   -0.000171    0.000894      0.0072         inf       0.827       0.515       0.806       0.328       0.287       0.213       0.177       0.212       0.185       0.747       0.972       0.823       0.795       0.984
MA108A-7-fine-anm-00017.dat            0.12      0.0637      -0.035     0.00457       0.323     -0.0171    -0.00216      0.0142         inf       0.802       0.372       0.751       0.471       0.647       0.509       0.273       0.506        0.27       0.472       0.883       0.606       0.541       0.948
MA108A-7-fine-anm-00018.dat           0.114      0.0212    -0.00545     0.00562       0.208    -0.00199      0.0316     0.00399         inf       0.858       0.549       0.844       0.324       0.415       0.313       0.275       0.313       0.275       0.765       0.976       0.837       0.812       0.986
MA108A-7-fine-anm-00019.dat          0.0825       0.022    -0.00278      0.0122       0.145     -0.0125     0.00496    -0.00635         inf       0.834       0.568       0.822         0.3       0.287       0.251       0.217       0.251       0.217       0.809       0.989       0.869       0.858       0.994
MA108A-7-fine-anm-00020.dat           0.103     -0.0413      0.0388    -0.00356       0.246      0.0391     -0.0367     0.00678         inf       0.817       0.417       0.796       0.335       0.496       0.359       0.249       0.356       0.236       0.563       0.923       0.682       0.625       0.961
MA108A-7-fine-anm-00021.dat          0.0795      0.0403     0.00509    2.49e-18       0.197    -0.00601      0.0128     0.00458         inf       0.817       0.404       0.769       0.397       0.393       0.249       0.187       0.249       0.187       0.597       0.926       0.709       0.645       0.956
MA108A-7-fine-anm-00022.dat           0.117    -0.00598     0.00723    -0.00595       0.177    -0.00194     0.00413    -0.00486         inf       0.893       0.661       0.886       0.313       0.348       0.316       0.282       0.316       0.282       0.851       0.993       0.898       0.891       0.997
MA108A-7-fine-anm-00023.dat          0.0998      0.0877     -0.0347     -0.0374       0.281     -0.0204     2.5e-18      0.0371         inf       0.841       0.356       0.784       0.484       0.562       0.364       0.269       0.364       0.269       0.594       0.927       0.707       0.645       0.958
MA108A-7-fine-anm-00024.dat          0.0723      0.0142      0.0018     0.00274       0.132    -0.00694    -0.00504    -0.00913         inf       0.825       0.549       0.815       0.289       0.263       0.215       0.185       0.212       0.197       0.834       0.987       0.886       0.872       0.993
MA108A-7-fine-anm-00026.dat          0.0837     -0.0347     -0.0191      0.0102       0.178     0.00191    -0.00999    -0.00403         inf       0.868        0.47       0.845       0.365       0.357       0.275       0.215       0.273       0.208       0.665       0.958       0.762       0.726       0.978
MA108A-7-fine-anm-00027.dat           0.111      0.0163     0.00895     0.00736       0.195     -0.0116     0.00147     -0.0125         inf       0.889       0.569       0.873       0.329       0.392       0.284       0.278       0.275       0.279       0.851       0.978       0.898       0.873       0.987
MA108A-7-fine-anm-00028.dat           0.118     0.00238     0.00507    -0.00677         0.2    -0.00834      0.0101      0.0278         inf       0.904       0.588       0.892       0.352       0.399       0.303        0.31       0.303        0.31       0.892       0.987       0.927       0.912       0.993
MA108A-7-fine-anm-00029.dat          0.0903     -0.0062     0.00977     0.00734       0.164     0.00133     0.00073      -0.012         inf       0.867        0.55       0.849       0.348       0.326       0.302       0.232       0.301       0.233       0.744       0.981       0.821       0.805       0.991
MA108A-7-fine-anm-00030.dat           0.107     -0.0233     0.00922     0.00157       0.187      0.0158     -0.0148     0.00414         inf       0.874       0.572        0.86       0.331        0.37       0.313       0.275       0.313       0.276       0.809       0.987       0.868       0.856       0.993
MA108A-7-fine-anm-00031.dat          0.0897      0.0276      0.0109    -0.00761       0.151    -0.00213      0.0112    0.000715         inf       0.851       0.593        0.84       0.289       0.295        0.25       0.226        0.25       0.226        0.83       0.989       0.883       0.873       0.994
MA108A-7-fine-anm-00032.dat           0.122      0.0156    -0.00197    -0.00999       0.212    -0.00392      0.0121      0.0105         inf       0.893       0.577        0.88       0.353       0.424       0.376       0.278       0.374       0.283        0.71       0.974       0.796       0.775       0.988
MA108A-7-fine-anm-00033.dat          0.0906     -0.0139    -0.00356     0.00567       0.163     0.00263      0.0056     -0.0113         inf       0.854       0.557       0.841       0.299       0.326       0.233       0.249       0.233       0.249       0.902       0.983       0.934       0.914        0.99
MA108A-7-fine-anm-00034.dat          0.0828      0.0129      0.0121    -0.00111       0.176    -0.00498     -0.0261     -0.0105         inf       0.836       0.471       0.815       0.326       0.353       0.269       0.222       0.268       0.213       0.693       0.964       0.783       0.751       0.981
MA108A-7-fine-anm-00035.dat          0.0948     0.00174      0.0277      0.0153       0.254      0.0409           0     -0.0297         inf       0.767       0.373       0.713       0.361        0.51       0.337       0.251       0.334       0.242       0.588       0.926       0.702        0.64       0.958
MA108A-7-fine-anm-00036.dat          0.0683     -0.0389      0.0214     0.00279       0.164     0.00148    -0.00776    -0.00434         inf       0.804       0.418       0.774       0.317       0.329       0.234       0.171       0.234       0.171       0.616       0.941       0.724       0.675       0.968
MA108A-7-fine-anm-00037.dat          0.0979      0.0195    -0.00246     0.00924       0.166     0.00549    -0.00516   -0.000474         inf       0.868       0.591       0.856        0.31       0.331       0.272       0.241       0.272       0.241       0.803       0.985       0.864       0.849       0.992
MA108A-7-fine-anm-00038.dat          0.0861      0.0162           0     9.9e-19       0.148    -0.00294     0.00906     0.00182         inf       0.851        0.58       0.837       0.306       0.297       0.252       0.213       0.252       0.213       0.777       0.984       0.845        0.83       0.992
MA108A-7-fine-anm-00039.dat          0.0761     -0.0114     -0.0243    -0.00169       0.165    -0.00273     0.00108    -0.00625         inf       0.827       0.462       0.801       0.346       0.331       0.304       0.185       0.304       0.185       0.583       0.939       0.698       0.659       0.974
MA108A-7-fine-anm-00040.dat          0.0782     -0.0303    -0.00383    -0.00583       0.147   -0.000937      0.0149     0.00947         inf       0.838       0.533       0.819         0.3       0.293       0.218         0.2       0.218         0.2       0.794       0.978       0.857       0.834       0.987
MA108A-7-fine-anm-00041.dat          0.0653     -0.0199    -0.00251    -0.00126       0.152     0.00935     0.00118    0.000593         inf       0.793        0.43       0.761       0.326       0.304       0.184        0.17       0.184        0.17        0.72        0.95       0.804       0.749       0.968
MA108A-7-fine-anm-00042.dat          0.0843     -0.0169      0.0158    -0.00292       0.163     0.00515           0       0.013         inf       0.855       0.516       0.837       0.334       0.326       0.255       0.215       0.255       0.215       0.747       0.975       0.823       0.799       0.987
MA108A-7-fine-anm-00043.dat          0.0761      -0.013     0.00335    -0.00634       0.155     0.00688      0.0146     0.00888         inf       0.818        0.49       0.796       0.316       0.312       0.231       0.198       0.217       0.195       0.751       0.968       0.826       0.792       0.981
MA108A-7-fine-anm-00044.dat          0.0774     -0.0173    -0.00219    -0.00691        0.14    -0.00523     -0.0038      0.0199         inf       0.854       0.552       0.839       0.304       0.281       0.226       0.197       0.226       0.197       0.779       0.981       0.847       0.828        0.99
MA108A-7-fine-anm-00045.dat           0.111     -0.0698     0.00881     -0.0134       0.226      0.0117    -0.00463      0.0134         inf       0.862       0.491       0.832       0.375       0.453       0.302       0.282       0.299       0.298       0.809       0.969       0.868       0.833       0.981
MA108A-7-fine-anm-00046.dat          0.0673    -0.00757     0.00711     0.00411       0.131      0.0059    -0.00713    -0.00508         inf       0.807       0.512       0.785       0.307       0.254       0.231        0.17       0.231        0.17       0.703       0.973       0.791        0.77       0.988
MA108A-7-fine-anm-00047.dat          0.0654     -0.0136     0.00171    8.37e-19       0.151    -0.00282      0.0034      0.0136         inf       0.792       0.433       0.763       0.334       0.303       0.228       0.172       0.227       0.172       0.655       0.955       0.754       0.716       0.976
MA108A-7-fine-anm-00048.dat           0.105      0.0105    -0.00985    -0.00275       0.183     0.00299    0.000377     0.00249         inf       0.879       0.573       0.863        0.33       0.366        0.28       0.261        0.26       0.287       0.931       0.983       0.954       0.933        0.99
MA108A-7-fine-anm-00049.dat          0.0736     0.00916      0.0111   -0.000904        0.14     -0.0101    -0.00259     0.00662         inf       0.822       0.526       0.803       0.312       0.276       0.242       0.176       0.242       0.176       0.683       0.968       0.776       0.751       0.985
MA108A-7-fine-anm-00050.dat          0.0691      0.0177     0.00224     0.00226       0.145     -0.0026    0.000668     0.00827         inf       0.814       0.478       0.793        0.31       0.289       0.194       0.171       0.193       0.176       0.746       0.963       0.822       0.783       0.977
MA108A-7-fine-anm-00051.dat          0.0673     -0.0357    4.37e-18     0.00225       0.161     -0.0054      0.0166    -0.00221         inf       0.804       0.418       0.773        0.34       0.322       0.244       0.174       0.244        0.17       0.606       0.941       0.716       0.671        0.97
MA108A-7-fine-anm-00052.dat          0.0794      0.0279    -0.00717     -0.0074        0.18      -0.012     -0.0256    1.73e-18         inf       0.837       0.441       0.802       0.366        0.36        0.25       0.168        0.25       0.172       0.573       0.925        0.69       0.633        0.96
MA108A-7-fine-anm-00053.dat          0.0713     -0.0583     0.00736     3.6e-18       0.172     0.00353     0.00556     -0.0203         inf       0.818       0.414        0.78       0.369       0.347       0.255       0.175       0.254       0.174       0.587       0.933       0.701       0.651       0.966
MA108A-7-fine-anm-00054.dat           0.101      -0.123     -0.0676     0.00883       0.269      0.0118     -0.0186       0.016         inf       0.756       0.376       0.668       0.439       0.539        0.42       0.219        0.42       0.219        0.46       0.875       0.596       0.528       0.945
MA108A-7-fine-anm-00055.dat          0.0822     0.00819    -0.00324     0.00484       0.135    -0.00332     0.00402     0.00949         inf       0.842        0.61       0.832       0.271       0.269        0.23       0.212       0.228       0.207       0.835        0.99       0.886       0.876       0.995
MA108A-7-fine-anm-00056.dat          0.0794      0.0474           0     0.00599       0.178    -0.00389      0.0204      0.0013         inf       0.841       0.446       0.812       0.352       0.357       0.263       0.196       0.262       0.195       0.636       0.949        0.74       0.697       0.973
MA108A-7-fine-anm-00057.dat           0.102    -0.00406     -0.0125    -0.00619       0.159     -0.0047    -0.00258      0.0114         inf       0.886        0.64        0.88       0.305       0.313       0.273       0.257       0.273       0.257       0.878       0.994       0.917        0.91       0.997
MA108A-7-fine-anm-00058.dat          0.0812    -0.00981     0.00539     0.00926       0.151    0.000341    -0.00543     0.00104         inf       0.827       0.539       0.811       0.298       0.299       0.258       0.209       0.257       0.208        0.75        0.98       0.826       0.808        0.99
