Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA111-7-coarse-anm-00001.dat -9.6669 7.8635 -8.1921 10.5392 -11.0131 8.9531 1879.6 920.0 1.249 15.3 1.264 30 0.9916 24.06367 15.22120 13.97905 1.72141 1.08886
MA111-7-coarse-anm-00002.dat -8.7187 9.3428 -10.5874 9.7482 -9.0478 12.5219 2177.3 1084.1 1.335 16.1 1.392 28 1.0180 25.41185 21.11062 11.93806 2.12864 1.76835
MA111-7-coarse-anm-00003.dat -8.4948 8.2942 -10.1822 11.0182 -11.7784 10.9425 3126.8 1265.1 1.223 18.1 1.208 24 0.9869 27.85699 20.25466 16.35310 1.70347 1.23858
MA111-7-coarse-anm-00004.dat -8.5955 7.6843 -8.8917 10.0203 -9.6482 11.5596 1797.9 950.8 1.330 15.1 1.352 28 1.0272 23.14669 21.36734 14.85791 1.55787 1.43811
MA111-7-coarse-anm-00005.dat -7.8052 8.2473 -5.9892 5.3707 -8.6829 10.4174 1190.5 648.8 1.194 13.1 1.223 28 0.9504 20.66042 16.47364 11.52806 1.79219 1.42900
MA111-7-coarse-anm-00006.dat -11.8148 11.0681 -8.4253 8.8405 -9.3888 9.0966 2456.1 1039.0 1.180 16.7 1.157 30 0.9974 24.48721 18.79947 16.57883 1.47702 1.13394
MA111-7-coarse-anm-00007.dat -12.0574 9.5620 -9.2046 6.3856 -8.9469 11.5168 1756.1 936.7 1.331 15.0 1.551 30 0.9693 27.71673 19.83606 8.60880 3.21958 2.30416
MA111-7-coarse-anm-00008.dat -10.5320 10.5478 -9.3060 10.3346 -7.4708 6.8982 1855.8 930.3 1.274 15.2 1.243 30 0.9770 20.88182 19.23011 12.18461 1.71379 1.57823
MA111-7-coarse-anm-00009.dat -12.2450 13.6909 -12.9470 20.7375 -7.7680 5.7602 2776.5 1307.6 1.369 17.4 1.591 28 1.0080 35.70997 20.60789 12.98090 2.75096 1.58755
MA111-7-coarse-anm-00011.dat -8.4826 7.5674 -7.5846 6.2069 -8.1929 7.0137 817.2 562.6 1.331 11.6 1.483 24 0.9959 20.13536 13.79674 7.89849 2.54927 1.74676
