Name                                  IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA111-7-coarse-anm-00001.dat            5.34      -0.419       -0.89       0.252        12.1      -0.402         2.1        1.36        6.04       0.819        0.44       0.782       0.451        23.8          15        14.7          15        14.7       0.776       0.962       0.845       0.801       0.976
MA111-7-coarse-anm-00002.dat            4.96        3.13           0      -0.197        13.2      -0.856       -1.35      -0.202        6.45       0.764       0.376        0.71       0.501        25.1        20.1        12.1        20.1        12.1        0.54       0.918       0.663       0.611       0.963
MA111-7-coarse-anm-00003.dat            5.95      -0.108        1.72      -0.217        13.8       -1.36    1.67e-16       -1.45        5.92        0.83        0.43       0.797       0.483        27.7        19.9        17.1        19.9        17.1       0.728       0.967       0.809       0.776       0.981
MA111-7-coarse-anm-00004.dat            4.63       0.481        2.52      -0.834        12.4       0.322      -0.991        1.64        6.43       0.768       0.372       0.718       0.492        22.9        20.9        15.1        20.9        15.1       0.689        0.97        0.78       0.757       0.986
MA111-7-coarse-anm-00005.dat            4.76       -1.35       0.978      -0.105        10.2       0.734           0      -0.239        5.78       0.855       0.467       0.821       0.461        20.6          16        11.5          16        11.5       0.637       0.952       0.741       0.702       0.976
MA111-7-coarse-anm-00006.dat            6.29        1.61       0.204       0.205        12.1       -1.24      -0.683      -0.562        5.71       0.864        0.52        0.84        0.48        24.3        18.3        16.8        18.3        16.8       0.798        0.98        0.86       0.838       0.988
MA111-7-coarse-anm-00007.dat            3.77       0.988      -0.543      -0.142        13.8      -0.137       -2.17       0.863        6.44       0.767       0.272       0.695       0.528        27.5        19.2        8.56        19.1        8.28       0.361       0.797       0.507       0.416       0.909
MA111-7-coarse-anm-00008.dat            4.67      -0.606        1.87       0.374        11.2      -0.317      -0.673       -0.54        6.16       0.804       0.419       0.765       0.518        21.1          20        11.6          20        11.6       0.565       0.933       0.683       0.642       0.972
MA111-7-coarse-anm-00009.dat            5.06       -3.29      -0.415       -1.31        17.3       -2.34        4.96        1.05        6.62       0.751       0.292       0.686       0.487        34.8        20.1        12.5        20.1        12.5       0.472       0.867       0.607       0.514       0.923
MA111-7-coarse-anm-00011.dat             3.5        3.47       -1.37    2.29e-16        9.95      -0.718       -1.13       -0.53        6.44       0.763       0.352       0.698       0.495          20          13        7.94          13        7.94       0.493       0.885       0.624       0.547        0.94
MA111-7-coarse-anm-00012.dat            4.07       -2.74        1.08       0.372        11.5       0.545        1.68       -0.83        6.37       0.778       0.353       0.717        0.52        23.1        16.5        10.8        16.5        10.8       0.555       0.919       0.675       0.618       0.959
MA111-7-coarse-anm-00013.dat            3.54        1.77       -1.67       0.625        8.16      -0.652      -0.258       0.965        6.19       0.812       0.434       0.777       0.436        16.5        13.7        10.6        13.7        10.6       0.705       0.971       0.792       0.767       0.986
MA111-7-coarse-anm-00014.dat            3.79       0.404       0.488      -0.163        10.7        1.07          -1      -0.376        6.18         0.8       0.355       0.738       0.531        21.4        15.3         8.7        15.3        8.79       0.486       0.887       0.618       0.549       0.946
MA111-7-coarse-anm-00015.dat            3.26      -0.864      -0.222       0.648        11.7       0.639      0.0808      -0.686         6.3       0.778       0.277       0.706       0.523        23.5          14        7.27        13.9        7.15       0.396       0.819       0.539       0.439       0.905
MA111-7-coarse-anm-00016.dat             3.2      -0.417        2.19      -0.281        9.29        0.41       -1.26       0.525        6.67       0.742       0.345       0.681        0.48        17.5          15        8.26        14.9        8.35       0.516       0.909       0.643        0.59       0.961
MA111-7-coarse-anm-00017.dat            4.79        -1.6       -1.16      -0.249        11.4       0.136      -0.215       0.643        6.11       0.807       0.421        0.76       0.511        21.6          21        10.6          21        10.6       0.497       0.901       0.627       0.574       0.959
MA111-7-coarse-anm-00018.dat            3.69      -0.249        3.95      -0.755          15       -1.02       0.263       0.875        6.81       0.722       0.246       0.631       0.541        30.2        21.7        7.91        21.7        7.91       0.309       0.746       0.457       0.361       0.892
MA111-7-coarse-anm-00022.dat            5.45       0.129      -0.677      0.0433        14.4      -0.792       0.744        0.43        6.24       0.794       0.379       0.744       0.503        28.9        20.9        11.7        20.9        11.7       0.477       0.882        0.61        0.54       0.944
MA111-7-coarse-anm-00025.dat            6.01        1.44       0.794       0.208        14.9      -0.639       -1.97       -1.14        6.14       0.804       0.402       0.758       0.489        29.8        21.4        13.7        21.4        13.7       0.543       0.915       0.666       0.606       0.957
MA111-7-coarse-anm-00026.dat            6.19       0.833      -0.214       0.279        17.8       0.312      0.0394      -0.967        6.15       0.802       0.348       0.736       0.476        35.8        18.3        14.5        18.3        14.5       0.566       0.896       0.684       0.587       0.929
MA111-7-coarse-anm-00028.dat            5.54       -2.71    3.32e-16       -1.07        16.1       -1.33      -0.525        1.04           6       0.769       0.343       0.718       0.409        32.4        18.3        18.5        18.1        18.7       0.773       0.947       0.843        0.78       0.965
MA111-7-coarse-anm-00029.dat            4.97        3.63           2        0.79        16.2       -1.89       -2.98       -2.24        6.69       0.751       0.307       0.679       0.485        32.3        20.1        10.7          20        10.8       0.427       0.844       0.567       0.476       0.919
MA111-7-coarse-anm-00030.dat            6.24       -2.93    3.59e-16        1.38        14.1        0.13       -2.06        -2.5         5.9       0.833       0.442        0.79       0.498        28.2        17.7        16.6        17.7        16.6       0.743       0.957        0.82       0.773       0.973
MA111-7-coarse-anm-00031.dat            3.93       -1.05        2.23       0.155        18.4       -1.89       -1.04      -0.135        6.84       0.717       0.213       0.605       0.479        37.3        15.2        8.47        15.2        8.47       0.356       0.765       0.502       0.356       0.838
