MA111-7-coarse-anm-00100.dat            3.61       0.288      -0.613      -0.319        7.73       0.411      -0.106        1.07        5.86        0.85       0.467       0.823       0.454        15.5        12.8        8.88        12.8        8.88       0.631       0.953       0.736       0.701       0.978
MA111-7-coarse-anm-00101.dat            3.05        1.53       0.843       0.221        7.02      -0.291       0.458      -0.104        6.02       0.835       0.435       0.803       0.453          14        9.47        7.93        9.47        7.93       0.689       0.955        0.78       0.736       0.973
MA111-7-coarse-anm-00102.dat            2.02         2.5      -0.642    1.58e-16        7.75      -0.172      -0.902       0.364        6.68       0.716       0.261       0.636       0.501        14.8        11.1        4.51        11.1        4.51       0.352       0.791       0.498        0.41       0.911
MA111-7-coarse-anm-00103.dat            2.84      -0.624       0.755      -0.124        7.64       0.559       0.881       -0.98        6.03       0.812       0.371       0.764       0.449        15.3        9.64        6.69        9.64        6.69        0.55        0.91       0.672       0.601       0.948
MA111-7-coarse-anm-00104.dat            4.96       0.452     -0.0571      -0.289        8.83     -0.0483     -0.0761       0.713        5.73       0.866       0.561       0.848       0.474        17.8        14.6        12.6        14.6        12.6       0.782       0.983       0.849       0.832       0.991
MA111-7-coarse-anm-00105.dat            3.56        1.11       0.438        0.56        8.15      -0.882       0.226       0.234        5.86       0.849       0.436       0.819       0.469        16.2        13.1        10.1        13.1        10.1       0.691       0.967       0.782       0.754       0.983
MA111-7-coarse-anm-00106.dat            3.97        2.06       -0.53       0.547        9.18      -0.115      -0.353      -0.789        5.99       0.832       0.432       0.793       0.495        18.3        13.5        11.1        13.5        11.1       0.704       0.964       0.791       0.758        0.98
MA111-7-coarse-anm-00107.dat            4.01        1.65       0.906      -0.885        8.57      0.0134      -0.213        1.69        5.94       0.834       0.467       0.798       0.452        16.7        14.4          10        14.4          10       0.647       0.959       0.748       0.718       0.981
MA111-7-coarse-anm-00108.dat            1.79       -1.19        0.47       0.328        10.5       0.132       0.693      0.0444        7.28       0.657       0.171       0.515       0.413        21.3        7.14        4.52        7.14        4.52       0.367       0.757       0.512       0.342       0.807
MA111-7-coarse-anm-00109.dat            4.14       -1.67       -0.21        0.32        9.42         1.3      -0.164      -0.518        6.18       0.804       0.439       0.764       0.467        18.3        13.2        10.8        13.1          11       0.711       0.964       0.797       0.761       0.979
MA111-7-coarse-anm-00110.dat             4.3     -0.0292      -0.464       0.119        9.74      -0.102        1.62       -1.18        6.01        0.83       0.442       0.798       0.446        19.5        12.6        11.9        12.4        11.9       0.763       0.961       0.835       0.791       0.975
MA111-7-coarse-anm-00111.dat            3.81        1.81       0.996      -0.531        9.66      -0.492      0.0621         2.6        6.17       0.806       0.395        0.75       0.477        19.4        11.4        9.85        11.4        9.85       0.663       0.937        0.76       0.695       0.959
MA111-7-coarse-anm-00112.dat            3.58      -0.388       -1.19       0.497        8.77        0.56        1.72      -0.465        5.89        0.84       0.408       0.796       0.484        17.5        11.6        9.02        10.8        8.65       0.629       0.933       0.734       0.671       0.959
MA111-7-coarse-anm-00113.dat            3.45        -2.4    2.93e-16       0.151        10.7        0.84        1.78       -1.25        6.68       0.753       0.324       0.688        0.45        21.2        12.1        9.24        12.1        9.24       0.576       0.911       0.692       0.613       0.943
MA111-7-coarse-anm-00114.dat            1.62        -2.4       0.303       0.152        7.05       0.476       0.447       -0.54        6.91       0.665        0.23        0.55       0.393        14.3        5.71        4.96        5.71        4.96       0.548        0.86        0.67        0.53        0.89
MA111-7-coarse-anm-00115.dat            1.69       -1.54      -0.195       0.196         7.7       0.155           0      -0.478        7.27       0.708        0.22       0.616       0.476        15.4        7.92        3.49        7.92        3.59       0.324       0.751       0.472        0.35       0.862
MA111-7-coarse-anm-00116.dat               2        -2.1       -0.83      -0.142        7.57         1.7       0.674        0.47        7.42       0.675       0.264       0.574       0.453        15.4        7.95        4.41        7.95        4.41       0.398       0.813       0.541       0.426       0.889
MA111-7-coarse-anm-00118.dat            3.99      -0.757        0.55      -0.594        8.34       -0.28      -0.862        1.65        5.84        0.84       0.479       0.812       0.456        16.7        11.3        11.1        11.2        11.1       0.815       0.972       0.873        0.84       0.983
MA111-7-coarse-anm-00119.dat            2.64       -1.31       0.519       0.178        7.92       0.573      -0.227      0.0779        6.33       0.787       0.333        0.72       0.535        15.8        13.1        5.92        13.1        5.92       0.411       0.843       0.553        0.48       0.935
MA111-7-coarse-anm-00121.dat            4.22       -1.28      -0.507       0.353        9.87      -0.383       0.813       -2.27        6.09       0.819       0.427       0.785       0.441        19.7        12.8         9.2        12.8         9.2       0.579       0.922       0.695       0.631       0.956
MA111-7-coarse-anm-00122.dat            2.06         4.2       -1.66    2.77e-16        9.51      0.0366       0.582      -0.621        7.25       0.674       0.216       0.575       0.487          19          12        4.82          12        4.82        0.32       0.754       0.467       0.363       0.885
MA111-7-coarse-anm-00124.dat            2.75       -1.32       -2.07       0.631        9.26       0.635       0.251      -0.376        6.82         0.7       0.297       0.617       0.474        18.6        13.3        5.91        13.2           6       0.383       0.817       0.527        0.44       0.918
MA111-7-coarse-anm-00125.dat            3.75        1.16        0.46       0.321        8.94       0.333       0.524       -1.13        6.14       0.811       0.419       0.764       0.452        17.8        10.8        10.1        10.5        10.4       0.761       0.952       0.833       0.779       0.969
MA111-7-coarse-anm-00126.dat            2.99      0.0661      -0.017      -0.266         7.4       0.567       0.146        0.15        5.97       0.838       0.404       0.799       0.442        14.8        10.9        7.63        10.9        8.05       0.633       0.948       0.737       0.694       0.972
MA111-7-coarse-anm-00127.dat            3.96        2.38      -0.612      -0.632        8.58      -0.155      -0.813       0.525        5.82        0.86       0.462       0.829       0.481        17.1        13.3        10.7        13.1        9.84       0.657       0.956       0.756       0.719       0.977
