Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA114F-3-fine-anm-00002.dat -2.0490 2.1133 -1.4832 1.2976 -1.0597 1.4243 8.4 25.2 1.259 2.5 1.509 30 1.0120 4.38571 2.44645 2.07138 2.11729 1.18107
MA114F-3-fine-anm-00003.dat -1.0657 1.1208 -1.3835 1.7904 -0.8958 0.9068 3.7 13.9 1.197 1.9 1.283 30 0.9785 3.24250 2.10214 1.50968 2.14781 1.39244
MA114F-3-fine-anm-00004.dat -0.9484 0.9233 -1.5373 1.5879 -0.6097 0.7017 3.0 13.4 1.334 1.8 1.636 30 0.9625 3.13824 2.05289 0.94867 3.30803 2.16396
MA114F-3-fine-anm-00005.dat -1.1091 1.1307 -0.7573 0.6407 -0.3700 0.4546 0.9 6.2 1.389 1.2 1.767 30 1.0033 2.29012 1.40236 0.57678 3.97056 2.43138
MA114F-3-fine-anm-00006.dat -0.9229 1.1935 -1.0180 0.9507 -1.0509 1.0326 2.7 11.2 1.208 1.7 1.190 30 1.0008 2.37676 2.08176 1.48926 1.59593 1.39785
MA114F-3-fine-anm-00007.dat -1.0850 1.4410 -1.2195 1.4499 -0.9447 1.0957 5.2 17.6 1.211 2.2 1.224 30 0.9981 3.22756 2.37122 2.00603 1.60892 1.18205
MA114F-3-fine-anm-00008.dat -1.4918 1.6926 -0.9909 1.0159 -0.6016 0.6875 3.3 13.5 1.265 1.8 1.595 30 1.0038 3.40249 1.87198 1.24935 2.72342 1.49837
MA114F-3-fine-anm-00009.dat -1.3988 1.4299 -1.4735 1.9825 -0.5611 0.5441 4.5 18.0 1.363 2.0 1.628 28 1.0169 3.71958 3.03179 1.11753 3.32840 2.71294
MA114F-3-fine-anm-00010.dat -1.4309 1.2907 -1.8475 1.3233 -0.8053 1.2336 6.4 20.7 1.237 2.3 1.297 30 1.0022 3.52686 2.51118 2.15045 1.64006 1.16775
MA114F-3-fine-anm-00011.dat -0.9865 0.7586 -1.1776 1.2278 -0.6394 0.7159 2.2 10.0 1.226 1.6 1.254 30 0.9674 2.44363 1.89816 1.28283 1.90487 1.47967
MA114F-3-fine-anm-00012.dat -1.4538 1.4820 -2.1981 2.2118 -0.4813 0.6464 5.7 23.3 1.501 2.2 2.175 30 1.0156 4.85048 2.46351 1.03480 4.68737 2.38067
MA114F-3-fine-anm-00013.dat -1.3989 0.9334 -0.8331 0.9953 -0.7827 1.1322 2.3 10.5 1.245 1.6 1.370 30 0.9947 2.70041 2.04950 1.08231 2.49505 1.89365
MA114F-3-fine-anm-00014.dat -0.8630 0.7491 -1.2174 1.4682 -0.7261 1.0947 2.6 11.5 1.247 1.7 1.470 30 1.0034 2.91654 1.80430 1.14384 2.54979 1.57741
MA114F-3-fine-anm-00015.dat -0.9003 1.1262 -1.1204 1.3450 -0.6147 0.5265 1.7 9.0 1.295 1.5 1.655 30 1.0009 2.66388 1.62827 0.87158 3.05637 1.86818
MA114F-3-fine-anm-00017.dat -0.9793 1.3347 -1.3612 1.4405 -0.6494 0.9462 3.0 12.6 1.265 1.8 1.273 30 1.0050 2.80908 2.33718 1.60284 1.75257 1.45815
MA114F-3-fine-anm-00018.dat -1.4105 1.5190 -1.5756 1.7286 -0.5296 0.7499 4.8 18.2 1.325 2.1 1.451 30 0.9997 3.43540 2.57633 1.16570 2.94707 2.21011
MA114F-3-fine-anm-00020.dat -1.2430 1.1352 -1.1195 1.3543 -0.3706 0.2904 1.3 9.1 1.582 1.4 2.006 24 0.9607 2.86401 1.90968 0.63295 4.52484 3.01710
MA114F-3-fine-anm-00022.dat -0.9960 0.9359 -0.6119 0.6725 -1.4524 1.4978 2.6 11.5 1.257 1.7 1.590 30 0.9774 3.02265 1.76959 1.01916 2.96583 1.73632
MA114F-3-fine-anm-00024.dat -1.4729 1.8577 -1.2934 1.4945 -0.8549 0.9338 5.5 19.7 1.313 2.2 1.437 30 0.9882 3.67641 2.63765 1.61245 2.28002 1.63581
MA114F-3-fine-anm-00025.dat -1.4147 1.5556 -1.4960 1.6142 -1.2448 1.0463 5.7 20.8 1.343 2.2 1.380 30 0.9997 3.47737 3.00498 1.71746 2.02471 1.74966
