Name                                 IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA114F-3-fine-anm-00002.dat           0.739      -0.283      -0.112      0.0192        2.19     -0.0507       0.156      -0.226         6.1       0.804       0.337       0.738       0.497         4.4        2.44        2.07        2.41         1.8       0.553       0.899       0.674       0.585       0.934
MA114F-3-fine-anm-00003.dat           0.641       0.163       0.153      -0.123        1.62      -0.187      0.0236       0.156        5.81       0.849       0.395       0.809         0.5        3.25        2.01        1.54           2        1.45       0.568       0.914       0.686       0.615       0.949
MA114F-3-fine-anm-00004.dat           0.442      -0.141     -0.0557     -0.0599        1.58       0.036     -0.0766        0.07        6.44       0.761        0.28       0.678       0.552        3.15        2.01        0.95        1.99       0.963       0.384       0.814       0.529       0.433       0.909
MA114F-3-fine-anm-00005.dat           0.262     0.00836      -0.133    8.15e-18        1.14      0.0339       0.178      0.0114        6.65       0.733       0.231       0.637       0.556        2.29        1.38       0.565        1.37       0.586       0.331       0.764       0.478       0.371       0.884
MA114F-3-fine-anm-00006.dat           0.586      -0.131      0.0955      -0.118        1.22    -0.00581     -0.0924       0.168        5.78       0.838       0.482       0.807       0.527        2.37        2.07        1.52        2.02        1.73       0.788       0.985       0.853       0.839       0.992
MA114F-3-fine-anm-00007.dat           0.729      -0.319    3.91e-17      0.0609         1.6     -0.0383      0.0152      0.0876        5.86       0.836       0.457       0.801       0.501        3.21         2.3        2.05        2.29        2.07       0.765       0.972       0.837       0.807       0.983
MA114F-3-fine-anm-00008.dat           0.545      -0.732    8.96e-17      0.0924        1.69       0.158       0.191      -0.117        6.09       0.802       0.323       0.722        0.52         3.4        1.81        1.25        1.78         1.3       0.527       0.885       0.652       0.554       0.924
MA114F-3-fine-anm-00009.dat           0.517      -0.363        -0.2     -0.0261        1.82      -0.141       -0.17       0.104         6.6       0.744       0.284       0.661       0.541        3.66           3        1.14           3        1.14       0.343       0.784        0.49       0.405       0.913
MA114F-3-fine-anm-00010.dat           0.775      -0.314       0.124       0.134        1.77       0.202      -0.189      0.0174        6.01        0.82       0.437       0.777       0.506        3.52        2.43        2.02        2.42        2.07       0.708        0.96       0.794       0.754       0.976
MA114F-3-fine-anm-00011.dat           0.523       0.188       0.103     -0.0135        1.21    -0.00453      -0.072      0.0769        5.91        0.83       0.433       0.792       0.499        2.42        1.87        1.31        1.87        1.31       0.618       0.946       0.725       0.684       0.973
MA114F-3-fine-anm-00012.dat            0.47      -0.047       0.145       0.143        2.39      0.0125      0.0117      -0.136         7.3        0.68       0.197       0.562       0.531        4.82        2.42        1.04        2.42        1.04       0.303       0.729       0.451       0.327       0.851
MA114F-3-fine-anm-00013.dat           0.495     -0.0613     -0.0966      -0.122        1.34      -0.171     -0.0943       0.142        6.03       0.811        0.37       0.755       0.546        2.67           2        1.09           2        1.09       0.472       0.881       0.606       0.538       0.945
