Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA117A-4-fine-anm-00002.dat -1.2887 1.3153 -1.1237 1.2909 -0.5217 0.5547 2.6 11.8 1.293 1.7 1.467 30 0.9945 2.73377 2.32409 0.94716 2.88629 2.45375
MA117A-4-fine-anm-00008.dat -2.0582 2.4337 -1.6483 1.7241 -0.8310 0.9824 12.1 32.1 1.257 2.9 1.366 30 1.0020 4.55115 3.37518 1.91320 2.37881 1.76415
MA117A-4-fine-anm-00011.dat -2.3939 2.5963 -2.0289 1.8512 -1.4864 1.5225 24.1 47.7 1.183 3.6 1.208 30 0.9992 5.07016 4.00527 2.92456 1.73365 1.36953
MA117A-4-fine-anm-00016.dat -1.3211 1.5875 -1.5523 1.4537 -1.3884 1.6855 10.1 25.3 1.117 2.7 1.210 30 1.0009 3.78130 2.83287 2.14855 1.75993 1.31850
MA117A-4-fine-anm-00019.dat -2.1797 1.8944 -2.2333 1.9202 -0.8275 0.8171 10.5 31.3 1.346 2.7 1.533 30 0.9865 4.39395 4.00597 1.53603 2.86060 2.60801
MA117A-4-fine-anm-00020.dat -1.2454 1.4259 -1.5617 1.4917 -1.0600 1.1042 7.7 21.4 1.137 2.4 1.107 18 0.9684 3.13778 2.91638 2.24113 1.40009 1.30130
MA117A-4-fine-anm-00023.dat -2.3905 2.3623 -2.6009 2.1648 -1.4066 1.8785 27.3 53.6 1.223 3.7 1.179 28 0.9505 5.30709 4.34582 3.50879 1.51251 1.23855
MA117A-4-fine-anm-00026.dat -1.2604 1.5967 -0.9660 0.7142 -0.6433 0.8454 2.3 10.8 1.296 1.6 1.542 30 0.9936 3.07385 1.69425 1.16463 2.63933 1.45475
MA117A-4-fine-anm-00028.dat -1.8050 2.0073 -1.9658 2.4387 -1.0456 1.6569 15.2 37.1 1.251 3.1 1.301 30 1.0100 4.67022 3.52999 2.72038 1.71675 1.29761
MA117A-4-fine-anm-00029.dat -2.1670 2.6442 -2.0140 2.2740 -0.9934 1.3299 21.6 46.9 1.251 3.5 1.317 30 1.0021 5.22930 4.57091 2.36032 2.21550 1.93656
MA117A-4-fine-anm-00031.dat -1.0916 1.3305 -0.8397 0.8402 -0.7565 0.8364 2.8 11.2 1.157 1.8 1.167 30 1.0040 2.46892 1.72560 1.62821 1.51634 1.05982
MA117A-4-fine-anm-00032.dat -0.6143 0.5702 -0.9839 0.8160 -0.9581 0.9099 1.0 6.6 1.356 1.2 1.597 30 1.0286 2.12865 1.63526 0.71306 2.98523 2.29330
MA117A-4-fine-anm-00033.dat -1.7614 1.8319 -2.8226 3.1827 -0.7612 1.0455 14.1 40.3 1.431 3.0 1.670 30 1.0285 6.18087 3.51464 1.88805 3.27368 1.86152
MA117A-4-fine-anm-00034.dat -1.0974 1.1082 -1.5898 1.4625 -0.5750 0.5432 3.2 13.4 1.279 1.8 1.491 30 0.9910 3.07599 2.31600 0.99468 3.09245 2.32839
MA117A-4-fine-anm-00048.dat -1.1573 1.0563 -1.0810 1.0936 -0.8201 0.8880 3.5 12.6 1.135 1.9 1.099 30 1.0018 2.34953 1.89229 1.73053 1.35770 1.09348
MA117A-4-fine-anm-00051.dat -0.8482 0.9942 -1.2031 1.0991 -0.3739 0.3798 1.3 7.8 1.378 1.3 1.592 30 0.9961 2.33360 1.88712 0.77289 3.01933 2.44166
MA117A-4-fine-anm-00053.dat -1.3243 1.1890 -1.1266 1.3902 -0.8183 0.9668 4.3 14.5 1.137 2.0 1.218 16 1.0262 2.95914 2.13978 1.64419 1.79975 1.30142
MA117A-4-fine-anm-00055.dat -1.0159 0.9072 -0.6339 0.9994 -0.4155 0.3708 0.9 6.5 1.389 1.2 1.621 30 1.0098 1.95509 1.77314 0.64849 3.01482 2.73424
MA117A-4-fine-anm-00058.dat -1.2935 1.3930 -1.2116 0.9723 -0.6308 0.7404 3.2 13.3 1.259 1.8 1.231 30 1.0144 2.82699 2.07830 1.28066 2.20745 1.62283
MA117A-4-fine-anm-00060.dat -0.7574 0.7733 -0.7417 0.7210 -0.4419 0.5311 1.0 5.6 1.181 1.2 1.174 30 1.0273 1.66646 1.54818 1.00713 1.65466 1.53721
MA117A-4-fine-anm-00062.dat -0.8489 0.8763 -0.9933 1.1939 -0.5095 0.5566 1.6 8.1 1.240 1.4 1.251 30 1.0029 2.21882 1.82955 1.06971 2.07422 1.71032
MA117A-4-fine-anm-00064.dat -0.9606 1.0910 -0.9445 0.8686 -0.6717 0.8638 2.5 10.0 1.115 1.7 1.059 30 1.0125 2.11696 1.85135 1.72786 1.22519 1.07147
MA117A-4-fine-anm-00065.dat -1.4335 1.5438 -0.7826 0.7975 -0.3953 0.4261 1.4 8.8 1.424 1.4 2.295 26 1.0378 2.99228 1.21966 0.80468 3.71859 1.51571
MA117A-4-fine-anm-00066.dat -1.2040 1.2736 -1.1515 1.1601 -0.5647 0.6608 2.6 11.5 1.273 1.7 1.493 30 0.9976 2.81308 1.83518 1.09903 2.55959 1.66981
MA117A-4-fine-anm-00067.dat -0.8920 0.7461 -0.5009 0.6672 -0.4868 0.5481 0.8 4.9 1.219 1.1 1.252 30 0.9669 1.68947 1.28508 1.03729 1.62873 1.23888
MA117A-4-fine-anm-00068.dat -0.7915 0.8304 -0.8240 0.8329 -0.3309 0.5191 1.0 6.0 1.226 1.2 1.249 30 0.9785 1.66484 1.63303 0.82807 2.01052 1.97209
MA117A-4-fine-anm-00069.dat -0.5853 0.6998 -0.9811 0.9939 -0.5110 0.5083 1.2 6.8 1.212 1.3 1.321 30 0.9762 2.16792 1.33881 1.09064 1.98775 1.22755
MA117A-4-fine-anm-00070.dat -0.8875 0.8799 -0.9055 1.1579 -0.5034 0.4709 1.4 7.8 1.292 1.4 1.353 30 1.0135 2.20705 1.81411 0.99196 2.22494 1.82882
MA117A-4-fine-anm-00074.dat -0.6940 0.6422 -0.7134 0.7228 -0.4572 0.5199 1.0 5.2 1.088 1.2 1.115 30 1.0013 1.57039 1.39639 0.94149 1.66798 1.48316
MA117A-4-fine-anm-00076.dat -1.5938 1.4969 -1.3575 1.3497 -0.8373 0.9546 5.6 18.6 1.220 2.2 1.231 30 0.9874 3.40129 2.86011 1.78226 1.90841 1.60476
MA117A-4-fine-anm-00079.dat -0.7600 0.8176 -0.9526 0.7914 -0.5094 0.7281 1.2 6.5 1.211 1.3 1.294 30 1.0079 1.98627 1.46677 0.95375 2.08259 1.53790
MA117A-4-fine-anm-00080.dat -0.6723 0.6656 -0.6227 0.5972 -0.3689 0.4512 0.5 3.7 1.194 1.0 1.181 30 0.9918 1.33429 1.21339 0.72792 1.83302 1.66693
MA117A-4-fine-anm-00082.dat -0.7613 0.7363 -0.8926 0.9018 -0.4189 0.4628 0.9 5.6 1.233 1.2 1.294 26 1.0074 1.82826 1.36015 0.87604 2.08695 1.55260
MA117A-4-fine-anm-00085.dat -0.9682 1.0542 -0.8487 0.7425 -0.7649 1.1614 2.5 10.4 1.176 1.7 1.153 16 1.0034 2.39821 1.77755 1.62880 1.47238 1.09133
MA117A-4-fine-anm-00087.dat -0.9116 0.8604 -0.5970 0.7446 -0.4437 0.5487 0.9 5.9 1.287 1.2 1.252 28 1.0350 1.81056 1.40669 0.96808 1.87026 1.45308
MA117A-4-fine-anm-00088.dat -0.8610 0.7457 -1.2841 1.7906 -0.9000 0.7919 3.4 13.9 1.279 1.9 1.473 28 0.9978 3.16943 1.74599 1.57749 2.00917 1.10682
MA117A-4-fine-anm-00089.dat -0.9853 0.9851 -0.9732 1.0511 -0.6977 0.8805 2.7 10.8 1.148 1.7 1.119 30 1.0014 2.47215 1.85067 1.67777 1.47347 1.10305
