Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA118C-5-fine-anm-00001.dat -2.9962 3.4828 -2.2671 2.4077 -2.6759 1.9020 46.2 78.6 1.264 4.4 1.254 28 0.9947 6.57827 5.22949 3.94103 1.66918 1.32693
MA118C-5-fine-anm-00002.dat -3.0745 2.4686 -3.0792 3.6299 -1.3147 1.5503 46.0 74.1 1.194 4.4 1.370 30 0.9991 7.12779 4.95804 2.67723 2.66237 1.85193
MA118C-5-fine-anm-00005.dat -3.3401 2.5711 -3.4226 2.7829 -1.4844 1.2323 53.7 79.1 1.150 4.7 1.287 30 1.0000 6.45473 6.22503 2.72668 2.36725 2.28301
MA118C-5-fine-anm-00006.dat -1.7833 1.5580 -1.9643 2.4096 -1.5056 1.4039 15.7 34.4 1.134 3.1 1.203 30 1.0052 4.54695 3.30180 2.44459 1.86001 1.35066
MA118C-5-fine-anm-00008.dat -2.1122 2.5561 -2.2632 2.0391 -1.5785 1.7834 23.8 45.6 1.140 3.6 1.213 30 0.9956 5.26596 3.59934 2.90092 1.81527 1.24076
MA118C-5-fine-anm-00009.dat -3.4883 2.3755 -2.6498 3.0100 -1.2284 2.2279 42.3 73.9 1.257 4.3 1.226 24 0.9625 5.97602 5.68509 3.49923 1.70781 1.62467
MA118C-5-fine-anm-00010.dat -3.3358 3.0270 -2.3768 2.0890 -1.5592 1.5744 34.9 61.2 1.185 4.1 1.354 16 0.9939 6.52347 4.59256 2.60956 2.49984 1.75990
MA118C-5-fine-anm-00012.dat -2.3622 2.1115 -2.3571 2.1490 -1.6460 1.4945 21.5 43.6 1.169 3.4 1.158 30 0.9945 4.55478 3.88551 3.36370 1.35410 1.15513
MA118C-5-fine-anm-00013.dat -2.1924 2.6170 -1.9434 1.9964 -1.1513 1.1406 20.3 40.7 1.129 3.4 1.276 30 1.0003 4.87168 3.90078 2.10402 2.31541 1.85396
MA118C-5-fine-anm-00014.dat -1.8513 1.5210 -2.7081 2.2873 -1.1535 1.4750 17.4 38.6 1.192 3.2 1.254 22 1.0076 5.04778 3.56524 2.40371 2.10000 1.48323
MA118C-5-fine-anm-00015.dat -1.7029 1.5922 -2.0192 1.8333 -1.0730 1.0817 11.5 29.4 1.191 2.8 1.330 30 1.0224 4.01893 3.63787 1.63720 2.45476 2.22200
MA118C-5-fine-anm-00016.dat -3.0719 3.3778 -2.3550 2.1343 -2.2735 2.0353 37.9 66.1 1.212 4.2 1.437 30 1.0006 7.19861 4.52533 2.42901 2.96360 1.86304
MA118C-5-fine-anm-00019.dat -1.0812 0.8667 -0.7976 0.6824 -0.6084 0.6171 1.3 7.3 1.291 1.3 1.421 24 1.0164 2.19058 1.60480 1.00454 2.18068 1.59755
MA118C-5-fine-anm-00021.dat -0.7643 0.7379 -0.8073 0.8673 -0.6799 0.7871 1.5 6.8 1.086 1.4 1.125 30 0.9992 1.87764 1.43662 1.17850 1.59325 1.21903
MA118C-5-fine-anm-00023.dat -1.0074 0.9461 -0.7486 0.7398 -0.4671 0.4415 1.1 6.1 1.211 1.3 1.410 30 0.9973 2.19388 1.41427 0.81833 2.68092 1.72823
MA118C-5-fine-anm-00025.dat -0.9067 0.9073 -0.7653 0.7394 -0.3369 0.4795 0.8 5.1 1.263 1.1 1.456 20 0.9867 1.93288 1.38426 0.70175 2.75438 1.97259
MA118C-5-fine-anm-00026.dat -0.9381 1.0726 -1.2832 1.2512 -0.4090 0.4441 1.6 8.6 1.303 1.4 1.727 30 1.0009 2.73550 1.46851 0.75276 3.63396 1.95083
MA118C-5-fine-anm-00027.dat -1.1995 1.1211 -0.7694 0.8921 -0.5256 0.5432 1.1 7.3 1.378 1.3 1.743 30 0.9638 2.43538 1.55832 0.69962 3.48102 2.22738
MA118C-5-fine-anm-00029.dat -1.5310 1.3927 -1.3844 1.4690 -0.9245 1.4354 7.6 23.3 1.239 2.4 1.152 22 1.0064 3.30999 2.75973 2.54480 1.30069 1.08446
MA118C-5-fine-anm-00030.dat -0.9003 0.7582 -0.7915 0.8320 -0.3373 0.4932 0.9 5.9 1.300 1.2 1.269 22 1.0357 1.81629 1.45057 0.85856 2.11549 1.68953
MA118C-5-fine-anm-00031.dat -0.8322 0.8048 -0.8370 0.9296 -0.4621 0.4808 1.1 6.2 1.178 1.3 1.182 30 1.0108 1.93194 1.69295 0.97191 1.98778 1.74188
MA118C-5-fine-anm-00032.dat -0.9369 1.1261 -0.9258 1.0482 -0.6335 0.6681 1.8 8.5 1.194 1.5 1.306 30 0.9982 2.44316 1.72269 0.99977 2.44372 1.72308
MA118C-5-fine-anm-00033.dat -1.6622 2.0984 -1.3529 1.5000 -0.6356 0.8448 5.2 18.4 1.273 2.1 1.889 30 1.0017 4.40450 1.72416 1.44667 3.04457 1.19181
MA118C-5-fine-anm-00037.dat -1.0355 1.0473 -0.8952 0.8918 -0.5318 0.7025 1.7 8.4 1.216 1.5 1.301 30 1.0150 2.45235 1.58905 1.07358 2.28428 1.48015
MA118C-5-fine-anm-00038.dat -2.2749 2.7313 -1.6658 1.9622 -2.0564 2.3359 16.0 41.3 1.345 3.1 1.642 30 1.0109 5.36466 4.69887 1.61542 3.32091 2.90876
MA118C-5-fine-anm-00039.dat -0.3681 0.3543 -0.3951 0.3444 -0.2653 0.1327 0.1 1.0 1.367 0.5 1.279 24 0.9705 0.79833 0.69919 0.39503 2.02094 1.76996
MA118C-5-fine-anm-00040.dat -0.7529 0.7785 -0.6854 0.5685 -0.4628 0.5860 0.8 4.9 1.170 1.1 1.156 30 1.0026 1.76662 1.25739 0.97467 1.81253 1.29006
MA118C-5-fine-anm-00041.dat -1.5167 1.3717 -1.2579 1.3660 -1.0171 0.9629 7.2 19.5 1.079 2.4 1.165 30 1.0001 3.41767 2.12901 2.12302 1.60981 1.00282
MA118C-5-fine-anm-00042.dat -1.1245 1.1163 -1.1549 1.0225 -1.2438 1.1333 5.1 16.0 1.115 2.1 1.103 30 0.9946 2.83141 2.31598 2.06526 1.37097 1.12140
MA118C-5-fine-anm-00043.dat -0.6665 0.5881 -0.9681 0.9270 -0.7108 0.6925 1.4 7.3 1.192 1.4 1.150 22 0.9935 1.93521 1.77116 1.21037 1.59885 1.46331
MA118C-5-fine-anm-00045.dat -0.6989 0.7504 -0.9682 0.9736 -0.6492 0.6018 1.3 6.9 1.212 1.4 1.314 28 1.0081 2.16203 1.32125 1.14205 1.89311 1.15691
MA118C-5-fine-anm-00046.dat -1.3845 1.3239 -1.2136 1.0507 -1.0414 0.8714 4.5 15.6 1.185 2.0 1.191 30 0.9949 2.88029 2.28701 1.88727 1.52616 1.21181
MA118C-5-fine-anm-00047.dat -1.1002 1.0424 -1.4236 1.2487 -1.0379 0.8154 3.8 14.2 1.207 1.9 1.264 18 0.9683 3.10953 2.04203 1.59199 1.95323 1.28269
MA118C-5-fine-anm-00048.dat -0.9170 0.9444 -0.9993 0.9691 -0.8474 0.6742 2.3 9.7 1.141 1.6 1.100 30 1.0098 2.18379 1.88727 1.53171 1.42572 1.23213
MA118C-5-fine-anm-00049.dat -0.7742 0.8673 -0.9000 0.8248 -0.5317 0.5461 1.5 6.8 1.082 1.4 1.119 30 1.0017 1.81859 1.61578 1.09183 1.66564 1.47988
MA118C-5-fine-anm-00050.dat -0.7509 0.8360 -0.7843 0.8502 -0.4743 0.5185 1.2 6.0 1.106 1.3 1.197 30 0.9949 1.91318 1.29894 0.99872 1.91563 1.30061
MA118C-5-fine-anm-00051.dat -0.5940 0.6242 -0.6880 0.7467 -0.7108 0.5812 0.8 4.9 1.151 1.2 1.081 30 1.0143 1.56243 1.28617 1.12499 1.38884 1.14327
MA118C-5-fine-anm-00052.dat -0.7696 0.5864 -0.7485 0.5967 -0.4386 0.3777 0.5 4.0 1.264 1.0 1.253 26 0.9661 1.40421 1.32086 0.78360 1.79200 1.68563
MA118C-5-fine-anm-00053.dat -1.4539 1.2251 -1.1186 1.0868 -0.9330 0.7210 4.0 13.6 1.124 2.0 1.182 30 0.9908 3.02516 1.85934 1.77982 1.69969 1.04468
MA118C-5-fine-anm-00054.dat -1.2804 1.2212 -1.2401 1.6404 -0.9459 0.8339 5.3 16.8 1.141 2.2 1.164 30 0.9996 3.14779 2.22064 1.88176 1.67279 1.18009
MA118C-5-fine-anm-00055.dat -0.6160 0.6398 -0.8361 0.7708 -0.5568 0.3902 1.0 5.5 1.153 1.2 1.188 30 0.9975 1.73857 1.42351 0.92086 1.88798 1.54585
MA118C-5-fine-anm-00057.dat -1.0199 0.8311 -1.3156 1.6019 -0.9172 0.6919 4.1 14.6 1.171 2.0 1.306 30 0.9921 3.23318 1.99681 1.59397 2.02839 1.25273
MA118C-5-fine-anm-00058.dat -1.1613 1.1711 -1.1405 1.1446 -0.2803 0.2934 1.2 8.3 1.528 1.3 2.062 30 0.9950 2.74154 1.79921 0.55527 4.93728 3.24023
MA118C-5-fine-anm-00061.dat -1.1159 1.5137 -0.8688 0.7830 -0.8820 0.7420 3.0 11.2 1.120 1.8 1.205 30 1.0015 2.68417 1.76102 1.46344 1.83415 1.20334
MA118C-5-fine-anm-00062.dat -0.8826 0.9195 -0.9399 0.9966 -0.7936 0.6947 2.7 10.2 1.092 1.7 1.085 30 0.9953 2.25412 1.83472 1.48825 1.51461 1.23281
MA118C-5-fine-anm-00064.dat -0.7259 0.9527 -0.9956 0.7806 -0.6131 0.5605 1.2 6.3 1.174 1.3 1.139 30 1.0029 1.82515 1.66826 1.18436 1.54104 1.40857
MA118C-5-fine-anm-00065.dat -0.6794 0.7702 -0.9019 0.8669 -0.5970 0.4653 1.0 5.9 1.188 1.3 1.217 30 0.9682 1.80513 1.42153 1.02539 1.76044 1.38634
MA118C-5-fine-anm-00066.dat -1.0923 1.1935 -1.5199 1.5900 -0.5089 0.4419 2.1 10.7 1.349 1.6 1.917 30 0.9947 3.36705 1.51741 0.82056 4.10334 1.84923
MA118C-5-fine-anm-00067.dat -0.9424 0.8610 -0.7112 0.9413 -0.5801 0.6273 1.4 7.0 1.140 1.4 1.127 30 1.0015 1.85022 1.64116 1.25855 1.47012 1.30401
MA118C-5-fine-anm-00068.dat -0.6109 0.5625 -0.7743 0.8247 -0.4244 0.4750 0.7 4.4 1.140 1.1 1.160 30 0.9865 1.68064 1.20040 0.92294 1.82096 1.30062
MA118C-5-fine-anm-00069.dat -0.8055 0.7980 -0.8033 0.9000 -0.3574 0.4205 1.0 5.7 1.187 1.2 1.297 30 1.0011 1.77971 1.60103 0.76039 2.34051 2.10552
MA118C-5-fine-anm-00070.dat -0.8530 0.8856 -0.9290 0.7896 -0.4524 0.5439 1.2 6.7 1.213 1.3 1.213 30 1.0097 1.83453 1.66024 0.96585 1.89939 1.71894
MA118C-5-fine-anm-00071.dat -0.9616 0.9562 -1.0779 1.1536 -0.5257 0.6315 2.0 9.7 1.260 1.6 1.285 18 1.0307 2.47994 1.66688 1.14534 2.16525 1.45536
MA118C-5-fine-anm-00073.dat -0.2904 0.3283 -0.2829 0.3284 -0.3296 0.2766 0.1 1.2 1.210 0.6 1.094 28 0.9755 0.69353 0.64445 0.55332 1.25340 1.16470
MA118C-5-fine-anm-00074.dat -0.6595 0.9682 -1.5903 1.5025 -1.1273 0.9122 2.7 13.1 1.386 1.7 1.751 26 1.0216 3.18923 1.98883 1.37113 2.32598 1.45050
MA118C-5-fine-anm-00076.dat -0.6694 0.7425 -0.6471 0.6133 -0.4774 0.3472 0.7 4.4 1.181 1.1 1.215 30 0.9973 1.50540 1.27890 0.83289 1.80745 1.53550
MA118C-5-fine-anm-00077.dat -0.7593 0.6569 -0.6072 0.6609 -0.5188 0.6714 0.8 5.2 1.206 1.2 1.171 30 0.9824 1.73970 1.42568 1.09414 1.59001 1.30301
MA118C-5-fine-anm-00078.dat -1.2003 1.0832 -1.2800 1.2077 -0.6104 0.5868 2.9 11.6 1.179 1.8 1.285 30 0.9953 2.73268 2.02202 1.16910 2.33742 1.72955
MA118C-5-fine-anm-00079.dat -0.9111 1.0696 -0.9908 0.8341 -0.6894 0.5728 1.7 8.5 1.225 1.5 1.396 30 0.9956 2.25782 1.55512 1.07607 2.09821 1.44518
MA118C-5-fine-anm-00080.dat -1.3609 1.0619 -1.1732 0.9670 -0.6033 0.6000 2.2 10.3 1.249 1.6 1.378 30 1.0058 2.47961 2.17935 0.98351 2.52120 2.21590
MA118C-5-fine-anm-00081.dat -0.8645 0.8344 -0.7168 0.8058 -0.5988 0.5827 1.2 6.2 1.107 1.3 1.170 30 1.0016 1.76353 1.45656 0.89802 1.96380 1.62196
MA118C-5-fine-anm-00082.dat -1.0324 1.2085 -1.2456 1.2002 -0.9345 0.8721 3.6 13.1 1.156 1.9 1.283 30 0.9993 2.81324 2.06297 1.20018 2.34401 1.71888
MA118C-5-fine-anm-00083.dat -0.8264 0.9751 -0.7750 0.7587 -0.6855 0.5831 1.2 6.6 1.204 1.3 1.147 26 1.0042 1.95849 1.56097 1.23997 1.57946 1.25888
MA118C-5-fine-anm-00085.dat -0.4001 0.3871 -0.2794 0.2608 -0.2220 0.2484 0.1 1.1 1.227 0.5 1.267 28 1.0015 0.82724 0.52753 0.47113 1.75587 1.11972
MA118C-5-fine-anm-00086.dat -0.6005 0.6154 -0.5481 0.5805 -0.4358 0.5098 0.5 3.6 1.149 1.0 1.114 30 0.9789 1.42299 1.17301 0.88921 1.60028 1.31916
MA118C-5-fine-anm-00087.dat -0.8345 0.7451 -0.9240 0.8129 -0.5611 0.3183 0.8 5.3 1.308 1.1 1.415 30 1.0038 1.95387 1.34479 0.90882 2.14990 1.47972
MA118C-5-fine-anm-00088.dat -0.2613 0.2017 -0.3061 0.2880 -0.2286 0.2954 0.1 0.9 1.199 0.5 1.115 28 0.9529 0.67305 0.54855 0.44340 1.51794 1.23716
MA118C-5-fine-anm-00089.dat -0.9504 1.3091 -1.0549 0.8772 -0.6696 0.7172 2.4 10.4 1.214 1.7 1.212 18 0.9796 2.37351 2.04114 1.30480 1.81907 1.56434
MA118C-5-fine-anm-00090.dat -1.1012 1.0303 -0.9579 1.2261 -0.8256 0.7377 2.8 11.5 1.183 1.8 1.248 26 0.9634 2.54878 2.09501 1.21657 2.09506 1.72206
MA118C-5-fine-anm-00091.dat -0.3762 0.3666 -0.4909 0.5298 -0.2209 0.2432 0.1 1.6 1.233 0.6 1.201 18 0.9711 1.04631 0.80017 0.53758 1.94634 1.48848
MA118C-5-fine-anm-00092.dat -0.7339 0.7254 -1.1323 0.9258 -0.3941 0.5056 1.0 6.3 1.299 1.2 1.478 30 1.0170 2.08886 1.41537 0.85488 2.44346 1.65564
MA118C-5-fine-anm-00093.dat -0.6836 0.7031 -0.6503 0.7818 -0.7097 0.5585 1.1 5.6 1.072 1.3 1.048 30 0.9950 1.55339 1.43031 1.20536 1.28873 1.18662
MA118C-5-fine-anm-00094.dat -0.6786 0.5616 -0.5785 0.5284 -0.2784 0.3969 0.3 3.0 1.286 0.9 1.361 26 1.0353 1.35503 1.01708 0.67224 2.01569 1.51297
MA118C-5-fine-anm-00096.dat -0.9279 0.9575 -0.8110 0.7362 -0.5052 0.5738 1.3 7.1 1.230 1.4 1.193 26 0.9761 2.03487 1.41433 1.06060 1.91861 1.33351
MA118C-5-fine-anm-00097.dat -0.2857 0.2859 -0.3164 0.3076 -0.1488 0.1864 0.0 0.7 1.321 0.4 1.442 24 1.0091 0.68471 0.50890 0.33637 2.03561 1.51293
MA118C-5-fine-anm-00098.dat -0.3877 0.3887 -0.3275 0.3048 -0.1690 0.1683 0.0 0.8 1.303 0.5 1.363 18 0.9960 0.80965 0.57502 0.35898 2.25543 1.60183
MA118C-5-fine-anm-00099.dat -0.2766 0.2368 -0.2181 0.2422 -0.2166 0.2188 0.0 0.7 1.236 0.4 1.191 20 1.0100 0.62864 0.50507 0.48440 1.29778 1.04268
MA118C-5-fine-anm-00101.dat -0.2997 0.2905 -0.3494 0.2948 -0.2163 0.1849 0.0 0.8 1.326 0.4 1.383 28 1.0038 0.81432 0.43620 0.38462 2.11723 1.13411
MA118C-5-fine-anm-00103.dat -0.2191 0.2433 -0.2766 0.3235 -0.1753 0.1729 0.0 0.6 1.297 0.4 1.448 16 1.0044 0.61812 0.45190 0.28512 2.16794 1.58494
MA118C-5-fine-anm-00104.dat -0.8001 0.7949 -0.8566 0.8968 -0.4641 0.4815 1.3 6.3 1.113 1.3 1.174 30 0.9975 1.78274 1.47507 0.91185 1.95508 1.61767
MA118C-5-fine-anm-00105.dat -0.8718 0.8419 -0.5457 0.5074 -0.2885 0.2975 0.4 3.5 1.384 0.9 1.831 30 0.9606 1.74868 1.00321 0.47947 3.64713 2.09235
MA118C-5-fine-anm-00106.dat -0.9672 0.9039 -0.7242 0.7145 -0.6478 0.6755 1.8 7.9 1.101 1.5 1.124 30 0.9995 1.98167 1.64470 1.49546 1.32512 1.09979
MA118C-5-fine-anm-00107.dat -0.3211 0.3492 -0.2569 0.2899 -0.2261 0.2389 0.1 0.9 1.275 0.5 1.157 28 0.9975 0.68893 0.60432 0.38998 1.76659 1.54961
MA118C-5-fine-anm-00108.dat -0.3006 0.2885 -0.2659 0.3131 -0.3286 0.3675 0.1 1.2 1.211 0.6 1.103 30 1.0095 0.74220 0.58667 0.54363 1.36527 1.07916
MA118C-5-fine-anm-00109.dat -1.1083 1.3535 -0.9831 0.8999 -0.4671 0.6028 1.4 8.2 1.335 1.4 1.762 30 0.9971 2.63190 1.46583 0.84057 3.13109 1.74385
MA118C-5-fine-anm-00110.dat -0.8717 0.7976 -0.8586 0.6756 -0.6489 0.7598 1.4 7.0 1.184 1.4 1.119 18 1.0233 1.75387 1.55172 1.48474 1.18126 1.04512
MA118C-5-fine-anm-00111.dat -0.9227 0.8075 -0.6918 0.5204 -0.3891 0.3972 0.5 4.3 1.321 1.0 1.577 14 0.9767 1.76465 1.22176 0.55403 3.18513 2.20524
MA118C-5-fine-anm-00112.dat -0.7415 0.7271 -0.8142 0.7657 -0.4676 0.5181 0.9 5.4 1.154 1.2 1.189 22 0.9670 1.65618 1.51455 0.90251 1.83509 1.67815
MA118C-5-fine-anm-00114.dat -1.0929 0.9590 -1.4622 1.4794 -0.6571 0.7419 3.6 13.7 1.200 1.9 1.315 26 1.0332 2.96055 2.21113 1.48095 1.99908 1.49304
