Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA118DE-9-coarse-anm-00003.dat -10.0139 12.4831 -10.2969 13.3914 -14.9920 14.8650 5900.5 1893.5 1.199 22.4 1.232 20 0.9749 32.11160 26.17470 17.78666 1.80538 1.47159
MA118DE-9-coarse-anm-00004.dat -10.3838 9.9572 -12.2059 9.1506 -9.9051 12.4417 3807.4 1380.4 1.171 19.4 1.135 22 1.0337 24.03830 21.70629 17.61528 1.36463 1.23224
MA118DE-9-coarse-anm-00008.dat -5.7670 6.3392 -6.8611 6.6443 -5.7443 6.0376 758.4 461.3 1.147 11.3 1.119 16 1.0040 15.10033 12.01251 9.49248 1.59077 1.26548
MA118DE-9-coarse-anm-00009.dat -5.6937 6.0829 -5.9504 6.1821 -5.4933 5.6049 738.6 464.8 1.176 11.2 1.048 22 0.9692 12.88568 12.42667 10.43605 1.23473 1.19074
MA118DE-9-coarse-anm-00010.dat -7.0468 6.3669 -6.9254 6.5365 -4.2098 4.6015 725.0 444.7 1.140 11.1 1.191 16 1.0162 15.84353 11.50161 9.26912 1.70928 1.24085
MA118DE-9-coarse-anm-00011.dat -10.3801 7.6908 -8.9863 8.1143 -3.3095 4.8987 1024.7 615.0 1.251 12.5 1.450 16 0.9882 21.15518 13.24035 8.27275 2.55721 1.60048
MA118DE-9-coarse-anm-00013.dat -10.1027 11.0381 -11.9791 10.9550 -13.3346 10.8415 3894.8 1429.1 1.194 19.5 1.181 20 0.9839 28.73428 21.66899 19.24356 1.49319 1.12604
MA118DE-9-coarse-anm-00015.dat -4.4216 4.0331 -6.1626 6.2868 -2.6467 3.3757 221.3 239.6 1.354 7.5 1.383 22 0.9734 12.76588 8.91889 5.89811 2.16440 1.51216
MA118DE-9-coarse-anm-00016.dat -7.4061 8.5194 -13.7560 12.6413 -12.2479 11.1630 3661.7 1404.5 1.223 19.1 1.217 18 1.0172 26.88615 23.69629 14.18852 1.89492 1.67010
MA118DE-9-coarse-anm-00017.dat -7.2315 6.8934 -5.8272 5.0902 -2.5232 2.8874 311.0 304.8 1.373 8.4 1.580 24 0.9731 14.88159 10.28550 4.38171 3.39629 2.34737
MA118DE-9-coarse-anm-00018.dat -5.9260 5.4886 -6.5745 5.8361 -7.2848 7.6737 858.2 496.3 1.136 11.8 1.210 16 1.0440 15.87420 13.83960 7.96053 1.99411 1.73853
MA118DE-9-coarse-anm-00019.dat -6.1142 4.9968 -4.7760 4.7241 -5.9318 9.7666 441.6 412.8 1.472 9.4 1.801 22 1.0405 18.49435 10.26609 6.73866 2.74452 1.52346
