Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120A-anm-00003.dat -2.3700 2.8570 -4.0254 3.3789 -1.3252 1.9801 36.2 71.5 1.350 4.1 1.588 30 1.0092 8.14103 4.77185 3.06424 2.65679 1.55727
MA120A-anm-00005.dat -2.2716 2.8969 -8.0879 8.8155 -1.7502 2.5972 122.5 183.4 1.537 6.2 3.045 30 1.0454 17.02011 4.66963 4.24035 4.01384 1.10124
MA120A-anm-00006.dat -3.5490 3.3517 -3.2305 3.4005 -1.5515 1.5239 40.1 73.0 1.289 4.2 1.725 30 0.9995 8.08406 4.05177 2.69879 2.99544 1.50133
MA120A-anm-00010.dat -4.3969 5.3432 -3.5625 3.3955 -1.3859 1.8073 46.8 104.0 1.657 4.5 2.314 22 1.0328 10.95801 5.45043 2.35127 4.66047 2.31808
MA120A-anm-00012.dat -3.2955 3.7646 -2.5733 2.4395 -0.9895 0.9871 29.1 70.0 1.529 3.8 1.960 30 1.0325 7.43318 5.64117 1.53497 4.84258 3.67511
MA120A-anm-00013.dat -4.5736 3.0536 -4.9128 4.2869 -1.2478 1.5610 71.1 113.7 1.370 5.1 1.805 30 0.9957 10.81239 5.39188 2.85237 3.79067 1.89032
MA120A-anm-00014.dat -2.5824 2.4884 -3.0150 3.1203 -1.6723 1.4137 34.0 66.6 1.311 4.0 1.452 30 1.0031 7.45615 4.80483 3.31487 2.24931 1.44948
MA120A-anm-00015.dat -4.4439 4.4468 -2.3967 2.1951 -1.0238 1.0665 29.3 72.4 1.576 3.8 2.411 20 0.9691 9.14062 4.52304 1.85938 4.91594 2.43255
MA120A-anm-00016.dat -3.8948 4.2597 -4.0303 4.0696 -1.6526 2.1539 78.3 123.8 1.399 5.3 1.664 30 1.0409 10.84116 6.54072 3.47886 3.11630 1.88013
MA120A-anm-00017.dat -3.3896 3.3075 -5.4770 5.1856 -1.6733 1.4945 43.2 91.5 1.537 4.4 2.704 20 1.0090 11.86995 3.74329 2.70327 4.39096 1.38473
MA120A-anm-00019.dat -3.2120 2.9224 -2.2589 3.6886 -1.3487 1.5766 35.8 73.7 1.403 4.1 1.468 30 0.9963 6.74397 6.65700 2.82980 2.38319 2.35246
MA120A-anm-00020.dat -2.5988 3.5340 -3.4663 4.0149 -1.1444 1.7120 39.9 78.4 1.388 4.2 1.729 30 1.0046 8.81592 4.48231 2.74397 3.21284 1.63352
MA120A-anm-00021.dat -3.3908 2.9912 -3.6429 3.5843 -1.1875 1.2720 31.9 80.2 1.648 3.9 2.046 28 0.9848 7.95607 6.08412 1.65548 4.80589 3.67513
MA120A-anm-00022.dat -2.9286 2.7560 -3.3773 3.5906 -1.0336 1.3858 26.5 62.5 1.454 3.7 1.696 30 1.0031 7.44380 5.13552 2.29615 3.24186 2.23658
MA120A-anm-00023.dat -2.9346 3.9462 -3.1358 2.7175 -1.3949 1.5270 42.5 85.9 1.458 4.3 1.571 30 0.9994 7.43705 6.93847 2.92849 2.53955 2.36930
MA120A-anm-00024.dat -4.4802 4.3367 -2.5097 3.0577 -1.1139 1.2143 30.3 71.6 1.524 3.9 2.366 24 1.0368 9.30702 3.80800 2.04059 4.56094 1.86613
