Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120C-anm-00001.dat -3.3010 2.9039 -2.4588 3.2182 -1.3575 1.9014 47.8 80.0 1.255 4.5 1.349 30 0.9987 7.13733 5.09219 3.25128 2.19524 1.56621
MA120C-anm-00002.dat -2.2867 3.4199 -2.8884 2.6010 -1.8638 3.0805 56.7 84.7 1.187 4.8 1.140 30 1.0015 6.10583 5.77063 5.40006 1.13070 1.06862
MA120C-anm-00003.dat -2.8810 3.1638 -2.1652 2.9661 -1.0257 1.2269 26.0 58.5 1.377 3.7 1.647 30 0.9943 6.66605 4.47725 2.18972 3.04425 2.04467
MA120C-anm-00004.dat -2.8500 3.2244 -1.9849 2.5800 -1.6301 1.5224 45.1 71.2 1.163 4.4 1.181 30 0.9975 6.22440 4.75182 4.07099 1.52896 1.16724
MA120C-anm-00005.dat -3.8598 3.6752 -2.4294 3.1772 -1.7514 2.7111 68.9 100.8 1.240 5.1 1.360 30 1.0117 8.81386 5.04083 4.09541 2.15213 1.23085
MA120C-anm-00006.dat -3.2241 3.1592 -3.9400 3.6583 -1.4994 1.3961 43.0 82.2 1.383 4.3 1.763 24 0.9882 8.98064 4.40652 2.92407 3.07128 1.50698
MA120C-anm-00007.dat -2.4376 2.9063 -2.0732 2.5502 -1.9459 2.0394 33.7 59.8 1.187 4.0 1.221 30 1.0145 6.00567 4.28112 3.88472 1.54597 1.10204
MA120C-anm-00008.dat -3.0609 2.9179 -3.1562 2.6540 -1.4677 1.8540 39.5 68.8 1.226 4.2 1.284 30 1.0077 6.74437 4.22940 3.46406 1.94695 1.22094
MA120C-anm-00009.dat -4.2376 3.8865 -3.1591 2.5565 -1.6010 2.3678 64.7 97.4 1.250 5.0 1.384 30 0.9853 9.37256 5.69891 3.92101 2.39034 1.45343
MA120C-anm-00010.dat -2.9883 2.9809 -3.7442 3.1847 -1.2086 1.5933 44.5 78.7 1.297 4.4 1.631 30 0.9996 7.83185 4.56141 2.55167 3.06930 1.78762
MA120C-anm-00011.dat -1.8695 2.0400 -3.0470 3.7038 -1.4211 1.3792 32.2 60.9 1.245 3.9 1.335 30 1.0105 6.95040 4.19243 3.38385 2.05399 1.23895
MA120C-anm-00012.dat -2.6860 2.6449 -2.0551 1.7808 -1.3468 1.8976 25.8 50.3 1.191 3.7 1.183 30 1.0029 5.43209 4.05640 3.68124 1.47561 1.10191
MA120C-anm-00013.dat -3.1302 3.1504 -3.0503 3.6325 -1.4412 1.6457 42.7 76.0 1.286 4.3 1.480 30 1.0039 7.22500 4.79048 2.96285 2.43853 1.61685
MA120C-anm-00014.dat -1.9870 2.8060 -2.8106 2.3283 -0.9816 1.4868 20.4 47.6 1.316 3.4 1.418 30 0.9968 5.21061 4.96696 2.25497 2.31072 2.20267
MA120C-anm-00015.dat -3.4587 3.0177 -3.2706 3.1644 -1.5520 1.7931 63.1 90.2 1.177 4.9 1.237 30 1.0028 7.52220 5.02297 3.87094 1.94325 1.29761
MA120C-anm-00016.dat -2.4967 2.5699 -2.1755 2.4707 -1.7456 1.7643 41.4 67.3 1.164 4.3 1.116 30 0.9988 5.67855 5.30382 4.31018 1.31747 1.23053
MA120C-anm-00017.dat -2.5638 3.0756 -2.5272 1.7999 -1.1215 1.4454 22.4 50.5 1.312 3.5 1.505 30 1.0072 5.73607 4.35945 2.54993 2.24950 1.70964
MA120C-anm-00018.dat -3.7851 3.7688 -2.9836 3.3866 -1.5386 1.5316 61.0 97.4 1.300 4.9 1.568 30 1.0013 9.29408 5.56062 2.97055 3.12873 1.87191
MA120C-anm-00019.dat -3.1968 3.2467 -2.8283 2.5246 -1.5359 2.1956 51.5 78.7 1.177 4.6 1.152 30 1.0051 6.48658 5.54136 3.99487 1.62373 1.38712
MA120C-anm-00020.dat -2.8770 3.7344 -2.4267 2.7705 -1.8674 2.6733 54.7 83.6 1.199 4.7 1.295 30 0.9970 7.47240 4.34918 3.98397 1.87562 1.09167
MA120C-anm-00021.dat -2.8781 2.7832 -3.3296 3.4253 -1.4250 1.8254 50.4 80.1 1.212 4.6 1.306 30 0.9973 7.19720 4.79077 3.28065 2.19383 1.46031
MA120C-anm-00022.dat -5.0125 3.9713 -2.3658 2.8943 -1.6378 2.4150 70.1 106.1 1.290 5.1 1.493 30 0.9935 9.18709 5.50987 3.80170 2.41657 1.44932
MA120C-anm-00023.dat -3.5572 3.7506 -2.3236 2.6916 -1.7462 2.4331 55.0 84.6 1.209 4.7 1.336 30 0.9842 7.96713 4.69928 3.89900 2.04337 1.20525
MA120C-anm-00024.dat -3.9059 4.1214 -2.9936 3.0053 -1.0904 1.5354 44.6 85.2 1.400 4.4 1.895 30 0.9709 8.31726 4.85786 2.42961 3.42329 1.99944
MA120C-anm-00025.dat -2.7669 2.4108 -2.3624 2.3225 -1.3442 1.8408 31.0 57.4 1.201 3.9 1.223 30 1.0005 5.87147 4.46458 2.98368 1.96786 1.49633
MA120C-anm-00026.dat -2.5323 2.7046 -2.7079 2.5385 -1.5104 1.5634 41.9 68.7 1.177 4.3 1.193 30 1.0003 6.03929 5.27032 3.12669 1.93153 1.68559
MA120C-anm-00027.dat -3.5710 3.5037 -2.0226 2.8084 -1.7112 1.8032 56.0 82.2 1.161 4.7 1.258 30 1.0009 7.30661 5.09614 3.32400 2.19814 1.53313
MA120C-anm-00028.dat -2.8704 3.5454 -1.9151 2.3172 -1.7450 2.3258 39.3 67.2 1.203 4.2 1.315 30 0.9978 7.11526 3.87550 3.62314 1.96384 1.06965
MA120C-anm-00030.dat -2.7437 2.8190 -2.1065 3.2897 -2.0736 2.4292 49.4 78.1 1.199 4.6 1.220 30 1.0038 6.74401 5.19949 3.92325 1.71899 1.32530
MA120C-anm-00031.dat -2.8536 2.3582 -1.9820 2.3390 -1.3316 1.8226 26.1 53.2 1.249 3.7 1.361 30 0.9987 5.72525 4.35018 2.63687 2.17123 1.64975
MA120C-anm-00032.dat -4.5890 3.7650 -1.5666 1.6400 -0.9933 1.2823 20.4 55.0 1.522 3.4 3.102 30 1.0166 8.55703 2.42250 2.00632 4.26505 1.20744
MA120C-anm-00033.dat -3.9690 3.2600 -2.0060 2.0551 -0.9862 1.3783 27.0 60.6 1.393 3.7 1.797 26 1.0056 7.36486 3.99126 2.15754 3.41355 1.84991
MA120C-anm-00034.dat -1.8622 2.2153 -2.4658 2.1080 -0.9144 1.3900 15.9 40.3 1.318 3.1 1.399 30 1.0025 4.94561 4.03580 2.14800 2.30243 1.87886
MA120C-anm-00035.dat -2.9750 4.0129 -3.2690 3.3043 -1.9672 1.9516 57.2 91.1 1.269 4.8 1.387 30 1.0029 7.89400 5.50983 3.26850 2.41518 1.68574
