Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120D1-anm-00001.dat -8.4267 7.4222 -17.2013 18.1209 -4.7348 6.1339 1807.1 1065.0 1.484 15.1 2.304 30 0.9773 36.36782 16.04578 7.56217 4.80918 2.12185
MA120D1-anm-00002.dat -6.8343 5.5940 -10.2263 10.4314 -4.8589 6.6341 1048.5 616.9 1.236 12.6 1.289 30 1.0015 21.20579 13.63934 10.97964 1.93137 1.24224
MA120D1-anm-00003.dat -11.2789 10.8776 -7.0029 6.0966 -3.6602 4.8630 810.2 573.0 1.363 11.6 1.867 30 0.9921 23.01068 11.51984 7.76641 2.96284 1.48329
MA120D1-anm-00004.dat -8.9261 9.1283 -5.9040 4.8715 -4.4364 5.0170 780.7 508.0 1.239 11.4 1.273 30 0.9973 18.19806 10.83670 10.09350 1.80295 1.07363
MA120D1-anm-00005.dat -14.1626 13.6409 -11.7166 10.8354 -10.2888 13.5849 5740.6 1744.3 1.125 22.2 1.076 30 0.9988 29.51353 26.84752 22.05750 1.33803 1.21716
MA120D1-anm-00006.dat -10.2916 12.0826 -12.0307 9.2339 -5.5232 6.5488 2335.8 1016.7 1.194 16.5 1.226 30 1.0058 23.77387 19.01338 12.15224 1.95634 1.56460
MA120D1-anm-00007.dat -8.3391 11.5527 -11.2822 12.9829 -6.2740 6.4501 2733.2 1125.9 1.191 17.3 1.210 30 0.9965 25.89358 18.98104 13.32554 1.94315 1.42441
MA120D1-anm-00008.dat -11.1387 10.2536 -6.8887 6.9634 -4.1186 5.0322 981.6 595.8 1.247 12.3 1.694 30 1.0001 22.82431 10.76351 8.38591 2.72175 1.28352
MA120D1-anm-00009.dat -14.2030 12.6368 -7.4738 6.4141 -4.0869 4.9308 1452.1 793.2 1.279 14.1 1.663 30 1.0083 27.28350 14.05094 8.69258 3.13871 1.61643
MA120D1-anm-00010.dat -10.5485 11.6712 -10.5281 11.1071 -4.0879 4.7455 1620.5 897.7 1.345 14.6 1.427 30 1.0117 22.78833 21.80230 8.65694 2.63238 2.51848
MA120D1-anm-00011.dat -6.2043 6.2263 -9.7520 9.5344 -6.0169 8.0600 1508.5 768.4 1.208 14.2 1.193 30 1.0051 20.41246 15.01592 13.53274 1.50838 1.10960
MA120D1-anm-00012.dat -5.6121 6.8043 -9.2494 9.5775 -3.9100 4.1982 587.1 452.2 1.334 10.4 1.510 30 0.9573 20.64723 11.56518 7.80642 2.64490 1.48150
MA120D1-anm-00013.dat -13.1573 14.1164 -11.7320 14.7268 -5.1381 5.2466 3428.3 1408.2 1.281 18.7 1.482 30 0.9997 29.61786 21.48690 10.11746 2.92740 2.12375
MA120D1-anm-00014.dat -5.8260 5.0992 -11.2417 8.6080 -3.0668 4.9207 723.8 528.9 1.357 11.1 1.859 30 0.9969 20.26758 11.82414 6.81942 2.97204 1.73389
MA120D1-anm-00015.dat -4.9742 6.5741 -9.4531 8.3080 -3.9906 6.1563 557.0 450.6 1.376 10.2 1.451 30 1.0113 18.45644 10.94676 9.77317 1.88848 1.12008
MA120D1-anm-00016.dat -8.6986 5.9984 -10.6598 9.8732 -5.2275 6.9873 1186.3 702.1 1.296 13.1 1.286 30 1.0477 23.69169 15.52410 11.84093 2.00083 1.31105
MA120D1-anm-00018.dat -6.6740 7.2626 -8.0787 8.4973 -2.6913 2.5260 522.3 453.0 1.444 10.0 1.760 30 1.0179 18.13867 15.91849 5.13812 3.53022 3.09812
