Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120E1-anm-00001.dat -6.9294 7.8083 -11.4847 10.1175 -5.3210 6.1315 1519.2 778.9 1.219 14.3 1.300 30 1.0003 22.34626 17.23334 10.80291 2.06854 1.59525
MA120E1-anm-00002.dat -10.7950 11.3366 -9.3388 12.1471 -4.7015 7.1670 2290.9 1049.9 1.249 16.4 1.318 30 0.9989 25.24278 21.05324 11.12781 2.26844 1.89195
MA120E1-anm-00003.dat -9.5073 8.9140 -6.1716 5.3526 -2.8170 4.3894 434.2 392.0 1.414 9.4 1.711 28 1.0273 19.03788 10.01017 6.97678 2.72875 1.43478
MA120E1-anm-00004.dat -10.8815 9.0006 -11.7474 16.5426 -9.9997 9.3894 5675.5 1799.9 1.170 22.1 1.148 30 0.9959 31.96256 24.41396 21.71697 1.47178 1.12419
MA120E1-anm-00005.dat -8.4049 8.3649 -8.9213 10.4520 -2.7423 3.3452 760.4 593.0 1.472 11.3 1.781 30 1.0121 19.98823 16.49092 5.16232 3.87195 3.19448
MA120E1-anm-00006.dat -9.6079 7.9840 -8.4329 9.6466 -5.5211 6.2488 1555.8 765.6 1.179 14.4 1.129 30 0.9945 20.06331 18.91461 11.43092 1.75518 1.65469
MA120E1-anm-00007.dat -9.5887 9.5291 -9.4810 9.1246 -6.4367 8.9036 2122.1 947.1 1.186 15.9 1.099 30 1.0016 21.40985 18.37866 16.38829 1.30641 1.12145
MA120E1-anm-00008.dat -9.4674 7.6254 -7.3198 6.6973 -4.9187 5.1977 1067.4 596.4 1.181 12.7 1.168 30 1.0332 18.39664 14.66462 10.70015 1.71929 1.37051
MA120E1-anm-00009.dat -10.8138 12.9037 -10.7409 9.2476 -8.3797 10.6103 3238.2 1320.1 1.247 18.4 1.196 30 1.0213 26.14347 24.68894 17.59905 1.48550 1.40286
MA120E1-anm-00010.dat -10.8376 9.8990 -8.8639 9.5597 -4.3095 4.8722 1564.3 814.3 1.250 14.4 1.331 30 1.0057 21.19793 19.16781 9.06634 2.33809 2.11417
MA120E1-anm-00011.dat -12.8274 13.7590 -11.5316 10.5274 -8.8066 13.1959 4591.3 1679.6 1.257 20.6 1.216 30 0.9916 28.41623 24.65485 17.00334 1.67121 1.45000
MA120E1-anm-00012.dat -9.5912 9.4258 -13.1332 12.0098 -5.5922 8.5388 2295.0 1094.7 1.301 16.4 1.302 24 0.9785 25.66698 19.74254 15.12904 1.69654 1.30494
MA120E1-anm-00013.dat -12.5867 9.2730 -14.9004 9.5775 -3.7154 4.5362 1530.3 955.7 1.488 14.3 1.812 30 1.0014 26.25913 20.45959 8.22959 3.19082 2.48610
MA120E1-anm-00014.dat -10.8955 10.1610 -13.3011 10.4892 -7.5964 11.3355 3395.8 1298.2 1.188 18.6 1.157 30 1.0233 26.87647 20.82892 18.80867 1.42894 1.10741
MA120E1-anm-00015.dat -11.9772 11.8083 -9.6484 13.2709 -7.5956 8.7558 3456.5 1350.0 1.221 18.8 1.206 30 1.0409 27.90947 21.96693 18.38487 1.51807 1.19484
MA120E1-anm-00016.dat -7.7742 6.3605 -6.8726 6.8249 -2.9760 3.8553 565.0 417.5 1.263 10.3 1.336 30 0.9980 15.45626 13.40509 6.43244 2.40286 2.08398
MA120E1-anm-00017.dat -11.2883 11.5058 -11.8277 9.8841 -5.6659 7.2921 2294.7 1050.7 1.249 16.4 1.254 30 0.9866 24.08197 21.19534 12.46560 1.93187 1.70031
MA120E1-anm-00018.dat -12.5618 11.9184 -10.9720 10.0984 -4.9131 6.9383 2417.3 1162.5 1.335 16.7 1.415 30 0.9622 29.03220 20.43884 12.00448 2.41845 1.70260
MA120E1-anm-00019.dat -6.2192 6.6822 -8.6630 7.6810 -4.9496 7.9376 1109.2 610.3 1.178 12.8 1.110 30 0.9909 16.67722 14.46002 12.06565 1.38221 1.19844
MA120E1-anm-00020.dat -13.1058 13.7974 -15.3881 13.5080 -7.5133 9.1920 5173.3 1689.6 1.168 21.5 1.198 30 1.0067 33.29520 21.59387 15.18441 2.19272 1.42211
MA120E1-anm-00021.dat -7.9874 6.4994 -11.0135 9.7044 -5.6040 6.7924 1389.9 728.3 1.209 13.8 1.217 30 1.0005 19.39655 14.92313 12.38612 1.56599 1.20483
MA120E1-anm-00022.dat -9.2574 11.3615 -14.6914 13.8956 -6.5431 7.7602 3339.2 1416.5 1.311 18.5 1.457 28 0.9635 22.43218 19.47840 11.76212 1.90715 1.65603
MA120E1-anm-00023.dat -16.5502 13.1936 -11.8514 12.2282 -6.4511 8.4452 3744.4 1482.8 1.272 19.3 1.370 30 0.9861 24.80809 23.76859 11.61789 2.13533 2.04586
MA120E1-anm-00024.dat -7.6837 7.8480 -6.7696 7.1650 -6.3937 6.5951 1413.5 698.7 1.147 13.9 1.116 30 0.9997 21.99224 18.67184 9.78224 2.24818 1.90875
MA120E1-anm-00025.dat -7.8024 10.6875 -8.6417 10.4575 -6.9456 8.0488 1733.9 886.3 1.270 14.9 1.279 30 1.0012 21.89312 17.94047 13.13892 1.66628 1.36544
MA120E1-anm-00026.dat -11.8871 11.7327 -9.3925 12.2666 -6.3232 7.7439 2616.4 1132.1 1.233 17.1 1.297 30 0.9949 21.57624 16.68186 12.49051 1.72741 1.33556
MA120E1-anm-00027.dat -10.4233 9.0678 -9.3409 10.7175 -6.2607 5.1953 1508.7 799.7 1.257 14.2 1.347 30 1.0122 18.72519 17.84573 12.91752 1.44960 1.38151
MA120E1-anm-00028.dat -10.4065 8.9266 -7.0449 9.8545 -5.4557 8.6601 1596.9 812.1 1.229 14.5 1.240 30 1.0125 17.49946 10.29862 9.18636 1.90494 1.12108
MA120E1-anm-00029.dat -7.6371 9.0017 -11.1204 10.7450 -6.2003 8.1382 1717.0 840.3 1.212 14.9 1.238 30 0.9999 27.29190 21.16307 10.50564 2.59783 2.01445
MA120E1-anm-00030.dat -11.3657 9.7031 -8.6848 7.1343 -7.2843 6.5979 1954.6 861.0 1.139 15.5 1.115 30 0.9738 23.36468 13.30271 7.90737 2.95480 1.68232
MA120E1-anm-00031.dat -8.4730 8.6953 -8.4622 9.2824 -5.9856 6.4157 1407.1 721.1 1.187 13.9 1.157 30 0.9979 22.08708 22.31398 16.22805 1.36104 1.37503
MA120E1-anm-00032.dat -9.9652 10.9047 -7.3399 7.7863 -4.5256 6.3398 1104.7 653.7 1.265 12.8 1.292 30 1.0116 27.84088 14.73051 11.65603 2.38854 1.26377
MA120E1-anm-00033.dat -6.9658 6.2527 -7.8988 7.4692 -4.3952 7.1495 586.5 435.1 1.284 10.4 1.509 30 1.0020 15.38474 11.24270 3.62004 4.24988 3.10569
MA120E1-anm-00034.dat -12.6572 10.4498 -11.1063 12.8462 -5.8547 6.3317 2736.5 1212.4 1.281 17.4 1.364 18 1.0189 25.77423 19.34153 8.81533 2.92380 2.19408
MA120E1-anm-00035.dat -8.3021 8.0183 -6.7544 8.2498 -5.9408 6.0516 1150.3 623.7 1.175 13.0 1.157 28 1.0477 34.96650 21.31104 14.49679 2.41202 1.47005
MA120E1-anm-00036.dat -7.4637 8.8197 -7.3678 7.4717 -3.2190 3.7023 610.6 475.5 1.366 10.5 1.529 30 0.9703 25.07643 20.62892 15.18900 1.65096 1.35815
MA120E1-anm-00037.dat -6.9672 8.0695 -8.6340 8.3584 -5.6439 6.2956 1201.9 613.7 1.123 13.2 1.104 30 0.9919 22.42487 15.95714 12.98350 1.72718 1.22903
