Name xlow xhi ylow yhi zlow zhi volume surf._area norm_surf_area Equiv._sph._diam. Itrace Nnn Norm._Gauss_Curvature length(mm) width(mm) thick(mm) L/T W/T
MA120F1-anm-00001.dat -13.0037 14.1979 -14.5852 9.5439 -4.7461 7.1200 2941.8 1430.0 1.440 17.8 1.626 30 1.0424 30.52139 26.37328 11.92831 2.55874 2.21098
MA120F1-anm-00004.dat -14.9039 10.7466 -10.2974 10.2601 -5.4454 6.4069 2145.8 1098.4 1.365 16.0 1.490 28 1.0192 26.03183 20.99941 12.27858 2.12010 1.71025
MA120F1-anm-00006.dat -7.7518 8.0551 -9.0324 6.5858 -3.9072 6.1097 767.9 520.9 1.284 11.4 1.278 30 0.9951 16.32862 13.97675 9.77388 1.67064 1.43001
MA120F1-anm-00007.dat -11.3251 9.4736 -14.4258 13.7893 -6.0725 8.6551 2536.5 1263.0 1.404 16.9 1.722 18 0.9887 30.19357 18.84953 9.19777 3.28271 2.04936
MA120F1-anm-00008.dat -9.0211 9.2315 -12.5872 13.1240 -5.0531 6.7561 2423.4 1072.2 1.229 16.7 1.353 30 0.9966 26.12233 18.63704 12.30267 2.12331 1.51488
MA120F1-anm-00009.dat -11.3161 11.5059 -5.6312 6.5014 -4.7335 6.1184 1130.9 679.8 1.295 12.9 1.604 20 1.0366 24.03482 12.23612 10.77477 2.23066 1.13563
MA120F1-anm-00010.dat -9.6046 10.0860 -14.0864 15.0353 -5.5736 7.1235 2650.4 1176.1 1.270 17.2 1.349 30 1.0027 30.03818 20.52820 12.51438 2.40029 1.64037
MA120F1-anm-00012.dat -11.5170 10.7639 -7.7515 5.6133 -6.1842 8.1696 1540.2 805.4 1.249 14.3 1.283 26 1.0229 23.34020 17.95143 11.92225 1.95770 1.50571
MA120F1-anm-00013.dat -8.6609 10.3554 -13.8079 9.1408 -6.3295 8.7741 2338.3 1072.4 1.259 16.5 1.253 30 0.9930 25.20351 19.68898 14.25531 1.76801 1.38117
MA120F1-anm-00014.dat -9.4236 7.5433 -8.1847 7.2874 -4.7301 6.8362 957.6 610.3 1.299 12.2 1.283 30 1.0055 18.54406 14.77039 10.45351 1.77396 1.41296
MA120F1-anm-00015.dat -13.2956 16.3105 -9.5707 11.8291 -4.5878 6.1684 2306.7 1136.8 1.347 16.4 1.557 30 0.9989 30.08914 18.96416 10.38547 2.89723 1.82603
MA120F1-anm-00016.dat -7.4352 10.2544 -9.4404 9.7514 -4.6371 8.0727 1377.3 775.6 1.296 13.8 1.229 30 0.9731 19.58750 17.06819 12.78353 1.53224 1.33517
MA120F1-anm-00017.dat -10.2079 7.6978 -16.9272 13.3441 -5.0748 6.1558 1922.7 1105.9 1.479 15.4 1.720 26 0.9792 30.32471 18.82676 8.62364 3.51646 2.18316
MA120F1-anm-00018.dat -12.4803 8.9816 -12.4889 8.3920 -4.8422 5.4609 1422.5 808.3 1.321 14.0 1.605 24 0.9753 26.56209 14.44299 9.97765 2.66216 1.44754
MA120F1-anm-00019.dat -9.0457 7.0501 -11.9316 11.5416 -4.2778 4.5270 1527.8 836.3 1.304 14.3 1.471 30 1.0040 24.41196 16.13899 8.27801 2.94901 1.94962
MA120F1-anm-00020.dat -5.3833 4.4097 -7.1764 5.1864 -3.7275 5.5701 426.2 353.2 1.290 9.3 1.243 30 0.9656 15.01412 11.51268 9.84777 1.52462 1.16906
MA120F1-anm-00021.dat -6.2762 7.3661 -6.8313 7.9502 -3.5379 4.7377 610.7 447.2 1.285 10.5 1.357 30 1.0018 15.47305 14.19105 7.19741 2.14981 1.97169
MA120F1-anm-00022.dat -9.7819 11.6671 -12.0023 8.4372 -7.1949 8.9866 2431.1 1071.3 1.225 16.7 1.239 30 1.0001 25.26119 20.93973 12.89283 1.95932 1.62414
MA120F1-anm-00023.dat -7.8127 8.9766 -6.8703 7.6429 -6.0760 7.4031 1078.1 622.1 1.224 12.7 1.179 30 1.0026 19.57739 15.23201 13.25508 1.47697 1.14915
MA120F1-anm-00024.dat -9.9095 11.6133 -12.5098 11.9687 -4.4904 4.7412 1306.4 821.1 1.421 13.6 2.090 30 1.0172 29.51045 13.19859 8.97130 3.28943 1.47120
MA120F1-anm-00025.dat -7.1431 10.3919 -11.9145 11.1980 -5.4349 8.1374 1843.2 886.9 1.220 15.2 1.287 30 1.0032 24.78732 16.78964 14.44674 1.71577 1.16217
MA120F1-anm-00026.dat -8.8224 8.6682 -8.2514 12.8292 -5.3759 6.7188 1583.5 822.7 1.252 14.5 1.283 30 1.0086 21.71761 17.49223 10.94405 1.98442 1.59833
