Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00098.dat             2.9        1.64       0.208      -0.104        6.22      -0.606      -0.156      -0.666        5.71        0.82       0.466       0.796       0.423        12.5         8.8        7.96        8.63        8.23       0.792       0.972       0.856       0.824       0.983
MA99BC-5-coarse-anm-00099.dat            1.43      -0.996       0.256       0.196        4.18       0.159      -0.251     -0.0566        6.45       0.768       0.341         0.7        0.47        8.39        7.05         3.3        7.04         3.3       0.429       0.857       0.569         0.5       0.941
MA99BC-5-coarse-anm-00100.dat            2.59         1.6      -0.635      -0.329        6.61      -0.148      -0.456       0.756        5.88       0.792       0.392       0.755       0.442        13.3        10.9        6.66        10.8        6.89       0.574       0.933       0.691       0.646       0.969
MA99BC-5-coarse-anm-00101.dat            1.71       0.847      -0.796       0.147        5.21        0.17       0.268       0.338        6.23       0.781       0.328       0.711       0.481        10.1        7.91        3.59        7.91        3.59       0.401       0.834       0.543       0.465       0.929
MA99BC-5-coarse-anm-00102.dat             2.7       0.385        2.02       0.814        7.49      -0.551        -0.4       -1.24        6.16       0.747        0.36       0.706       0.424        14.6        11.3        7.22        11.3        7.22       0.563       0.927       0.682       0.631       0.965
MA99BC-5-coarse-anm-00103.dat            2.57      -0.231      -0.364       0.356        7.22     -0.0362      -0.576       0.909        6.07       0.776       0.356       0.726       0.484        14.4        9.29        6.32        9.27        6.36        0.55       0.911       0.671       0.602        0.95
MA99BC-5-coarse-anm-00104.dat            2.47      -0.734       0.533      -0.499        6.56       0.718      -0.395       0.451        6.03       0.826       0.377       0.777       0.487        13.2        8.82        5.45        8.82        5.45       0.506       0.894       0.635       0.563       0.945
MA99BC-5-coarse-anm-00105.dat            2.95       -1.36       0.349       -0.36           6      -0.112       0.345       0.387         5.7       0.819       0.492       0.806       0.415        12.1        10.3        8.76        9.92        9.18       0.838       0.988       0.889       0.876       0.994
MA99BC-5-coarse-anm-00111.dat            1.97      -0.443       0.114      0.0288        3.87       0.161     -0.0887      0.0867        5.91       0.837        0.51       0.818        0.42        7.68        6.77        5.51        6.77        5.51       0.764       0.983       0.836       0.821       0.992
MA99BC-5-coarse-anm-00112.dat            2.59       0.757      -0.915     -0.0747        5.17     -0.0422     -0.0665       0.242        5.66       0.861       0.501       0.835       0.452        10.3        9.82        5.72        9.82        5.73       0.568       0.934       0.686       0.645       0.972
MA99BC-5-coarse-anm-00113.dat            2.65       0.825      -0.104       0.329        7.23       0.423        2.22      -0.894        6.03       0.799       0.367       0.765       0.461        14.6         8.5        8.03        8.44        7.89       0.711       0.943       0.796       0.734       0.962
MA99BC-5-coarse-anm-00114.dat            1.98       -1.19       -0.47      -0.505        4.98       0.139      -0.729        1.17        6.17       0.814       0.398       0.769       0.456        9.93         6.8        4.74        6.77        4.88       0.595       0.931       0.707       0.651       0.962
MA99BC-5-coarse-anm-00115.dat            4.44      -0.314      0.0397      -0.262        7.29       0.438       0.529       0.131        5.36       0.919        0.61       0.904       0.499        14.7        12.5        10.4        12.4          10       0.742       0.978       0.819         0.8       0.989
MA99BC-5-coarse-anm-00116.dat            1.86       -2.42       -1.33       0.349        6.82       0.806      -0.757       -1.34        6.76       0.712       0.272        0.63       0.477        13.7        8.33        4.42        8.33        4.42       0.414       0.834       0.555       0.461       0.914
MA99BC-5-coarse-anm-00117.dat             2.2      -0.468       0.738      -0.411        6.46       0.437        1.35       0.778        6.39       0.747       0.341        0.69       0.447        13.1        8.49        5.19         8.3        5.25       0.504        0.89       0.633       0.556        0.94
MA99BC-5-coarse-anm-00118.dat            2.27       -1.69       0.929      -0.627        5.79       0.151      -0.463      -0.193        5.99       0.768       0.391       0.745       0.435        11.7         9.3        8.24        9.23        8.53       0.822       0.985       0.877       0.861       0.992
MA99BC-5-coarse-anm-00119.dat            1.21       -2.74      -0.702       0.178        5.49       0.675           0    4.13e-17        6.88       0.718       0.221       0.611        0.54          11        6.58        2.52        6.56        2.55         0.3       0.732       0.449       0.339       0.872
MA99BC-5-coarse-anm-00120.dat            2.62       -1.19    1.45e-16       0.386        5.28       0.252       0.138       -1.12        5.79       0.858       0.495       0.833       0.451        10.6        8.46        6.68        8.45        6.66       0.705       0.969       0.792       0.766       0.984
MA99BC-5-coarse-anm-00124.dat             1.3        0.16      -0.841       0.163        3.18      -0.132       0.208      -0.263        6.14       0.818       0.408       0.763       0.493        6.23        5.69        3.04        5.69        3.04       0.511       0.908       0.639       0.588       0.962
MA99BC-5-coarse-anm-00125.dat            2.12      -0.306      -0.483       0.147        4.66     0.00897      0.0141       0.266        5.65       0.879       0.456        0.85       0.457        9.32        6.09        4.96        5.92         4.9        0.66       0.943       0.758       0.703       0.965
MA99BC-5-coarse-anm-00128.dat            1.74       -1.21      -0.876      -0.284         4.3      -0.149       0.318        0.33        6.03       0.794       0.404       0.746       0.454        8.53        7.73        4.13        7.73        4.13       0.508       0.906       0.637       0.585       0.961
