cement152-anm-02020.dat            9.88      -0.917        1.44      -0.326        21.8       -1.78        -2.8       -1.31        5.66       0.865       0.452       0.831       0.466        43.9        25.1        25.6          25        25.5       0.768       0.949       0.839       0.779       0.966
cement152-anm-02021.dat            3.53        4.12           0       0.521        20.3       -1.91         2.3        -1.9        7.42        0.63       0.174       0.525       0.467        41.6        24.6        8.33        24.6        8.33        0.26       0.684       0.408       0.294       0.852
cement152-anm-02023.dat            6.95        1.84       -1.73       0.998        17.7     -0.0667       -1.06       -2.26        5.92       0.831       0.392       0.785        0.48        35.6        23.7        16.4        23.7        16.4       0.563       0.918       0.682       0.619       0.955
cement152-anm-02026.dat            4.58       -1.01        5.27        1.02        15.1       0.935       -1.13    8.99e-17        6.32       0.777       0.304        0.71       0.515        30.1        26.6        10.8        26.6        10.8       0.381        0.82       0.526       0.449       0.929
cement152-anm-02030.dat            5.38       -3.61      -0.456        1.44        18.4      -0.994    1.22e-16       -1.81        6.26       0.778       0.293         0.7       0.425          37        17.4        12.9        16.5        14.5       0.585       0.886       0.699       0.583       0.914
cement152-anm-02038.dat            6.75        2.56       -3.09       0.252          16      -0.625        3.27       0.421        5.95       0.822       0.421       0.778       0.474          32        26.6        15.6        26.6        15.6       0.536       0.918        0.66       0.609       0.964
cement152-anm-02041.dat            7.86        0.42      -0.394      -0.476        21.1      -0.502      -0.791         1.7        6.12       0.797       0.373       0.738       0.534        42.1        30.7          20        30.7          20       0.555       0.921       0.675        0.62        0.96
cement152-anm-02042.dat            6.44       -1.83       0.231      -0.598        12.7        1.24       0.489        1.25        5.75       0.864       0.507        0.84       0.399        23.9        20.1        18.3        20.1        18.3       0.833       0.989       0.886       0.874       0.994
cement152-anm-02049.dat            6.95       -2.79       -1.11      -0.573        21.7        1.37       -2.15       0.322        6.19       0.795        0.32       0.719       0.455        44.2        21.4          17        21.3        16.6        0.54       0.881       0.663       0.555       0.916
cement152-anm-02050.dat            9.92       -5.52       -8.69        4.08        32.4       0.351        1.84       -3.99        6.65       0.736       0.306       0.659       0.529        62.9        55.4          24        55.4          24       0.407       0.841       0.549       0.477       0.936
cement152-anm-02055.dat            5.17       -3.59      -0.921        -1.2        17.6        0.14        2.22       0.282        6.99       0.693       0.295       0.613       0.448        35.1        24.6          14        24.5        13.8       0.472       0.878       0.606       0.533       0.941
cement152-anm-02056.dat            9.14        5.07       -0.64         2.4        21.1       -2.01        1.46       -2.33        5.87       0.835       0.433       0.792       0.475        42.3        28.4        24.9        28.1        24.9       0.721       0.959       0.804       0.762       0.975
cement152-anm-02058.dat             5.4      -0.109       0.573       0.802        11.6       0.522     -0.0659      -0.494        6.03       0.808       0.464       0.778        0.38        22.9        18.1        16.1        18.1        16.1       0.791       0.982       0.856       0.837        0.99
cement152-anm-02061.dat            4.66       -6.72       -1.72       0.436        16.8       0.871           0       -0.72        6.64        0.73       0.277       0.645       0.521          34        29.1        10.5        29.1        10.5       0.333       0.775       0.481       0.395       0.911
cement152-anm-02063.dat            4.38       -4.22        -5.1       0.837        16.8       0.615        3.22        -1.3        7.15       0.679        0.26       0.581       0.466        33.9        22.7        11.4        22.5        11.7       0.424       0.845       0.564       0.479       0.925
cement152-anm-02064.dat            9.24       -2.66        5.64      -0.788        22.3       -1.59    1.95e-16       -1.32        5.93       0.828       0.415       0.784       0.494        42.9          35        20.6        34.5        21.2        0.55       0.923       0.671       0.621       0.965
cement152-anm-02066.dat            6.69        1.82           0        -2.2        16.3      -0.293      -0.275        3.18        6.18        0.78       0.411       0.725       0.493        32.3          30        16.3        29.9        16.8       0.541       0.922       0.664       0.619       0.967
cement152-anm-02067.dat            8.77        4.49        1.78       -2.66        24.8       -2.15       0.272        4.61        6.38       0.763       0.354       0.699       0.458        49.6        26.8        25.6        26.5        26.9       0.741       0.937       0.819       0.746       0.957
cement152-anm-02068.dat            6.46       -6.66      -0.842       0.423        17.7       -1.74       0.446       0.342        6.21       0.794       0.365       0.732       0.498        35.6        28.8        14.6        28.8        14.6       0.457       0.875       0.593       0.527       0.946
cement152-anm-02073.dat               6       0.934       0.679       0.955          26       0.786        2.42        0.16        7.14       0.677       0.231       0.576       0.421        52.3        22.7        16.7        22.4        16.8       0.492       0.849       0.624       0.492       0.888
