Name                             IS_Rad        IS_x        IS_y        IS_z  Sphericity    Round DP  Round MaxC    Corey SF         ASF         MPS         ESF     Hofmann
cement152-anm-00004.dat            5.61       -4.07       -5.12      -0.857       0.736       0.671       0.486       0.397       0.832        0.54       0.464        0.93
cement152-anm-00014.dat            5.71       0.319      -0.457       -1.75       0.837        0.82       0.364       0.773       0.974       0.842       0.815       0.985
cement152-anm-00032.dat            5.41        1.15      -0.886        2.23       0.853       0.826       0.439       0.616       0.947       0.724       0.684       0.974
cement152-anm-00041.dat            5.47          -1        0.49       0.258       0.786       0.745       0.424       0.591       0.923       0.704       0.638       0.954
cement152-anm-00070.dat            3.95       -2.36       -1.15         6.8       0.725       0.639       0.477       0.406       0.821       0.548       0.439       0.897
cement152-anm-00084.dat            5.17      -0.729     -0.0955       0.413        0.77       0.743       0.383       0.659        0.95       0.758       0.711       0.971
cement152-anm-00096.dat            3.72       -3.98       -0.26      -0.391       0.697       0.631       0.405       0.699       0.936       0.788       0.717       0.957
cement152-anm-00114.dat            5.33      -0.972       -2.55       -3.54       0.749       0.674         0.5       0.355       0.795       0.501       0.416       0.915
cement152-anm-00124.dat            4.48       -3.19       -1.56       -1.58       0.809       0.774       0.412       0.509       0.906       0.638       0.585       0.961
cement152-anm-00141.dat            6.22       -1.78        7.09       -3.81        0.72        0.64        0.49       0.415        0.84       0.556       0.471       0.923
cement152-anm-00151.dat            6.41       0.587       0.353       -3.08       0.789       0.751       0.437       0.737       0.967       0.816       0.782        0.98
cement152-anm-00163.dat            7.23      -0.342        1.81         2.4       0.767       0.726       0.479       0.562       0.916       0.681       0.615       0.953
cement152-anm-00171.dat            6.57        2.44       -2.42       -4.47       0.799       0.752       0.465       0.624        0.95        0.73       0.693       0.976
cement152-anm-00183.dat            3.77        0.15       -3.55       -1.85       0.715       0.646       0.402       0.531       0.896       0.655       0.573       0.938
cement152-anm-00193.dat            3.15        2.07       -1.88        9.38       0.614       0.494       0.477       0.238       0.658       0.384       0.283       0.864
cement152-anm-00216.dat            8.03        2.17       -1.02       -1.99       0.831       0.804       0.473       0.651       0.958       0.751       0.718       0.979
cement152-anm-00230.dat            6.55       -2.36        1.35       -1.87       0.828       0.799       0.467       0.594       0.937       0.707       0.659       0.968
cement152-anm-00254.dat            3.87     -0.0273       -1.93       0.786       0.694        0.61       0.507       0.352        0.79       0.499       0.407       0.907
cement152-anm-00269.dat            6.08        2.99       0.233        4.13       0.799       0.753       0.431       0.573       0.924        0.69       0.631       0.959
cement152-anm-00279.dat            5.01        3.43         1.9       -1.46       0.752       0.687       0.492       0.412       0.845       0.554       0.484       0.939
cement152-anm-00295.dat            5.19        2.74       0.655        3.11       0.781       0.736       0.441       0.503       0.903       0.633       0.579       0.959
cement152-anm-00309.dat            4.83       0.533        5.44        2.85       0.731       0.657       0.502       0.438       0.864       0.576       0.512       0.946
cement152-anm-00319.dat            5.04        1.63       -2.34     -0.0928       0.823        0.79       0.428       0.612       0.948       0.721       0.685       0.977
cement152-anm-00331.dat            5.89      -0.933       -4.93        2.42       0.736       0.673       0.496       0.425       0.849       0.565       0.485        0.93
cement152-anm-00346.dat            5.71        3.19        1.63        4.92       0.768       0.712       0.463       0.512       0.905        0.64       0.583       0.957
cement152-anm-00358.dat            5.64        1.02        2.04        1.28       0.797       0.757       0.489       0.566       0.931       0.684        0.64       0.969
cement152-anm-00375.dat            6.52       -2.31       -1.99       -3.37       0.749       0.684       0.517       0.548        0.92        0.67       0.616       0.962
cement152-anm-00387.dat            7.91        1.08      -0.506        0.72       0.739       0.712       0.432       0.499       0.902       0.629       0.576        0.96
cement152-anm-00397.dat            5.24         0.5        1.88       0.255       0.823       0.794         0.4       0.628       0.948       0.733       0.692       0.974
cement152-anm-00405.dat            7.08       -2.85        3.16       -2.75       0.767       0.708       0.516       0.466        0.87       0.601       0.519       0.932
cement152-anm-00420.dat            8.41         2.1      -0.399       -1.29       0.822       0.788       0.482       0.717       0.958       0.801       0.758       0.974
cement152-anm-00430.dat            3.53        1.75       -1.47       -3.91       0.736       0.668       0.493       0.358       0.797       0.504       0.417       0.914
cement152-anm-00448.dat             5.6      -0.423        1.69        3.98       0.777       0.722       0.495       0.436       0.854       0.575       0.492       0.929
cement152-anm-00468.dat            4.88        1.19       -3.11        -2.6        0.79       0.731       0.509       0.408       0.835        0.55       0.464       0.923
