Cycle	time(h)	Alpha_mass	Alpha_fa_mass	heat(kJ/kg_solid)	Temperature(C)	Gsratio	Wno(g/g)	Wni(g/g)	ChemShrink(mL/g)	pH	Conductivity(S/m)	[Na+](M)	[K+](M)	[Ca++](M)	[SO4--](M)	{K+}	{Ca++}	{OH-}	{SO4--}	Vfpore	Poreconnx	Poreconny	Poreconnz	Poreconnave	Solidconnx	Solidconny	Solidconnz	Solidconnave	VfC3S	VfC2S	VfC3A	VfOC3A	VfC4AF	VfK2SO4	VfNA2SO4	VfGYPSUM	VfHEMIHYD	VfANHYDRITE	VfCACO3	VfFREELIME	VfSFUME	VfINERT	VfSLAG	VfASG	VfCAS2	VfAMSIL	VfCH	VfCSH	VfPOZZCSH	VfSLAGCSH	VfC3AH6	VfETTR	VfAFM	VfFH3	VfCACL2	VfFRIEDEL	VfSTRAT	VfGYPSUMS	VfABSGYP	VfAFMC	VfINERTAGG	VfEMPTYP
0	0.0000	-0.0000	0.0000	0.0000	25.0000	0.0000	0.0000	-0.0000	0.00000	12.8335	2.7151	0.0516	0.0987	0.0128	0.0398	0.6519	0.1664	0.7076	0.3096	0.5949	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2267	0.0678	0.0171	0.0000	0.0455	0.0015	0.0000	0.0070	0.0145	0.0005	0.0242	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1	0.0003	0.0001	0.0000	0.0712	25.0000	0.0002	0.0000	0.0000	0.00000	12.8330	2.7132	0.0516	0.0987	0.0132	0.0401	0.6475	0.1615	0.7048	0.3066	0.5948	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2267	0.0678	0.0171	0.0000	0.0455	0.0015	0.0002	0.0070	0.0145	0.0005	0.0241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	0.0014	0.0002	0.0000	0.2068	25.0000	0.0004	0.0000	0.0000	0.00000	12.8330	2.7134	0.0516	0.0987	0.0133	0.0402	0.6467	0.1605	0.7043	0.3061	0.5947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2266	0.0678	0.0171	0.0000	0.0455	0.0015	0.0002	0.0070	0.0145	0.0005	0.0241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	0.0031	0.0005	0.0000	0.3710	25.0000	0.0006	0.0001	0.0001	0.00000	12.8331	2.7140	0.0517	0.0988	0.0133	0.0402	0.6465	0.1603	0.7042	0.3060	0.5947	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2265	0.0678	0.0171	0.0000	0.0455	0.0015	0.0002	0.0070	0.0145	0.0005	0.0241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.0056	0.0007	0.0000	0.4984	25.0000	0.0009	0.0001	0.0001	0.00000	12.8332	2.7148	0.0517	0.0988	0.0133	0.0402	0.6464	0.1603	0.7041	0.3059	0.5946	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2265	0.0678	0.0171	0.0000	0.0455	0.0015	0.0002	0.0070	0.0145	0.0005	0.0241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	0.0087	0.0009	0.0000	0.6500	25.0000	0.0011	0.0001	0.0001	0.00002	12.8333	2.7157	0.0518	0.0988	0.0133	0.0403	0.6464	0.1602	0.7041	0.3059	0.5945	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2265	0.0678	0.0170	0.0000	0.0455	0.0015	0.0002	0.0070	0.0145	0.0005	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	0.0126	0.0012	0.0000	0.9377	25.0000	0.0013	0.0002	0.0002	0.00001	12.8334	2.7169	0.0518	0.0989	0.0133	0.0403	0.6463	0.1602	0.7041	0.3059	0.5944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2264	0.0678	0.0170	0.0000	0.0454	0.0015	0.0002	0.0070	0.0145	0.0005	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	0.0171	0.0014	0.0000	1.0998	25.0000	0.0015	0.0002	0.0002	0.00002	12.8336	2.7181	0.0519	0.0990	0.0133	0.0403	0.6463	0.1601	0.7040	0.3058	0.5943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2264	0.0678	0.0170	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	0.0224	0.0017	0.0000	1.3457	25.0000	0.0017	0.0002	0.0002	0.00002	12.8338	2.7194	0.0519	0.0990	0.0133	0.0404	0.6462	0.1601	0.7040	0.3058	0.5942	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2263	0.0678	0.0170	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	0.0283	0.0019	0.0000	1.4725	25.0000	0.0019	0.0003	0.0003	0.00003	12.8339	2.7208	0.0520	0.0991	0.0133	0.0404	0.6462	0.1600	0.7040	0.3058	0.5941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2263	0.0678	0.0170	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	0.0350	0.0020	0.0000	1.5939	25.0000	0.0020	0.0003	0.0003	0.00003	12.8341	2.7224	0.0520	0.0992	0.0133	0.0404	0.6461	0.1600	0.7039	0.3057	0.5941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2262	0.0678	0.0169	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	0.0424	0.0022	0.0000	1.7254	25.0000	0.0022	0.0003	0.0003	0.00004	12.8343	2.7240	0.0521	0.0993	0.0133	0.0405	0.6461	0.1599	0.7039	0.3057	0.5940	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2262	0.0678	0.0169	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	0.0504	0.0024	0.0000	1.8558	25.0000	0.0023	0.0003	0.0003	0.00004	12.8345	2.7258	0.0522	0.0993	0.0133	0.0405	0.6460	0.1598	0.7039	0.3056	0.5939	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2262	0.0678	0.0169	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	0.0591	0.0026	0.0000	1.9845	25.0000	0.0026	0.0004	0.0004	0.00005	12.8348	2.7278	0.0522	0.0995	0.0133	0.0406	0.6459	0.1597	0.7038	0.3056	0.5938	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2261	0.0678	0.0169	0.0000	0.0454	0.0015	0.0002	0.0070	0.0144	0.0005	0.0239	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
