Cycle	time(h)	Alpha_mass	Alpha_fa_mass	heat(kJ/kg_solid)	Temperature(C)	Gsratio	Wno(g/g)	Wni(g/g)	ChemShrink(mL/g)	pH	Conductivity(S/m)	[Na+](M)	[K+](M)	[Ca++](M)	[SO4--](M)	{K+}	{Ca++}	{OH-}	{SO4--}	Vfpore	Poreconnx	Poreconny	Poreconnz	Poreconnave	Solidconnx	Solidconny	Solidconnz	Solidconnave	VfC3S	VfC2S	VfC3A	VfOC3A	VfC4AF	VfK2SO4	VfNA2SO4	VfGYPSUM	VfHEMIHYD	VfANHYDRITE	VfCACO3	VfFREELIME	VfSFUME	VfINERT	VfSLAG	VfASG	VfCAS2	VfAMSIL	VfCH	VfCSH	VfPOZZCSH	VfSLAGCSH	VfC3AH6	VfETTR	VfAFM	VfFH3	VfCACL2	VfFRIEDEL	VfSTRAT	VfGYPSUMS	VfABSGYP	VfAFMC	VfINERTAGG	VfEMPTYP
0	0.0000	-0.0000	0.0000	0.0000	25.0000	0.0000	0.0000	0.0000	0.00000	12.8774	3.1370	0.0511	0.1344	0.0117	0.0504	0.6364	0.1494	0.6979	0.2995	0.5533	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2021	0.0439	0.0308	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0446	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
1	0.0003	0.0001	0.0000	0.1049	25.0000	0.0002	0.0000	0.0000	-0.00000	12.8770	3.1339	0.0511	0.1344	0.0119	0.0506	0.6335	0.1464	0.6961	0.2978	0.5532	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2020	0.0439	0.0308	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0446	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
2	0.0014	0.0003	0.0000	0.3021	25.0000	0.0004	0.0000	0.0000	-0.00001	12.8770	3.1342	0.0511	0.1345	0.0120	0.0506	0.6330	0.1459	0.6959	0.2975	0.5531	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2020	0.0439	0.0308	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
3	0.0031	0.0006	0.0000	0.4776	25.0000	0.0005	0.0001	0.0001	-0.00001	12.8771	3.1350	0.0511	0.1345	0.0120	0.0506	0.6329	0.1458	0.6958	0.2975	0.5531	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2019	0.0439	0.0308	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
4	0.0056	0.0008	0.0000	0.6857	25.0000	0.0007	0.0001	0.0001	-0.00002	12.8772	3.1360	0.0511	0.1346	0.0120	0.0507	0.6329	0.1457	0.6958	0.2974	0.5530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2019	0.0439	0.0307	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
5	0.0087	0.0010	0.0000	0.8398	25.0000	0.0008	0.0001	0.0001	-0.00002	12.8773	3.1372	0.0512	0.1347	0.0120	0.0507	0.6328	0.1457	0.6957	0.2974	0.5530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2018	0.0439	0.0307	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
6	0.0126	0.0012	0.0000	1.0113	25.0000	0.0010	0.0001	0.0001	-0.00003	12.8774	3.1385	0.0512	0.1348	0.0120	0.0507	0.6328	0.1457	0.6957	0.2974	0.5529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2018	0.0439	0.0307	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
7	0.0171	0.0014	0.0000	1.1773	25.0000	0.0011	0.0001	0.0001	-0.00003	12.8776	3.1400	0.0512	0.1348	0.0120	0.0508	0.6327	0.1456	0.6957	0.2973	0.5528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2018	0.0439	0.0307	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
8	0.0224	0.0017	0.0000	1.3382	25.0000	0.0013	0.0002	0.0002	-0.00004	12.8778	3.1416	0.0513	0.1350	0.0120	0.0508	0.6327	0.1455	0.6956	0.2973	0.5528	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2017	0.0439	0.0307	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
9	0.0283	0.0019	0.0000	1.5093	25.0000	0.0014	0.0002	0.0002	-0.00004	12.8779	3.1434	0.0513	0.1351	0.0120	0.0509	0.6326	0.1455	0.6956	0.2973	0.5527	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2017	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0443	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
10	0.0350	0.0021	0.0000	1.6797	25.0000	0.0016	0.0002	0.0002	-0.00004	12.8782	3.1454	0.0514	0.1352	0.0119	0.0509	0.6326	0.1454	0.6956	0.2972	0.5527	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2016	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
11	0.0424	0.0024	0.0000	1.8738	25.0000	0.0018	0.0002	0.0002	-0.00005	12.8784	3.1476	0.0514	0.1354	0.0119	0.0510	0.6325	0.1453	0.6955	0.2972	0.5526	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2016	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
12	0.0504	0.0026	0.0000	2.0794	25.0000	0.0019	0.0003	0.0003	-0.00005	12.8786	3.1500	0.0515	0.1355	0.0119	0.0511	0.6324	0.1453	0.6955	0.2972	0.5525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2015	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
13	0.0591	0.0028	0.0000	2.2419	25.0000	0.0021	0.0003	0.0003	-0.00005	12.8789	3.1525	0.0515	0.1357	0.0119	0.0511	0.6323	0.1452	0.6954	0.2971	0.5525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2015	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0036	0.0000	0.0441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
14	0.0686	0.0030	0.0000	2.3908	25.0000	0.0023	0.0003	0.0003	-0.00006	12.8791	3.1551	0.0516	0.1358	0.0119	0.0512	0.6322	0.1451	0.6954	0.2971	0.5524	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2014	0.0439	0.0306	0.0000	0.0187	0.0000	0.0000	0.0029	0.0035	0.0000	0.0441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
15	0.0787	0.0033	0.0000	2.5695	25.0000	0.0024	0.0003	0.0003	-0.00006	12.8794	3.1579	0.0517	0.1360	0.0119	0.0513	0.6321	0.1450	0.6953	0.2970	0.5523	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2014	0.0439	0.0305	0.0000	0.0187	0.0000	0.0000	0.0029	0.0035	0.0000	0.0440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
16	0.0896	0.0035	0.0000	2.7281	25.0000	0.0026	0.0004	0.0004	-0.00007	12.8797	3.1609	0.0517	0.1362	0.0119	0.0514	0.6320	0.1449	0.6953	0.2969	0.5523	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2013	0.0438	0.0305	0.0000	0.0187	0.0000	0.0000	0.0029	0.0035	0.0000	0.0440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.0000
